timestamp,input_tokens,output_tokens,request_type,source
2023-11-16 18:17:03.979960+00:00,4808,10,code,azure_2023
2023-11-16 18:17:04.031960+00:00,3180,8,code,azure_2023
2023-11-16 18:17:04.078149+00:00,110,27,code,azure_2023
2023-11-16 18:17:04.120644+00:00,7433,14,code,azure_2023
2023-11-16 18:17:04.424954+00:00,34,12,code,azure_2023
2023-11-16 18:17:04.519147+00:00,374,14,code,azure_2023
2023-11-16 18:17:04.678531+00:00,6985,9,code,azure_2023
2023-11-16 18:17:04.996001+00:00,34,23,code,azure_2023
2023-11-16 18:17:05.279272+00:00,1145,7,code,azure_2023
2023-11-16 18:17:05.279297+00:00,201,24,code,azure_2023
2023-11-16 18:17:05.378882+00:00,137,9,code,azure_2023
2023-11-16 18:17:05.379047+00:00,7427,8,code,azure_2023
2023-11-16 18:17:33.459029+00:00,1555,19,code,azure_2023
2023-11-16 18:17:33.560367+00:00,3893,19,code,azure_2023
2023-11-16 18:17:33.590285+00:00,1827,10,code,azure_2023
2023-11-16 18:17:33.659113+00:00,394,17,code,azure_2023
2023-11-16 18:17:33.697448+00:00,675,6,code,azure_2023
2023-11-16 18:17:34.157829+00:00,7436,9,code,azure_2023
2023-11-16 18:17:34.205691+00:00,158,26,code,azure_2023
2023-11-16 18:17:34.462686+00:00,6587,18,code,azure_2023
2023-11-16 18:17:34.483419+00:00,763,8,code,azure_2023
2023-11-16 18:17:34.963615+00:00,1556,18,code,azure_2023
2023-11-16 18:17:35.265376+00:00,5108,12,code,azure_2023
2023-11-16 18:17:35.434647+00:00,159,127,code,azure_2023
2023-11-16 18:17:35.434977+00:00,458,67,code,azure_2023
2023-11-16 18:17:35.619982+00:00,2464,30,code,azure_2023
2023-11-16 18:17:35.787082+00:00,4009,51,code,azure_2023
2023-11-16 18:17:36.607342+00:00,1632,9,code,azure_2023
2023-11-16 18:17:36.687921+00:00,2567,45,code,azure_2023
2023-11-16 18:17:37.059955+00:00,730,36,code,azure_2023
2023-11-16 18:17:37.320035+00:00,5108,10,code,azure_2023
2023-11-16 18:17:37.514038+00:00,2569,7,code,azure_2023
2023-11-16 18:17:37.559210+00:00,1832,7,code,azure_2023
2023-11-16 18:17:37.566608+00:00,1630,9,code,azure_2023
2023-11-16 18:17:37.659668+00:00,6587,13,code,azure_2023
2023-11-16 18:17:37.661427+00:00,7436,6,code,azure_2023
2023-11-16 18:17:37.760968+00:00,1044,16,code,azure_2023
2023-11-16 18:17:37.860023+00:00,327,124,code,azure_2023
2023-11-16 18:17:37.962995+00:00,1630,9,code,azure_2023
2023-11-16 18:17:38.264399+00:00,3351,9,code,azure_2023
2023-11-16 18:17:38.425868+00:00,1562,18,code,azure_2023
2023-11-16 18:17:38.858932+00:00,3724,9,code,azure_2023
2023-11-16 18:17:38.959149+00:00,328,43,code,azure_2023
