node_type,phase,batch_size,tokens,group_size,latency_ms
edge_fast,prefill,1,128,28,8.162667274475098
edge_fast,decode,1,128,28,7.330165863037109
edge_fast,prefill,1,256,28,10.491869926452637
edge_fast,decode,1,256,28,7.085315227508545
edge_fast,prefill,1,512,28,16.408672332763672
edge_fast,decode,1,512,28,7.094442844390869
edge_fast,prefill,1,1024,28,28.28312110900879
edge_fast,decode,1,1024,28,7.036262035369873
edge_fast,prefill,1,2048,28,57.300785064697266
edge_fast,decode,1,2048,28,6.908498764038086
edge_fast,prefill,2,128,28,10.344931602478027
edge_fast,decode,2,128,28,7.26898193359375
edge_fast,prefill,2,256,28,16.30387306213379
edge_fast,decode,2,256,28,7.3224358558654785
edge_fast,prefill,2,512,28,27.959028244018555
edge_fast,decode,2,512,28,7.224398136138916
edge_fast,prefill,2,1024,28,55.6746711730957
edge_fast,decode,2,1024,28,7.329712867736816
edge_fast,prefill,2,2048,28,111.35368347167969
edge_fast,decode,2,2048,28,7.5241007804870605
edge_fast,prefill,4,128,28,15.98172378540039
edge_fast,decode,4,128,28,7.694610118865967
edge_fast,prefill,4,256,28,27.220487594604492
edge_fast,decode,4,256,28,7.738943099975586
edge_fast,prefill,4,512,28,54.76882553100586
edge_fast,decode,4,512,28,7.804886817932129
edge_fast,prefill,4,1024,28,108.3885498046875
edge_fast,decode,4,1024,28,7.930139064788818
edge_fast,prefill,4,2048,28,214.4394073486328
edge_fast,decode,4,2048,28,8.309163093566895
edge_fast,prefill,8,128,28,27.126680374145508
edge_fast,decode,8,128,28,7.578009128570557
edge_fast,prefill,8,256,28,54.44725036621094
edge_fast,decode,8,256,28,7.629264831542969
edge_fast,prefill,8,512,28,107.41852569580078
edge_fast,decode,8,512,28,7.716413974761963
edge_fast,prefill,8,1024,28,209.61474609375
edge_fast,decode,8,1024,28,8.062995910644531
edge_fast,prefill,8,2048,28,452.0210876464844
edge_fast,decode,8,2048,28,8.796845436096191
