episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,48153.96483880268,1655.0862687676902,3175.7152063012513,10206.93454066974,5809.475214326603,25.2041015625,726.5120028667731,2,0.16666666666666666,0.8333333333333334,0.24920066374950595,0.20766721979125494,336,-133.0677446454278,
1,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,6,2.0,5,0.3333333333333333,2.0,18579.7485013546,3582.8325080440627,6333.949012415341,4276.183603799667,9756.185538254578,25.1162109375,377.4542542200652,7,0.5833333333333334,0.41666666666666663,0.6458645012942512,0.2691102088726047,168,-96.8481710092266,
2,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,24290.834808608735,2284.86625618169,3883.9494456590846,9817.202616066645,5967.0431744547,38.6806640625,843.6509929557081,4,0.3333333333333333,0.6666666666666667,0.4940134867553901,0.3293423245035934,280,-129.1921989670764,
3,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,25290.359164318215,1986.3658055821877,3180.6898719046817,7384.831077654742,11476.492614240324,29.3291015625,786.224066075339,2,0.16666666666666666,0.8333333333333334,0.4744891095469541,0.39540759128912845,336,-135.87448990053431,
4,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,28937.52636484634,1812.9517299662564,4046.8506422783184,8549.674316818733,10532.566499714658,24.3017578125,657.306935996922,2,0.16666666666666666,0.8333333333333334,0.4146864472347486,0.34557203936229053,336,-142.27494351473266,
5,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,8,1.5,4,0.25,1.5,24297.934135432457,3680.85619215907,8604.331811862827,6641.663547351587,13173.032970506829,40.359375,563.3891886574796,5,0.4166666666666667,0.5833333333333333,0.4938691467807135,0.28809033562208286,224,-134.8188505588038,
6,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,20958.664073357588,2284.34276952165,3706.7484024060564,7792.451235074914,5406.348932611231,34.154296875,449.8499157856932,8,0.6666666666666666,0.33333333333333337,0.5725555769202991,0.19085185897343301,252,-112.5073040262047,
7,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,8,1.5,3,0.375,1.5,20834.137846886504,3014.215314140781,5676.300443575898,10057.895219881644,8194.431604105635,38.49609375,327.4055944876181,7,0.5833333333333334,0.41666666666666663,0.5759777576682064,0.23999073236175264,224,-148.54521663141009,
8,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,29409.054406076426,2093.6387633348704,3001.184337353334,8743.71417929218,6169.938737855884,33.392578125,594.6812482551924,6,0.5,0.5,0.40803760074382367,0.20401880037191183,252,-127.31293752927013,
9,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,10,1.2,3,0.1,1.2,32587.130788810064,2560.850850913595,5229.814069945862,7655.211410008249,10490.973799283647,28.5380859375,648.0754399423298,4,0.3333333333333333,0.6666666666666667,0.3682435277217048,0.24549568514780323,280,-136.40087732099906,
10,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,36356.879117479075,1661.271728903969,3317.4499872855113,5712.8905016998015,8463.392719046129,23.5078125,740.0772376363149,2,0.16666666666666666,0.8333333333333334,0.33006133340611277,0.2750511111717606,308,-105.77674434229044,
11,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,21213.44128947323,2081.9104789709895,3408.914045477071,8784.045210171525,5202.307510383694,28.1865234375,608.855219894373,4,0.3333333333333333,0.6666666666666667,0.5656790822503076,0.37711938816687174,252,-117.90500034034699,
12,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,29580.467598524207,2498.0026363676125,3409.065546184361,8113.455526134295,8597.534314529437,32.5576171875,421.7812777982918,5,0.4166666666666667,0.5833333333333333,0.40567310033323106,0.23664264186105144,252,-127.27853021847305,
13,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,53434.37596303494,5174.343288732912,18211.40773739761,15588.279874832491,25813.59564370671,142.27734375,749.0323310491615,10,0.8333333333333334,0.16666666666666663,0.22457453247515066,0.037429088745858444,336,-267.1854492275745,
14,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,33769.09053645164,2531.9518066367423,3768.0693550019296,9149.191892624127,5647.242361601063,36.28125,637.5528156852555,5,0.4166666666666667,0.5833333333333333,0.3553545508442623,0.20729015465915301,252,-121.56170959253349,
15,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,7,1.7142857142857142,4,0.2857142857142857,1.7142857142857142,32078.94383763058,4883.12228650328,10759.88292650119,7804.745733399355,16543.593175339633,38.9619140625,445.5208940466764,8,0.6666666666666666,0.33333333333333337,0.3740771535602509,0.12469238452008363,196,-148.38702103464678,
16,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.5555555555555556,4,0.2222222222222222,1.3333333333333333,17112.477358862292,3022.3523832446604,6594.021540118312,6860.008718379901,6221.386010024124,35.51953125,690.9828591921922,7,0.5833333333333334,0.41666666666666663,0.7012427101202493,0.2921844625501039,252,-105.59689707582581,
17,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,7,1.7142857142857142,4,0.42857142857142855,1.7142857142857142,27953.49076353344,6126.2925120281725,12224.39888513136,9428.762031039982,16543.66239928966,43.740234375,508.97078660012704,4,0.3333333333333333,0.6666666666666667,0.42928448906476213,0.2861896593765081,196,-156.16640350495777,
18,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,27735.75338700742,3651.06663795583,6282.213338984665,12679.293540239974,8569.761417690135,48.275390625,569.4885504008628,8,0.6666666666666666,0.33333333333333337,0.4326545535850236,0.1442181845283412,252,-172.13764176217055,
19,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,44039.04929450828,3950.7394689068956,12692.87036748909,8616.8524495246,19920.143627589332,36.17578125,579.072514221746,4,0.3333333333333333,0.6666666666666667,0.2724854462627197,0.18165696417514646,308,-189.58711157576758,
20,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,26376.018926539393,1590.5083269689942,2746.7767582760653,6819.323281200717,5475.708236488918,24.298828125,903.1169866680109,3,0.25,0.75,0.45495872722193387,0.34121904541645043,308,-102.7573623545442,
21,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,37682.459962362766,2479.197960489417,8295.90373164335,9327.714383001154,14174.938827826332,31.880859375,809.3599906299694,5,0.4166666666666667,0.5833333333333333,0.3184505473364955,0.18576281927962238,336,-172.44693076476773,
22,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,6,2.8333333333333335,7,0.6666666666666666,2.0,44337.165619804626,10519.342152165935,22084.6727099584,10508.20126895944,31444.14048323016,54.36328125,445.4665849238395,8,0.6666666666666666,0.33333333333333337,0.2706532957677343,0.09021776525591142,168,-236.97617261712367,
23,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,10,1.2,2,0.2,1.2,33964.3004603424,2065.7993627824917,3666.383638633316,6564.282631322117,6584.593570051127,20.9619140625,603.4523440303628,4,0.3333333333333333,0.6666666666666667,0.35331214944384065,0.23554143296256044,280,-104.76541749549969,
24,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,8,1.5,5,0.125,1.5,24452.72218907977,4484.815088869001,10837.689766322132,8248.13466890108,12969.905700726511,36.1259765625,553.7984370585707,6,0.5,0.5,0.4907429081805471,0.24537145409027356,224,-155.19411563698932,
25,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,36413.711356895954,2999.782856119524,6401.384015707959,10812.075835047039,11553.797831531578,32.8359375,684.976391694629,5,0.4166666666666667,0.5833333333333333,0.32954619435482135,0.19223528004031248,308,-171.36900031319138,
26,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,40834.46814818661,2591.896765079988,5784.064238762106,11372.454514710156,9391.046844438946,31.693359375,808.0385231880218,5,0.4166666666666667,0.5833333333333333,0.29386938398346446,0.17142380732368762,308,-168.55997333788622,
27,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,7,2.0,6,0.42857142857142855,1.7142857142857142,51116.59689678982,11806.258552614194,27419.250317204067,11244.036013880399,38324.21818245303,116.40234375,483.21550908658776,12,1.0,0.0,0.2347574120442594,0.0,196,-245.64758458855448,
28,node_conditioned_dp,0.4,12,outputs/train_ablation_wo_mobility_seed7/agent_ep150.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,25418.349654499172,2317.9214139961728,3755.246171801783,10301.924227689191,6411.454172476525,24.83203125,580.0324146096614,5,0.4166666666666667,0.5833333333333333,0.472099887015125,0.2753916007588229,308,-141.1259676444837,
