episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.2,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,94613.08828785541,2366.2285890086855,4579.512161786313,15831.063077518502,8029.2454975172595,151.224609375,761.1363741561868,9,0.75,0.25,0.1268323465300131,0.031708086632503275,332,-207.67052306378034,
1,node_conditioned_dp,0.2,12,,12,12,0,1.0,6,2.0,5,0.3333333333333333,2.0,36526.49642168928,6489.308635842051,11939.692271960052,6821.579967661832,19192.028223561876,100.46484375,424.1099844320109,10,0.8333333333333334,0.16666666666666663,0.32852863470569416,0.05475477245094903,168,-156.89969223806511,
2,node_conditioned_dp,0.2,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,47641.9289629547,2396.443721956294,4477.508270216696,17593.167142302682,6160.853873610625,152.4140625,767.5514870777913,6,0.5,0.5,0.2518789700839135,0.12593948504195676,263,-209.99715370424178,
3,node_conditioned_dp,0.2,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,51842.98743936704,4701.708927259786,7511.904231226223,16766.69362109298,27132.160874522884,265.5,723.2306137705157,10,0.8333333333333334,0.16666666666666663,0.23146814241819297,0.03857802373636549,309,-282.3041004478354,
4,node_conditioned_dp,0.2,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,57304.02421734745,1605.6900082289696,3178.1226016898995,11424.654732111412,7213.1284443565555,72.9052734375,630.4969222796742,3,0.25,0.75,0.2094093768089551,0.15705703260671633,336,-155.0844442171914,
5,node_conditioned_dp,0.2,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,47898.878108765035,2142.638825590692,4561.364708413206,12276.223581599766,9560.624714848162,92.3115234375,861.088281961257,3,0.25,0.75,0.25052778841189843,0.18789584130892384,336,-171.264136117713,
6,node_conditioned_dp,0.2,12,,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,38786.06692378355,2605.6820731548437,4975.187699457135,10929.520972737646,8781.217475900077,158.8037109375,352.2314477063854,7,0.5833333333333334,0.41666666666666663,0.3093894522375926,0.12891227176566358,181,-144.58092527847177,
7,node_conditioned_dp,0.2,12,,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,39216.41085943865,3170.2098958121637,6495.862932779407,12067.363147545038,13230.631905525668,104.34375,502.4217471431659,5,0.4166666666666667,0.5833333333333333,0.3059943461682656,0.17849670193148828,308,-181.95601819947825,
8,node_conditioned_dp,0.2,12,,12,12,0,1.0,9,1.3333333333333333,3,0.2222222222222222,1.3333333333333333,58974.88970956938,5126.936036665628,8154.157224600293,13463.69233820807,20806.754499492854,158.33203125,414.50741298638775,10,0.8333333333333334,0.16666666666666663,0.20347642969907676,0.033912738283179464,180,-226.17396046987042,
9,node_conditioned_dp,0.2,12,,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,63238.00422287617,3713.847450147512,8112.739175550521,9907.921733717249,18876.189705058685,116.68359375,378.06063413531297,5,0.4166666666666667,0.5833333333333333,0.1897593092550355,0.11069293039877072,188,-190.29252227200493,
