method,arrival_rate_rps,episodes,completion_ratio,mean_batch_size,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,reward
NoBatch-LB,0.1,100,1.0,1.0,2447.270834891773,5382.098873620561,0.7233333333333333,0.11844854120593461,0.08593384394558418,-166.63741222589047
NoBatch-LB,0.2,100,1.0,1.0,3002.047388315367,6328.011973176826,0.6216666666666666,0.22921175046392317,0.14141107060362443,-169.07741222589047
NoBatch-LB,0.4,100,1.0,1.0,4634.488460400007,8324.215781824349,0.4483333333333333,0.39122606452755576,0.17824992522784416,-173.23741222589047
NoBatch-LB,0.6,100,1.0,1.0,6174.548205895466,10548.910041396839,0.3416666666666666,0.4713827434802023,0.17129423882394296,-175.79741222589047
Fixed4-LB,0.1,100,1.0,1.034848484848485,2412.039158360999,5360.3545840501165,0.7266666666666667,0.11850177133655108,0.0863049937661336,-163.54627604463494
Fixed4-LB,0.2,100,1.0,1.1013766233766233,2772.668506302098,5973.304916780813,0.6391666666666667,0.23050941950556456,0.14640980360048245,-158.89779223683453
Fixed4-LB,0.4,100,1.0,1.37934632034632,3662.174019172443,6997.658257338187,0.48666666666666664,0.41983223878225945,0.2027014347337287,-144.2342078778127
Fixed4-LB,0.6,100,1.0,1.6680735930735928,4576.46764869708,8101.585192004496,0.39416666666666667,0.5436815951450027,0.2183152133550903,-133.08160748831796
SeqGreedy-LB,0.1,100,1.0,1.0306060606060605,2407.3019721611113,5331.438926060138,0.7258333333333333,0.11850177133655108,0.08620743698344255,-163.62125200629885
SeqGreedy-LB,0.2,100,1.0,1.0872034632034633,2777.948874825402,6000.946498960983,0.6375,0.23046531356588432,0.1458663473480625,-160.00674339104748
SeqGreedy-LB,0.4,100,1.0,1.3317402597402597,3604.4937950993217,7074.732550405869,0.49166666666666664,0.41850524756904084,0.20409376133857676,-146.2818746625005
SeqGreedy-LB,0.6,100,1.0,1.6447445887445886,4404.971909970622,8130.406038040824,0.4016666666666666,0.5470655961846239,0.22283781032175548,-133.95551699943016
NodeDP-LB,0.1,100,1.0,1.0337575757575757,2412.7477254875594,5368.0913850087245,0.7266666666666667,0.11850177133655108,0.0863049937661336,-163.67599620651018
NodeDP-LB,0.2,100,1.0,1.0997705627705627,2771.644285205111,6007.143714420792,0.64,0.23054699302726905,0.14687180286629883,-158.8832541437394
NodeDP-LB,0.4,100,1.0,1.3612034632034633,3539.5025750031964,7007.177430389129,0.4933333333333333,0.42060851095992796,0.2056972453412752,-144.3539322465623
NodeDP-LB,0.6,100,1.0,1.6599783549783549,4269.239993761626,8022.442724084277,0.405,0.5482231385439867,0.22490973195265532,-132.77384532993207
LECU-RBA (adapted),0.1,100,1.0,1.0575064935064935,3782.8333316058397,8451.110865605728,0.4958333333333333,0.11674907823478878,0.05720497809108499,-218.20064881728374
LECU-RBA (adapted),0.2,100,1.0,1.1954978354978354,4592.924468514215,9691.2086713033,0.4133333333333333,0.2207908927388274,0.09074750822731181,-205.55727575234727
LECU-RBA (adapted),0.4,100,1.0,1.589090909090909,6066.502177767127,11995.997676512774,0.29166666666666663,0.3693906814577129,0.11201541437868875,-178.4114308091089
LECU-RBA (adapted),0.6,100,1.0,1.958212121212121,7124.651074747013,13252.575894770598,0.21916666666666665,0.4591968846382206,0.10805927514215838,-160.32615650214154
DyBAP-Adapted,0.1,100,1.0,1.0191515151515151,3372.5568826883136,8109.953111147373,0.6041666666666666,0.1177615804595067,0.07165904031498972,-196.3284341729906
DyBAP-Adapted,0.2,100,1.0,1.074848484848485,4465.528966284739,9423.45074928793,0.5158333333333333,0.22357328230417728,0.11787988913417938,-192.84673859892635
DyBAP-Adapted,0.4,100,1.0,1.2279047619047618,6415.589412897859,11558.396416139243,0.365,0.3760332604783771,0.14703597301394844,-183.56388784813515
DyBAP-Adapted,0.6,100,1.0,1.3496103896103895,7707.373498670171,13449.978541817452,0.2891666666666666,0.4641261290651065,0.14956237891647794,-177.32995224291554
Full,0.1,100,1.0,1.0301212121212122,2250.9502163381308,5002.958162542382,0.76,0.11867457136998402,0.09068394171372915,-158.6246398798432
Full,0.2,100,1.0,1.0946709956709957,2599.5850208671022,5722.026491309918,0.6866666666666668,0.23098962609119728,0.15808901417649263,-153.93439990248072
Full,0.4,100,1.0,1.3041904761904761,3282.584271940348,6684.844760386009,0.5525,0.4240964349827701,0.23355108002309166,-143.83951138904803
Full,0.6,100,1.0,1.5999350649350648,3963.2624965943255,7531.022197028596,0.45416666666666666,0.5637014437029647,0.25947876258040586,-131.75208926754215
