episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.6,12,,12,12,0,1.0,12,1.75,3,0.5,1.0,21795.852100735225,2439.4972188897386,5195.46040198019,6228.985846378746,6438.4248439224175,28.2744140625,2531.960799308633,7,0.5833333333333334,0.41666666666666663,0.5505634716430844,0.22940144651795186,336,-127.11143140929315,
1,node_conditioned_dp,0.6,12,,12,12,0,1.0,12,4.0,9,0.6666666666666666,1.0,43549.570392523354,20428.031887512436,36070.10386766391,11431.47066755448,30205.70267422677,28.6259765625,1912.3970507421052,10,0.8333333333333334,0.16666666666666663,0.27554806836992757,0.045924678061654595,332,-297.33086516326006,
2,node_conditioned_dp,0.6,12,,12,12,0,1.0,12,1.1666666666666667,2,0.16666666666666666,1.0,26867.5445108049,2505.8030151280204,4325.548519516058,9648.443924379842,7767.17037085134,67.65234375,2546.2570281241374,8,0.6666666666666666,0.33333333333333337,0.4466355306557378,0.14887851021857926,336,-160.5549559593327,
3,node_conditioned_dp,0.6,12,,12,12,0,1.0,12,2.1666666666666665,4,0.6666666666666666,1.0,22431.187328814718,4250.117655592524,7848.559481088157,9239.901627776922,11439.609032051601,34.4501953125,1751.6766689861925,8,0.6666666666666666,0.33333333333333337,0.5349694523118268,0.17832315077060895,336,-172.07972126528284,
4,node_conditioned_dp,0.6,12,,12,12,0,1.0,12,3.75,7,0.8333333333333334,1.0,17946.37988658474,6148.806623334948,13904.60897205952,6172.95125200946,9551.703273357145,18.73828125,2221.725361218134,7,0.5833333333333334,0.41666666666666663,0.6686585303462916,0.2786077209776215,335,-139.68494505280654,
5,node_conditioned_dp,0.6,12,,12,12,0,1.0,12,2.4166666666666665,5,0.5833333333333334,1.0,25670.067590311388,6103.8164231070905,13178.231709972604,8779.050765460684,13356.062143520705,31.728515625,2487.3288493086866,6,0.5,0.5,0.46747052604291317,0.23373526302145659,333,-181.0321610215678,
6,node_conditioned_dp,0.6,12,,12,12,0,1.0,12,5.416666666666667,10,0.8333333333333334,1.0,49271.930999222575,25842.13319079232,42458.92021520247,10711.644739100451,36266.64126182404,91.5703125,2293.644998298096,10,0.8333333333333334,0.16666666666666663,0.24354637126337383,0.040591061877228975,328,-306.15276115497534,
7,node_conditioned_dp,0.6,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,20582.520419197823,1628.5812061512404,2803.290303715947,7858.379999106337,6648.603240283069,55.0107421875,1594.9017387913098,5,0.4166666666666667,0.5833333333333333,0.5830189770543021,0.3400944032816762,336,-127.760907836998,
8,node_conditioned_dp,0.6,12,,12,12,0,1.0,12,1.0833333333333333,2,0.08333333333333333,1.0,24684.577129993882,2578.1389193642644,3973.733923642978,9753.44879703323,8147.6478603479145,78.3544921875,1597.9939667311944,5,0.4166666666666667,0.5833333333333333,0.48613350501430985,0.2835778779250141,336,-153.01052801094497,
9,node_conditioned_dp,0.6,12,,12,12,0,1.0,12,1.0833333333333333,2,0.08333333333333333,1.0,17955.3507523499,1815.1394597559768,3570.3929245927984,7171.663243102604,6535.264927526445,93.9287109375,1970.858523764653,8,0.6666666666666666,0.33333333333333337,0.6683244546715137,0.22277481822383788,336,-126.205416020522,
