episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.6,12,,12,12,0,1.0,8,1.5,3,0.375,1.5,19807.699527911736,1981.9190609297714,3036.891093120806,5600.683199600704,5295.344003557228,37.6904296875,1745.139327279843,7,0.5833333333333334,0.41666666666666663,0.6058250218855739,0.2524270924523225,224,-104.03340976313831,
1,node_conditioned_dp,0.6,12,,12,12,0,1.0,5,3.2,9,0.4,2.4,34975.898634204445,16991.105512564853,28322.479662848018,7009.492318557148,27294.138481586564,36.31640625,672.2678340607349,10,0.8333333333333334,0.16666666666666663,0.34309340055854004,0.05718223342642334,140,-212.36068765466004,
2,node_conditioned_dp,0.6,12,,12,12,0,1.0,10,1.2,2,0.2,1.2,26075.69061675429,2368.5688499154285,3753.6008655273345,9199.620780797504,6640.16368401309,61.93359375,2130.038811768994,8,0.6666666666666666,0.33333333333333337,0.4601987412862498,0.15339958042874993,280,-143.17102736985865,
3,node_conditioned_dp,0.6,12,,12,12,0,1.0,7,1.8571428571428572,3,0.42857142857142855,1.7142857142857142,19393.994234357917,3594.902908580698,7297.549793963759,7574.9639653202785,9674.09352088299,47.3935546875,1020.8016627792357,6,0.5,0.5,0.6187482503599542,0.3093741251799771,196,-126.16516397055655,
4,node_conditioned_dp,0.6,12,,12,12,0,1.0,6,2.3333333333333335,5,0.6666666666666666,2.0,12318.346769296459,3274.6048892427084,5926.675100258827,4369.3912787634845,6830.1932505310215,23.865234375,1118.7622400019516,5,0.4166666666666667,0.5833333333333333,0.974156696896215,0.5682580731894588,168,-83.73494669917531,
5,node_conditioned_dp,0.6,12,,12,12,0,1.0,8,1.625,4,0.25,1.5,25670.067590311388,4399.583058959182,7900.3967379067735,8365.27554500199,11633.281201044278,41.7421875,1807.0825960834673,7,0.5833333333333334,0.41666666666666663,0.46747052604291317,0.19477938585121382,224,-154.93666884914995,
6,node_conditioned_dp,0.6,12,,12,12,0,1.0,4,3.75,10,0.5,3.0,32734.167953585187,13391.016256244833,19859.67884832366,7882.63420075411,24003.299482460046,73.98046875,848.2342703710344,10,0.8333333333333334,0.16666666666666663,0.36658943086670726,0.06109823847778454,112,-205.53451493496198,
7,node_conditioned_dp,0.6,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,20582.520419197823,1628.5812061512404,2803.290303715947,7858.379999106337,6648.603240283069,55.0107421875,1594.9017387913098,5,0.4166666666666667,0.5833333333333333,0.5830189770543021,0.3400944032816762,336,-127.760907836998,
8,node_conditioned_dp,0.6,12,,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,24684.577129993882,2580.770743924915,3973.733923642978,9621.72150306142,7992.8971421948745,82.0810546875,1407.4637604328198,5,0.4166666666666667,0.5833333333333333,0.48613350501430985,0.2835778779250141,308,-148.55214702986012,
9,node_conditioned_dp,0.6,12,,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,17955.3507523499,1777.2423376442027,3324.489849490113,7023.915240771729,6516.137643279393,95.7890625,1891.830735239893,6,0.5,0.5,0.6683244546715137,0.33416222733575685,308,-115.97292444474729,
