episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,dybap_fusion,0.4,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,49362.35238564171,2407.5781514925347,4485.096218891707,10068.201284806455,11702.200688843444,61.7724609375,676.0806432034851,8,0.6666666666666666,0.33333333333333337,0.24310024583614667,0.08103341527871556,336,-165.00342069267538,
1,dybap_fusion,0.4,12,,12,12,0,1.0,11,2.272727272727273,5,0.6363636363636364,1.0909090909090908,23510.63464760196,5929.483456839292,8830.271529907914,7358.7650312627875,14828.140466704037,55.5263671875,678.6140911792147,10,0.8333333333333334,0.16666666666666663,0.5104073190650332,0.08506788651083888,308,-158.91462998469817,
2,dybap_fusion,0.4,12,,12,12,0,1.0,10,1.3,3,0.2,1.2,25248.51598823158,3951.707367503925,8083.968594099953,11778.078021722491,10582.057742533847,114.87890625,825.889624906729,7,0.5833333333333334,0.41666666666666663,0.4752754579949666,0.19803144083123608,276,-167.76828515092387,
3,dybap_fusion,0.4,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,29058.926386094878,2954.837750880779,5745.652866721268,10060.030910988931,15943.508370647543,64.5791015625,753.0966554942786,3,0.25,0.75,0.4129540038940384,0.3097155029205288,336,-180.35915924992113,
4,dybap_fusion,0.4,12,,12,12,0,1.0,8,1.875,4,0.5,1.5,33482.00717501013,5313.1185812580625,9123.05438518291,8850.127364980845,21031.131378181344,189.2666015625,398.61911120697056,9,0.75,0.25,0.3584014523763799,0.08960036309409497,224,-179.2319307226319,
5,dybap_fusion,0.4,12,,12,12,0,1.0,9,2.5555555555555554,7,0.5555555555555556,1.3333333333333333,27883.26869821751,7633.091580248972,12881.762027976665,7913.443196791788,18891.981010237687,68.3642578125,635.8024153117212,8,0.6666666666666666,0.33333333333333337,0.43036561207643215,0.14345520402547737,251,-176.5101247887758,
6,dybap_fusion,0.4,12,,12,12,0,1.0,12,1.3333333333333333,2,0.3333333333333333,1.0,22322.71585746092,2916.784384435432,4324.288405599367,9121.369078009247,7920.901043271108,38.7861328125,665.3112687799965,10,0.8333333333333334,0.16666666666666663,0.5375689981731878,0.08959483302886463,336,-145.63200333851023,
7,dybap_fusion,0.4,12,,12,12,0,1.0,9,1.4444444444444444,3,0.3333333333333333,1.3333333333333333,23969.70345683934,4298.990004129922,8560.412635875306,11029.605995446662,11817.013427926362,105.556640625,408.37748966397317,8,0.6666666666666666,0.33333333333333337,0.5006319757608853,0.16687732525362842,252,-167.36564211327257,
8,dybap_fusion,0.4,12,,12,12,0,1.0,10,1.6,3,0.4,1.2,29409.054406076426,3480.6473943451506,6006.695715088904,10786.552633854906,8976.973238208437,65.373046875,606.8464600267235,8,0.6666666666666666,0.33333333333333337,0.40803760074382367,0.13601253358127455,280,-159.75060687394574,
9,dybap_fusion,0.4,12,,12,12,0,1.0,11,1.6363636363636365,3,0.45454545454545453,1.0909090909090908,35383.93943699418,6238.91617777113,11258.244486000272,8592.592921582724,23298.01070777038,92.0625,598.6834454301702,10,0.8333333333333334,0.16666666666666663,0.33913691327014617,0.05652281887835769,301,-207.82787216459278,
