episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,edgeshard_adapted,0.0,walking,keep,0.1,12,0,1.0,12,1.0,47642.08930328626,1296.8260172328442,2589.8096576008065,0.9166666666666666,0.2518781223805872,0.2308882788488716,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,60,-102.49037563792965,
1,20008,0.4,edgeshard_adapted,0.0,walking,keep,0.1,12,0,1.0,12,1.0,33005.137587985366,12468.66663284158,17997.5787045502,0.1666666666666666,0.3635797599089021,0.0605966266514836,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,72,-196.4972708695038,
2,20009,0.4,edgeshard_adapted,0.0,walking,keep,0.1,12,0,1.0,12,1.0,23890.04035583463,2420.686089640338,4118.428032122567,0.4166666666666666,0.50230136999619,0.2092922374984125,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,72,-155.97114703440016,
3,20010,0.4,edgeshard_adapted,0.0,walking,keep,0.1,12,0,1.0,12,1.0,29090.717683598523,3534.0202048872598,6128.514726390852,0.5833333333333333,0.4125027141137069,0.2406265832329957,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,72,-189.078568502446,
4,20011,0.4,edgeshard_adapted,0.0,walking,keep,0.1,12,0,1.0,12,1.0,28566.431715939627,1555.8687029034727,3573.1879057723804,0.75,0.4200734666242611,0.3150550999681958,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,60,-127.52511552494948,
5,20012,0.4,edgeshard_adapted,0.0,walking,keep,0.1,12,0,1.0,12,1.0,24540.164306458773,4694.914659702141,7660.458718356448,0.4166666666666666,0.4889942809731594,0.2037476170721497,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,84,-175.893176543456,
6,20013,0.4,edgeshard_adapted,0.0,walking,keep,0.1,12,0,1.0,12,1.0,23884.28490905375,3326.148348657784,5728.817494298965,0.25,0.5024224106224421,0.1256056026556105,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,72,-143.00898605207948,
7,20014,0.4,edgeshard_adapted,0.0,walking,keep,0.1,12,0,1.0,12,1.0,27533.55166317485,5405.698223761133,10001.166853014094,0.3333333333333333,0.4358318950929086,0.1452772983643028,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,72,-187.60285197552008,
8,20015,0.4,edgeshard_adapted,0.0,walking,keep,0.1,12,0,1.0,12,1.0,33483.12423038644,6366.196636483578,11019.199625556188,0.3333333333333333,0.3583894954793322,0.1194631651597774,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,72,-207.64390611148937,
9,20016,0.4,edgeshard_adapted,0.0,walking,keep,0.1,12,0,1.0,12,1.0,36818.07673261066,4080.59508899186,7265.939404980339,0.6666666666666667,0.3259268561785388,0.2172845707856925,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,60,-169.63617584094163,
