episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,20007,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,47502.9740290008,1224.2712021752584,2454.925781580152,0.9166666666666666,0.2526157623872969,0.2315644488550221,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-99.4498773424778,
1,20008,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,29081.85613330959,10303.075050844736,15277.377372746212,0.1666666666666666,0.4126284080697145,0.0687714013449524,2,2,0.5,0.0,24.65497459238318,0.0,12.32748729619159,12.32748729619159,0.0,0.0,0.0,0,0,48,-177.78448222550634,
2,20009,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,23734.23247831121,2232.8710018193574,3818.305291959381,0.4166666666666666,0.5055988227538357,0.2106661761474315,1,1,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,48,-153.12083504642305,
3,20010,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,28390.70959704729,3246.6542198284856,5611.106011520731,0.6666666666666667,0.4226734791175501,0.2817823194117001,4,4,0.75,0.0,48.37701456887439,0.0,12.094253642218597,12.094253642218597,0.0,0.0,0.0,0,0,48,-179.13690331392877,
4,20011,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,28566.431715939627,1556.8687029034727,3578.5879057723805,0.75,0.4200734666242611,0.3150550999681958,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,60,-132.2684488794656,
5,20012,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,24158.531812601846,2789.559576147696,5684.025875975958,0.5833333333333333,0.4967189270061695,0.2897527074202655,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,60,-156.56036900379485,
6,20013,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,22903.311001052345,2845.790885812817,4898.116637215484,0.25,0.523941713032174,0.1309854282580435,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,60,-131.58866652397313,
7,20014,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,25404.529089415188,4411.789721511447,8188.457959206877,0.3333333333333333,0.472356718668712,0.1574522395562373,4,4,0.25,0.0,48.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,48,-175.37778347795722,
8,20015,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,32962.54421201322,6013.381550335039,10433.09562495926,0.3333333333333333,0.3640495685896294,0.1213498561965431,3,3,0.0,0.0,42.184741890473546,0.0,14.061580630157849,14.061580630157849,0.0,0.0,0.0,0,0,48,-196.063284012582,
9,20016,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,36283.31673918459,3808.527654190979,6864.845145746437,0.6666666666666667,0.3307305141439966,0.2204870094293311,1,1,0.0,0.0,13.014692860283144,0.0,13.014692860283144,13.014692860283144,0.0,0.0,0.0,0,0,48,-160.5140450629647,
10,20017,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,38138.61279925308,2929.317026044309,5030.98465852409,0.5833333333333333,0.3146417533108339,0.1835410227646531,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-149.5435988256159,
11,20018,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,22105.90430927625,1764.3334272552754,3421.9008028287444,0.6666666666666667,0.5428413980315867,0.3618942653543912,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-106.57314650151734,
12,20019,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,29541.84710011239,2594.227666152738,3744.710294476261,0.5,0.406203442842758,0.203101721421379,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-137.48796685677402,
13,20020,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,39269.85697810749,1734.004303505787,4366.442747137071,0.5833333333333333,0.3055778890839828,0.1782537686323233,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-154.48494546319162,
14,20021,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,33936.77175680761,1731.4860551813672,3791.040688013386,0.5833333333333333,0.3535987478712626,0.2062659362582365,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-112.96398830674778,
15,20022,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,35443.75220875624,8357.608933888829,14691.727173783574,0.25,0.3385646059514954,0.0846411514878738,6,5,0.2,0.0,78.83501203175189,0.0,13.139168671958648,15.767002406350375,0.0,0.0,0.0,0,0,48,-203.2477243899645,
16,20023,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,21118.56682682815,5967.03810779682,9251.03153906556,0.25,0.5682203768086999,0.1420550942021749,3,3,0.0,0.0,36.82001081101279,0.0,12.273336937004265,12.273336937004265,0.0,0.0,0.0,0,0,48,-156.02444999247027,
17,20024,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,35608.120423622706,11273.678841400695,16943.488057548686,0.1666666666666666,0.3370017809768781,0.0561669634961463,4,4,0.0,0.0,56.20506313326528,0.0,14.05126578331632,14.05126578331632,0.0,0.0,0.0,0,0,48,-231.7589071868825,
18,20025,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,32118.405090718752,5488.387064647836,9594.993512746889,0.0833333333333333,0.3736175556073186,0.0311347963006098,1,1,0.0,0.0,12.847892360884808,0.0,12.847892360884808,12.847892360884808,0.0,0.0,0.0,0,0,48,-209.61004977784376,
19,20026,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,51681.73368087587,6515.936022907937,20272.76931131188,0.4166666666666666,0.2321903532512578,0.0967459805213574,4,2,0.5,0.0,51.070989786467045,0.0,12.76774744661676,25.535494893233523,0.0,0.0,0.0,0,0,48,-257.89879593465497,
20,20027,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,27311.46602110217,2327.395035855266,4476.400996728449,0.5,0.4393759013422501,0.219687950671125,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-116.40140581325367,
21,20028,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,39734.54946294577,6006.1656016923,19388.233056379264,0.25,0.3020041792896263,0.0755010448224065,4,2,0.5,0.0,48.0,0.0,12.0,24.0,0.0,0.0,0.0,0,0,48,-238.83498474464105,
22,20029,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,90194.06936426964,48334.99714784719,58537.357634030814,0.0833333333333333,0.1330464417958039,0.0110872034829836,16,7,0.1428571428571428,0.0,215.26286996676487,0.0,13.453929372922804,30.751838566680696,0.0,0.0,0.0,0,0,48,-521.9809881862246,
23,20030,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,41693.139844336256,7060.701428040854,12500.592360073691,0.1666666666666666,0.2878171335812724,0.0479695222635454,5,5,0.0,0.0,63.98850596709634,0.0,12.797701193419268,12.797701193419268,0.0,0.0,0.0,0,0,48,-184.18741307085725,
24,20031,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,28186.851359329128,5278.503707374323,9929.098363892015,0.3333333333333333,0.4257304175987115,0.1419101391995705,4,4,0.25,0.0,51.347974117660414,0.0,12.836993529415103,12.836993529415103,0.0,0.0,0.0,0,0,48,-188.40455535177816,
25,20032,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,34107.99391034756,2441.8077866754734,4185.644973679402,0.6666666666666667,0.3518236819069996,0.2345491212713331,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-171.1963909626179,
26,20033,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,41096.04551210892,1712.236208025931,3142.6433346431045,0.5833333333333333,0.291998897958788,0.1703326904759597,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-142.39241935108507,
27,20034,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,28760.420872387756,2439.899836272671,4214.175631443138,0.6666666666666667,0.4172400693732871,0.2781600462488581,1,1,0.0,0.0,13.539950453486044,0.0,13.539950453486044,13.539950453486044,0.0,0.0,0.0,0,0,48,-150.97681687164146,
28,20035,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,24285.069692884004,1570.5344048950617,2782.813836295523,0.6666666666666667,0.4941307623060366,0.3294205082040244,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-106.20749581990952,
29,20036,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,25921.71070719823,2568.206859675578,5594.872341960409,0.6666666666666667,0.4629324096525661,0.308621606435044,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,48,-149.00685358384578,
30,20037,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,38679.69745875133,12662.586664489245,24606.959849288647,0.0833333333333333,0.3102402756070416,0.0258533563005868,5,4,0.25,0.0,65.60052906734894,0.0,13.120105813469788,16.400132266837236,0.0,0.0,0.0,0,0,48,-261.27936633678377,
31,20038,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,42051.07046208804,8645.585254744838,15431.549401538216,0.1666666666666666,0.2853672895394859,0.0475612149232476,5,4,0.0,0.0,67.59927473379999,0.0,13.519854946759995,16.899818683449997,0.0,0.0,0.0,0,0,48,-254.3146273118873,
32,20039,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,28294.926426885377,2083.410138233639,3807.5291291593935,0.6666666666666667,0.4241043012077881,0.2827362008051921,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-125.89756419711286,
33,20040,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,29369.597989377784,2501.7756100337106,4392.655116915092,0.6666666666666667,0.408585776500587,0.2723905176670579,2,2,0.5,0.0,25.0635465973727,0.0,12.53177329868635,12.53177329868635,0.0,0.0,0.0,0,0,48,-124.73099890310544,
34,20041,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,38500.84510163491,4278.837849461251,10835.40498162969,0.3333333333333333,0.3116814700644175,0.1038938233548058,3,3,0.3333333333333333,0.0,39.10260101918546,0.0,13.034200339728487,13.034200339728487,0.0,0.0,0.0,0,0,48,-174.12494179210807,
35,20042,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,21552.54230900952,4369.483570907232,5575.8088527937,0.1666666666666666,0.556778862927168,0.092796477154528,1,1,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,48,-170.45246396068652,
36,20043,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,31811.95281964304,5825.909390129349,9790.919009587313,0.1666666666666666,0.3772167043008538,0.0628694507168089,1,1,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,48,-210.6654063996819,
37,20044,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,52148.94598132747,4033.481945754849,10020.094605055236,0.5833333333333333,0.2301101158266312,0.1342309008988682,2,2,1.0,0.0,24.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,48,-209.1642996549488,
38,20045,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,78508.71395543733,30500.8178689229,64165.702622647055,0.0833333333333333,0.1528492748819114,0.0127374395734926,8,4,0.0,0.0,102.04617593299758,0.0,12.755771991624698,25.5115439832494,0.0,0.0,0.0,0,0,48,-442.1996449072664,
39,20046,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,33880.12749333283,2823.8414183889704,4662.337502057311,0.5,0.3541899304352218,0.1770949652176109,1,1,0.0,0.0,13.093776202869227,0.0,13.093776202869227,13.093776202869227,0.0,0.0,0.0,0,0,48,-152.20639965301814,
40,20047,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,26579.2023079966,3984.1573429416353,8177.775217484837,0.4166666666666666,0.4514808180074571,0.1881170075031071,1,1,0.0,0.0,12.231659363830028,0.0,12.231659363830028,12.231659363830028,0.0,0.0,0.0,0,0,48,-159.5851037450334,
41,20048,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,26910.11354034421,3374.564532578372,5433.1722575097465,0.3333333333333333,0.4459289992221456,0.1486429997407151,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-164.13764691799926,
42,20049,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,22999.35826519606,2747.57873034986,5260.858483205166,0.3333333333333333,0.5217536881522075,0.1739178960507358,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48,-164.4097943776278,
43,20050,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,30054.4439700804,4579.511281926786,11661.188137346602,0.5833333333333333,0.3992753954106142,0.2329106473228582,2,1,1.0,0.0,24.0,0.0,12.0,24.0,0.0,0.0,0.0,0,0,48,-180.04612111135967,
44,20051,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,23378.052516400978,3146.3831591275825,5453.1091125256,0.4166666666666666,0.5133019524009259,0.2138758135003858,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,60,-133.6611756514525,
45,20052,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,43780.92636267786,4189.529444327768,8183.486017287226,0.1666666666666666,0.2740919618875332,0.0456819936479222,2,2,0.0,0.0,25.949260646027422,0.0,12.974630323013711,12.974630323013711,0.0,0.0,0.0,0,0,48,-214.52810982447343,
46,20053,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,34311.6287616045,3120.6822320538304,6535.429472266796,0.5,0.3497356561932809,0.1748678280966404,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,48,-155.76768353800233,
47,20054,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,54602.66515046856,11034.867936784723,32364.038287764037,0.0833333333333333,0.2197694923303029,0.0183141243608585,7,4,0.0,0.0,86.00907289077253,0.0,12.287010412967504,21.50226822269313,0.0,0.0,0.0,0,0,48,-318.63590324985887,
48,20055,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,56233.86638133412,13784.253924267265,35635.66412104351,0.25,0.2133945391310172,0.0533486347827543,8,4,0.25,0.0,110.1349505824002,0.0,13.766868822800026,27.53373764560005,0.0,0.0,0.0,0,0,48,-323.4658422907908,
49,20056,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,16443.251750489042,2241.9246937858666,4903.752278286442,0.5833333333333333,0.7297826599074666,0.4257065516126888,1,1,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,48,-107.15204391909232,
50,20057,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,34467.40247020883,5391.284054069986,10572.886509812604,0.5,0.3481550433158387,0.1740775216579193,3,3,0.3333333333333333,0.0,39.027629511663456,0.0,13.009209837221151,13.009209837221151,0.0,0.0,0.0,0,0,48,-155.44264648759122,
51,20058,0.4,petals_adapted,0.0,high_speed,keep,0.1,12,0,1.0,12,1.0,36886.68795604748,7518.528964682559,14857.966926889549,0.25,0.3253206146970598,0.0813301536742649,2,2,1.0,0.0,28.883805363678427,0.0,14.441902681839212,14.441902681839212,0.0,0.0,0.0,0,0,48,-226.260530037592,
