episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,dybap_adapted,driving,keep,0.1,12,0,1.0,12,1.0,49314.172416647474,2330.0373028761646,4391.623426482512,0.41666666666666663,0.2433377548874579,0.10139073120310746,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-178.21779824780825,
1,20008,0.4,dybap_adapted,driving,keep,0.1,12,0,1.0,11,1.0909090909090908,23008.025169831973,5678.8365731376225,8553.018992757172,0.16666666666666663,0.5215571484915772,0.08692619141526287,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-169.25975742626974,
2,20009,0.4,dybap_adapted,driving,keep,0.1,12,0,1.0,10,1.2,24983.036027275575,3519.181598593792,6656.653463544817,0.33333333333333337,0.4803259294386333,0.1601086431462111,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276,-176.7106230659749,
3,20010,0.4,dybap_adapted,driving,keep,0.1,12,0,1.0,12,1.0,28699.467650895083,2978.1652463498936,5458.238806090816,0.75,0.4181262226174339,0.3135946669630754,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-195.44111434362907,
4,20011,0.4,dybap_adapted,driving,keep,0.1,12,0,1.0,8,1.5,33448.15666193467,5169.867297552714,8930.585773756218,0.25,0.3587641651313023,0.08969104128282558,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,224,-187.6432533787319,
5,20012,0.4,dybap_adapted,driving,keep,0.1,12,0,1.0,9,1.3333333333333333,27284.982553251593,7339.398374103822,12638.103716662088,0.33333333333333337,0.43980237028115454,0.14660079009371818,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-183.81155402500204,
6,20013,0.4,dybap_adapted,driving,keep,0.1,12,0,1.0,12,1.0,22032.917483905574,2774.160032104172,4129.627311932477,0.16666666666666663,0.5446396288083801,0.09077327146806335,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-157.3805898029763,
7,20014,0.4,dybap_adapted,driving,keep,0.1,12,0,1.0,9,1.3333333333333333,23694.18683927434,4144.0271923730625,8311.52398155169,0.33333333333333337,0.5064533373270012,0.1688177791090004,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-177.15965224951495,
8,20015,0.4,dybap_adapted,driving,keep,0.1,12,0,1.0,11,1.0909090909090908,31623.22163091823,3616.1608954421113,5843.398490647155,0.33333333333333337,0.3794679789445463,0.12648932631484877,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-189.72559647602478,
9,20016,0.4,dybap_adapted,driving,keep,0.1,12,0,1.0,11,1.0909090909090908,37016.84775719483,6384.012292888907,11145.885531120091,0.16666666666666663,0.32417671214771665,0.054029452024619444,1,1,0.0,0.0,13.014692860283144,0.0,13.014692860283144,13.014692860283144,0.0,0.0,0.0,301,-226.21311056652698,
