episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,12,1.0,49314.172416647474,2332.0373028761646,4397.023426482511,0.41666666666666663,0.2433377548874579,0.10139073120310746,1,1,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,336,-190.4707253868707,
1,20008,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,9,1.3333333333333333,24558.73300266919,6445.866672067081,11186.272119167686,0.16666666666666663,0.4886245556192076,0.0814374259365346,3,3,0.0,0.0,36.0,0.0,12.0,12.0,0.0,0.0,0.0,252,-177.4499153380464,
2,20009,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,10,1.2,24983.036027275575,3810.691394203434,7802.608188189016,0.33333333333333337,0.4803259294386333,0.1601086431462111,3,3,0.0,0.0,40.453222324464846,0.0,13.484407441488282,13.484407441488282,0.0,0.0,0.0,275,-191.76675421348548,
3,20010,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,12,1.0,28735.809324365713,2984.212373171003,5481.211996756633,0.75,0.41759742572571085,0.3131980692942831,3,3,0.3333333333333333,0.0,36.34167347063026,0.0,12.113891156876754,12.113891156876754,0.0,0.0,0.0,336,-213.87394020001148,
4,20011,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,8,1.5,33460.15666193467,5177.205314619272,8936.44209679607,0.25,0.3586354995657142,0.08965887489142856,4,4,0.5,0.0,50.02810239934673,0.0,12.507025599836682,12.507025599836682,0.0,0.0,0.0,224,-195.90826255751176,
5,20012,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,8,1.5,27126.826804126813,7657.216591575611,13607.180718971866,0.33333333333333337,0.4423665210327673,0.14745550701092244,4,4,0.25,0.0,48.0,0.0,12.0,12.0,0.0,0.0,0.0,224,-186.6903541555594,
6,20013,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,12,1.0,22032.917483905574,2774.160032104172,4129.627311932477,0.16666666666666663,0.5446396288083801,0.09077327146806335,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-169.64838923782028,
7,20014,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,9,1.3333333333333333,23518.251511461694,4062.05107516371,8164.570905647876,0.33333333333333337,0.5102420132785705,0.17008067109285685,3,3,0.3333333333333333,0.0,36.0,0.0,12.0,12.0,0.0,0.0,0.0,252,-186.30625988001236,
8,20015,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,31623.22163091823,3631.738210739871,5907.936820147955,0.33333333333333337,0.3794679789445463,0.12648932631484877,2,2,0.0,0.0,28.168099413920636,0.0,14.084049706960318,14.084049706960318,0.0,0.0,0.0,308,-201.7820374539719,
9,20016,0.4,dybap_adapted,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,37224.609027642146,6320.851632856023,11129.243412424972,0.16666666666666663,0.3223673884953116,0.05372789808255194,4,4,0.0,0.0,53.66794753846865,0.0,13.416986884617163,13.416986884617163,0.0,0.0,0.0,305,-236.43376829046457,
