episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,12,1.0,48627.4861839941,2142.395862645464,3978.4092696592447,0.41666666666666663,0.246774014897563,0.10282250620731792,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-155.26532118536934,
1,20008,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,7,1.7142857142857142,27699.909420191627,11850.407309293294,20104.66941167821,0.08333333333333337,0.4332144130136648,0.03610120108447207,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195,-169.36532933517321,
2,20009,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,11,1.0909090909090908,24403.85504482965,3144.13837496614,6464.879382791088,0.5833333333333333,0.49172558917253506,0.2868399270173121,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306,-140.9795374200592,
3,20010,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,12,1.0,25226.461758361896,1880.5337907991882,3078.5643319906994,0.8333333333333334,0.47569096748268,0.3964091395689,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-128.0122492397809,
4,20011,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,11,1.0909090909090908,32331.923655167662,3577.295385840584,6870.916952609449,0.25,0.3711502021341072,0.0927875505335268,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-179.1798902380479,
5,20012,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,27284.982553251593,7340.9970616980545,12638.103716662088,0.33333333333333337,0.43980237028115454,0.14660079009371818,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,-170.35141122705286,
6,20013,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,12,1.0,21982.362294190378,2410.071276240727,4079.0721222172806,0.33333333333333337,0.5458921948152692,0.18196406493842304,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-126.9936464787114,
7,20014,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,23671.20045597858,4124.174924352461,8294.788916784804,0.33333333333333337,0.5069451387696389,0.16898171292321296,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-162.50086485077102,
8,20015,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,12,1.0,30475.805760201172,2438.7035889633507,3683.9159143030474,0.5,0.39375497056327174,0.19687748528163587,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-149.17906315345797,
9,20016,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,12,1.0,35256.088655913016,3846.999632147808,6487.980927284753,0.6666666666666667,0.34036674110721027,0.2269111607381402,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329,-168.75435042716836,
10,20017,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,11,1.0909090909090908,36314.791250313036,1556.0963716358847,3199.2376698063617,0.8333333333333334,0.33044386562174055,0.2753698880181171,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-98.37597196592729,
11,20018,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,11,1.0909090909090908,21810.70559600086,1942.6355629779855,3342.3064782219235,0.5833333333333333,0.5501885277017485,0.32094330782602,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306,-117.43367234163053,
12,20019,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,30500.79545281333,2918.973423686462,3923.8805379156515,0.33333333333333337,0.3934323620695323,0.1311441206898441,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-146.80857702459903,
13,20020,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,12,1.0,41737.29316549293,2106.186861504099,6822.442399404145,0.5833333333333333,0.2875126557062215,0.1677157158286292,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334,-152.89768262211894,
14,20021,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,10,1.2,34238.81329669499,2794.9662746446943,4934.694107659052,0.5,0.3504794367729543,0.17523971838647714,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,-115.45915074030916,
15,20022,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,40494.63094042424,10339.930484854513,21736.252397808603,0.25,0.2963355813182843,0.07408389532957108,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,-184.7977991923651,
16,20023,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,11,1.0909090909090908,17001.768139900058,3021.906998887684,5815.267701790355,0.41666666666666663,0.7058089430027094,0.29408705958446224,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-110.59542012197015,
17,20024,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,7,1.7142857142857142,29102.62162206274,8137.55061011302,14226.168624014681,0.25,0.4123339868083494,0.10308349670208734,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,-168.668768860783,
18,20025,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,10,1.2,36177.06373259758,8305.971121742592,14679.291431359781,0.0,0.33170187853546895,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-233.874104450448,
19,20026,0.4,dybap_adapted,stationary,keep,0.1,12,0,1.0,11,1.0909090909090908,46628.44752736253,4585.286647627021,15232.994292311923,0.6666666666666667,0.25735362501524744,0.17156908334349832,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-207.22705420517525,
