episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,12,1.0,49433.19521236545,2503.296897963219,4506.552763812335,0.25,0.24275185830994522,0.060687964577486306,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,-200.05915932221845,
1,20008,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,5,2.4,23631.938293028554,8678.073918033368,13926.294710051832,0.16666666666666663,0.5077873787246648,0.08463122978744414,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,-137.37550586901057,
2,20009,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,25298.747130149495,3162.2718900571176,4900.356694298612,0.41666666666666663,0.47433178956514954,0.19763824565214563,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,-165.54815677021085,
3,20010,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,6,2.0,34782.41878072173,7881.2594427327085,12119.674727771808,0.0,0.34500188372900153,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,-184.03493282626,
4,20011,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,12,1.0,28934.08860279713,1637.386142848138,3123.0623197254513,0.75,0.4147357176074981,0.31105178820562357,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-148.77947499439463,
5,20012,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,11,1.0909090909090908,24410.19316221852,2788.890002248514,5537.746073091234,0.6666666666666667,0.4915979124070717,0.32773194160471447,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-157.70214564638283,
6,20013,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,23226.118093418743,3246.6203380373263,6229.410896043233,0.25,0.5166597341722924,0.1291649335430731,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149,-131.235944145176,
7,20014,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,8,1.5,23384.781550397078,4040.7183979792003,7998.993033409986,0.33333333333333337,0.5131542483789521,0.17105141612631738,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-159.01519191840097,
8,20015,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,8,1.5,35204.13368484561,6487.671557473412,8919.571804026027,0.08333333333333337,0.34086906121384436,0.028405755101153694,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,-207.56186479785168,
9,20016,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,10,1.2,36254.96583297104,4612.479581595379,8563.63121933001,0.5833333333333333,0.3309891410540772,0.1930769989482117,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175,-179.9013886813926,
10,20017,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,10,1.2,38533.87454946553,2804.3568115152334,5713.209296158925,0.6666666666666667,0.31141431118211915,0.20760954078807944,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-135.67956447096242,
11,20018,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,22343.867200821867,2464.097668524165,4384.228889248418,0.5833333333333333,0.5370601199938481,0.3132850699964114,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-125.61320924575415,
12,20019,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,8,1.5,32093.76623068411,3859.1611425425995,5147.19702590253,0.25,0.3739043873425823,0.09347609683564558,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-169.54290778194283,
13,20020,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,12,1.0,38827.51604566799,1586.3395077432226,3912.665279579206,0.5833333333333333,0.30905917303300806,0.180284517602588,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-140.06669359989178,
14,20021,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,10,1.2,33356.56302552681,2072.222670093973,3651.358335468418,0.5833333333333333,0.3597492940389796,0.20985375485607144,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-118.68345413529718,
15,20022,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,7,1.7142857142857142,41395.42881037892,7968.375716212294,19879.64669061747,0.16666666666666663,0.2898870804061168,0.04831451340101947,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,-179.2055841169684,
16,20023,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,7,1.7142857142857142,21945.435459631004,6893.687152287449,13173.108834208775,0.08333333333333337,0.5468107489629996,0.045567562413583305,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,-146.36527575540347,
17,20024,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,6,2.0,28234.45119296345,6045.393716534221,13186.213818031087,0.33333333333333337,0.42501268815136817,0.14167089605045605,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164,-141.9748366016389,
18,20025,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,8,1.5,32957.18322218718,5754.628830509559,10744.562060495962,0.0,0.364108786818937,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,-193.9534106296194,
19,20026,0.4,lecu_rba,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,56690.29052649788,7811.015086823444,25110.3850975895,0.41666666666666663,0.2116764597350409,0.08819852488960038,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-269.1701722028076,
