episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,node_dp,stationary,keep,0.1,12,0,1.0,12,1.0,48842.934391384326,2230.6658739679083,4154.09205819301,0.41666666666666663,0.24568548449285524,0.10236895187202302,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-150.24305489099652,
1,20008,0.4,node_dp,stationary,keep,0.1,12,0,1.0,6,2.0,18505.378421061705,3471.1254361786173,6192.980972587769,0.41666666666666663,0.6484601247787682,0.2701917186578201,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,-93.07362846702594,
2,20009,0.4,node_dp,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,24407.920340252684,2796.1020526501147,5611.987428560567,0.5833333333333333,0.4916436891270094,0.2867921519907555,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-125.89730088981064,
3,20010,0.4,node_dp,stationary,keep,0.1,12,0,1.0,12,1.0,25226.461758361896,1880.5337907991882,3078.5643319906994,0.8333333333333334,0.47569096748268,0.3964091395689,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-128.0122492397809,
4,20011,0.4,node_dp,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,32263.168666518737,3609.558689953575,7188.22720804205,0.41666666666666663,0.3719411482497396,0.1549754784373915,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-162.01553972329214,
5,20012,0.4,node_dp,stationary,keep,0.1,12,0,1.0,8,1.5,24196.81717362427,3511.1963185811005,8454.145062880407,0.5833333333333333,0.49593299457089735,0.28929424683302346,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-130.22481411378445,
6,20013,0.4,node_dp,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,20810.514293737215,2254.6921042608747,3654.562743945959,0.33333333333333337,0.5766315925989066,0.19221053086630221,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-112.04882391689628,
7,20014,0.4,node_dp,stationary,keep,0.1,12,0,1.0,8,1.5,23429.15310512805,4046.5909352789095,8080.872499314233,0.33333333333333337,0.512182405661667,0.17072746855388898,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-156.1152543629083,
8,20015,0.4,node_dp,stationary,keep,0.1,12,0,1.0,10,1.2,30475.805760201172,2069.309941799748,3205.3935485707507,0.5833333333333333,0.39375497056327174,0.22969039949524184,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-131.1922127124276,
9,20016,0.4,node_dp,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,40616.19677891456,5676.925001993332,12650.362951211358,0.5,0.2954486375304757,0.14772431876523784,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-180.63650504295754,
10,20017,0.4,node_dp,stationary,keep,0.1,12,0,1.0,11,1.0909090909090908,36314.791250313036,1556.0963716358847,3199.2376698063617,0.8333333333333334,0.33044386562174055,0.2753698880181171,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-98.37597196592729,
11,20018,0.4,node_dp,stationary,keep,0.1,12,0,1.0,10,1.2,22529.69071330706,2177.495409268029,3777.9219441714945,0.5833333333333333,0.5326304809374172,0.31070111388016003,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-121.36797458306934,
12,20019,0.4,node_dp,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,29835.20868256588,2765.2644020014536,3941.8424546638303,0.41666666666666663,0.4022093536423684,0.16758723068432016,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-134.85185014649943,
13,20020,0.4,node_dp,stationary,keep,0.1,12,0,1.0,12,1.0,41327.30391110768,1999.7738818811758,6404.175079229073,0.5833333333333333,0.2903649370839969,0.16937954663233154,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-148.45632123723738,
14,20021,0.4,node_dp,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,34322.46027484956,2845.544550500115,4321.121072648851,0.5833333333333333,0.3496252862966595,0.20394808367305137,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-110.09046846485847,
15,20022,0.4,node_dp,stationary,keep,0.1,12,0,1.0,7,1.7142857142857142,32334.480535701732,5104.671726848176,12242.42757623744,0.25,0.3711208530704659,0.09278021326761647,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,-140.17032807382566,
16,20023,0.4,node_dp,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,17001.768139900058,2878.184470851155,6382.593144527167,0.41666666666666663,0.7058089430027094,0.29408705958446224,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-98.68706848390386,
17,20024,0.4,node_dp,stationary,keep,0.1,12,0,1.0,7,1.7142857142857142,29173.886943112044,6755.380704777232,13052.660508451956,0.25,0.41132674653190837,0.10283168663297709,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,-156.93117094574325,
18,20025,0.4,node_dp,stationary,keep,0.1,12,0,1.0,9,1.3333333333333333,27368.880161464156,3474.6911144773408,5974.692498732421,0.33333333333333337,0.43845418333542935,0.1461513944451431,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-166.44275625816186,
19,20026,0.4,node_dp,stationary,keep,0.1,12,0,1.0,10,1.2,46628.44752736253,4599.478706575758,15232.994292311923,0.5833333333333333,0.25735362501524744,0.15012294792556102,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-206.09434265221344,
20,20027,0.4,node_dp,stationary,keep,0.1,12,0,1.0,12,1.0,26113.988377251746,1504.2570647943223,2487.608163468856,0.6666666666666667,0.4595238316967838,0.3063492211311892,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-101.59378145418297,
21,20028,0.4,node_dp,stationary,keep,0.1,12,0,1.0,12,1.0,37660.553984901235,2378.847993341223,8150.454898974778,0.5833333333333333,0.3186357801537122,0.18587087175633213,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-164.35333085846793,
22,20029,0.4,node_dp,stationary,keep,0.1,12,0,1.0,6,2.0,44309.8513223683,10257.124292765655,21679.34598093976,0.33333333333333337,0.2708201368742173,0.09027337895807243,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,-232.52150676788526,
23,20030,0.4,node_dp,stationary,keep,0.1,12,0,1.0,10,1.2,33894.46289950854,1975.2842919604866,3504.529322178826,0.6666666666666667,0.3540401284887744,0.2360267523258496,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-98.3138395064588,
24,20031,0.4,node_dp,stationary,keep,0.1,12,0,1.0,8,1.5,24273.780232189227,4319.028324622178,10718.278425840474,0.5,0.49436057693588714,0.24718028846794357,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-149.6561312664036,
25,20032,0.4,node_dp,stationary,keep,0.1,12,0,1.0,11,1.0909090909090908,36191.95651749999,2847.761769780471,6214.9017516856275,0.6666666666666667,0.3315653850931659,0.2210435900621106,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-161.83426375717687,
26,20033,0.4,node_dp,stationary,keep,0.1,12,0,1.0,11,1.0909090909090908,40918.13162982471,2550.610433486091,5891.85941512346,0.5833333333333333,0.29326852234018796,0.17107330469844298,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-151.8761060707666,
27,20034,0.4,node_dp,stationary,keep,0.1,12,0,1.0,8,1.5,35403.36997321978,4924.405868011673,11242.056892187835,0.41666666666666663,0.338950783755252,0.141229493231355,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-155.6521300284943,
28,20035,0.4,node_dp,stationary,keep,0.1,12,0,1.0,11,1.0909090909090908,26247.140570257652,2700.6969978824804,4603.624901674657,0.33333333333333337,0.4571926594395575,0.15239755314651918,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-146.098129578132,
29,20036,0.4,node_dp,stationary,keep,0.1,12,0,1.0,10,1.2,25762.842826302272,2400.882704335002,4989.974927519943,0.5833333333333333,0.46578710590699024,0.27170914511241095,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-138.65623188469584,
30,20037,0.4,node_dp,stationary,keep,0.1,12,0,1.0,7,1.7142857142857142,24679.229857209186,5118.540869811444,10109.72643240201,0.25,0.48623883603461043,0.12155970900865261,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,-141.1020568243521,
31,20038,0.4,node_dp,stationary,keep,0.1,12,0,1.0,7,1.7142857142857142,42477.21869057065,7978.078272797081,15209.408484726819,0.08333333333333337,0.2825043722239713,0.023542031018664273,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,-197.56342071174154,
32,20039,0.4,node_dp,stationary,keep,0.1,12,0,1.0,12,1.0,27099.90394885101,1416.2031377136516,2813.642520110213,0.75,0.4428059974916914,0.3321044981187686,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-104.00996032099259,
33,20040,0.4,node_dp,stationary,keep,0.1,12,0,1.0,10,1.2,29626.0666001709,2013.6932653180627,3492.470643336558,0.6666666666666667,0.4050487080161623,0.27003247201077485,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-101.10719672815195,
