method,mobility_mode,episodes,completion_ratio,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handovers,affected_requests,handover_overhead_ms,handover_slo
NodeDP-LB,stationary,100,1.0,3425.25175772494,6844.329701034369,0.5125,0.42213217251465784,0.21429185880743107,0.0,0.0,0.0,
Full,stationary,100,1.0,3163.708463998318,6520.631501102919,0.5716666666666667,0.4257965292135122,0.24325130914696833,0.0,0.0,0.0,
LECU-RBA (adapted),stationary,100,1.0,5978.021188577054,11825.624655963504,0.30499999999999994,0.3697253083692648,0.11820730320953028,0.0,0.0,0.0,
DyBAP-Adapted,stationary,100,1.0,5879.73970950271,10339.126983333608,0.4325,0.3866161294198743,0.1776946753040221,0.0,0.0,0.0,
NodeDP-LB,walking,100,1.0,3425.288135422367,6844.475211824078,0.5125,0.42213217251465784,0.21429185880743107,0.01,0.01,0.1455107897097795,1.0
Full,walking,100,1.0,3163.744841695746,6520.777011892629,0.5716666666666667,0.4257965292135122,0.24325130914696833,0.01,0.01,0.1455107897097795,1.0
LECU-RBA (adapted),walking,100,1.0,5981.377459510796,11845.215821584563,0.30499999999999994,0.369697262542369,0.11820398656190273,0.12,0.12,1.484370666124684,0.23333333333333334
DyBAP-Adapted,walking,100,1.0,6254.00073001052,11396.82169160086,0.3875,0.3777323183089941,0.15714685320742386,0.1,0.1,1.295706457982681,0.0
NodeDP-LB,driving,100,1.0,3428.4283327768017,6865.250203709509,0.5116666666666666,0.42202760521965127,0.21401711505615334,0.2,0.2,2.5200766932780536,0.5588235294117647
Full,driving,100,1.0,3166.5909023468603,6540.623490864781,0.5708333333333333,0.42570144304729063,0.24297812522881973,0.17,0.17,2.180798737926483,0.4
LECU-RBA (adapted),driving,100,1.0,5983.88853912603,11850.958882050356,0.30499999999999994,0.36961875272833467,0.11819385006722934,0.71,0.64,9.017154495153417,0.17204301075268816
DyBAP-Adapted,driving,100,1.0,6384.501865287665,11550.208764447612,0.3875,0.3774869380415794,0.15721040332238942,0.62,0.55,7.852874025389236,0.2222222222222222
NodeDP-LB,high_speed,100,1.0,3435.2250000267413,6876.073923917654,0.5116666666666666,0.42207236953102867,0.21405515446034054,1.64,1.48,20.935205410950495,0.4631878306878307
Full,high_speed,100,1.0,3168.6265098276967,6542.3559680452245,0.57,0.42577323371915654,0.24266036781906045,1.47,1.29,18.824272038798775,0.5218679138321995
LECU-RBA (adapted),high_speed,100,1.0,5980.516636647996,11877.800707277886,0.30499999999999994,0.36947366710989293,0.1181667786955178,3.81,3.05,49.04014221479028,0.2256956692141877
DyBAP-Adapted,high_speed,100,1.0,6296.856421165481,11532.04722491458,0.3858333333333333,0.37658278728656974,0.15572870226151633,2.82,2.22,36.19163248135038,0.26750992063492063
