method,mobility_mode,episodes,completion_ratio,avg_e2e_ms,p95_e2e_ms,slo,throughput,goodput,handovers,affected_requests,handover_overhead_ms,handover_slo
NodeDP-LB,stationary,100,1.0,3425.25175772494,6844.329701034369,0.5125,0.42213217251465784,0.21429185880743107,0.0,0.0,0.0,
NodeDP-LB,walking,100,1.0,3425.25175772494,6844.329701034369,0.5125,0.42213217251465784,0.21429185880743107,0.0,0.0,0.0,
NodeDP-LB,driving,100,1.0,3422.570896677351,6845.4237773140085,0.5125,0.42215021249265144,0.2142937219136986,0.14,0.14,1.7517623223362022,0.4848484848484848
NodeDP-LB,high_speed,100,1.0,3436.664298513282,6884.085684799323,0.5108333333333333,0.4219048805610148,0.21357148803996942,1.62,1.48,20.65775916806305,0.5174731182795699
LECU-RBA,stationary,100,1.0,5978.021188577054,11825.624655963504,0.30499999999999994,0.3697253083692648,0.11820730320953028,0.0,0.0,0.0,
LECU-RBA,walking,100,1.0,5977.749786782993,11824.16626717538,0.30499999999999994,0.36973584508298624,0.11820807265493537,0.07,0.07,0.8548481090093365,0.0
LECU-RBA,driving,100,1.0,5984.962787505934,11854.311690954664,0.30499999999999994,0.3695859558397733,0.11819494440943863,0.74,0.69,9.477299572453779,0.1875
LECU-RBA,high_speed,100,1.0,5974.056267706151,11859.639599265342,0.30499999999999994,0.3695051932226397,0.11815786197605764,3.92,3.12,50.31994424865012,0.2578552304455919
DyBAP-Adapted,stationary,100,1.0,5879.73970950271,10339.126983333608,0.4325,0.3866161294198743,0.1776946753040221,0.0,0.0,0.0,
DyBAP-Adapted,walking,100,1.0,6295.43039568992,11345.356103537928,0.38416666666666666,0.37775468675749124,0.1560606932266436,0.1,0.1,1.2282712041791255,0.16666666666666666
DyBAP-Adapted,driving,100,1.0,6264.367046263922,11317.766793507728,0.385,0.37844790760517716,0.1565161135500287,0.65,0.59,8.205768606336276,0.21264367816091953
DyBAP-Adapted,high_speed,100,1.0,6205.217651479143,11185.003536288308,0.38166666666666665,0.37922622948949375,0.1550518615202805,2.93,2.43,37.59756917306071,0.29488765203050915
Full,stationary,100,1.0,3163.708463998318,6520.631501102919,0.5716666666666667,0.4257965292135122,0.24325130914696833,0.0,0.0,0.0,
Full,walking,100,1.0,3163.708463998318,6520.631501102919,0.5716666666666667,0.4257965292135122,0.24325130914696833,0.0,0.0,0.0,
Full,driving,100,1.0,3160.8578956738643,6521.360899405819,0.5716666666666667,0.4258248044868588,0.24325405542844916,0.11,0.11,1.4630741512439895,0.48148148148148145
Full,high_speed,100,1.0,3171.1647495397506,6552.386630701339,0.57,0.4255991451156758,0.24258079507854405,1.37,1.24,17.44260629571852,0.5795597484276729
