method,arrival_rate_rps,avg_e2e_s,p95_e2e_s,slo_pct,goodput_rps,mean_batch_size
SeqGreedy-LB,0.1,2.407301972161112,5.331438926060139,72.58333333333334,0.08620743698344255,1.0306060606060605
Fixed4-LB,0.1,2.412039158361,5.360354584050117,72.66666666666666,0.0863049937661336,1.034848484848485
NoBatch-LB,0.1,2.4472708348917735,5.382098873620562,72.33333333333334,0.08593384394558416,1.0
DyBAP-Adapted,0.1,2.424468905075752,5.3795120657608635,72.5,0.08617830389368032,1.0092727272727273
PETALS-Adapted,0.1,3.1601279538789657,7.313658498985269,64.41666666666666,0.0754337816425375,1.0
EdgeShard-Adapted,0.1,3.422254270279348,7.832011061835049,60.583333333333336,0.07080734620431253,1.0
SeqGreedy-LB,0.2,2.777948874825402,6.0009464989609835,63.74999999999999,0.1458663473480625,1.0872034632034633
Fixed4-LB,0.2,2.7726685063020984,5.973304916780812,63.91666666666666,0.14640980360048245,1.1013766233766233
NoBatch-LB,0.2,3.0020473883153667,6.328011973176825,62.16666666666666,0.14141107060362446,1.0
DyBAP-Adapted,0.2,2.8413533644126328,6.088567450673905,63.66666666666666,0.14585289472211818,1.0381212121212122
PETALS-Adapted,0.2,4.163553585624637,8.703426365292511,55.33333333333332,0.12415530813882222,1.0
EdgeShard-Adapted,0.2,4.5600266595381145,9.402843485936675,51.08333333333333,0.11346882646395683,1.0
SeqGreedy-LB,0.3,3.2018036736563493,6.5708303224182245,56.25,0.18387429016323747,1.1876190476190476
Fixed4-LB,0.3,3.20796565350934,6.5263656267392705,56.166666666666664,0.18318207868224312,1.2008095238095238
NoBatch-LB,0.3,3.7665012999947054,7.253360763588241,52.33333333333333,0.16730814853814113,1.0
DyBAP-Adapted,0.3,3.374299949983393,6.7689576403004965,54.58333333333334,0.17732848019146832,1.0838701298701297
PETALS-Adapted,0.3,5.2236174244360685,9.973424341088055,47.16666666666666,0.14974175835334588,1.0
EdgeShard-Adapted,0.3,5.772522172140455,10.845830646486244,42.24999999999999,0.13223888999536032,1.0
SeqGreedy-LB,0.4,3.6044937950993217,7.074732550405871,49.166666666666664,0.20409376133857676,1.3317402597402597
Fixed4-LB,0.4,3.662174019172444,6.9976582573381885,48.666666666666664,0.2027014347337287,1.3793463203463199
NoBatch-LB,0.4,4.634488460400007,8.324215781824348,44.833333333333336,0.17824992522784414,1.0
DyBAP-Adapted,0.4,3.9434839985381203,7.528359501455082,47.24999999999999,0.19359307552129967,1.1628917748917749
PETALS-Adapted,0.4,6.2432172453956705,11.189773659871273,40.16666666666666,0.15750812447426848,1.0
EdgeShard-Adapted,0.4,6.919980643376326,12.285448826819367,34.91666666666666,0.1334361000445461,1.0
SeqGreedy-LB,0.5,3.9732405931544093,7.52332338649526,44.41666666666666,0.21873436450438727,1.4938181818181817
Fixed4-LB,0.5,4.081653980926114,7.494211732146568,43.666666666666664,0.21513841314416615,1.5430043290043287
NoBatch-LB,0.5,5.455596007706926,9.470409377048709,38.74999999999999,0.17624857841958977,1.0
DyBAP-Adapted,0.5,4.421708219794611,8.219525087086456,42.166666666666664,0.20215270141498884,1.2262337662337663
PETALS-Adapted,0.5,7.210575356334107,12.408214342353041,33.75,0.15060314794034885,1.0
EdgeShard-Adapted,0.5,8.002010214591232,13.723431876750075,29.5,0.1281099858399978,1.0
SeqGreedy-LB,0.6,4.404971909970621,8.130406038040826,40.16666666666666,0.22283781032175548,1.6447445887445886
Fixed4-LB,0.6,4.57646764869708,8.101585192004494,39.41666666666666,0.2183152133550903,1.6680735930735933
NoBatch-LB,0.6,6.174548205895468,10.548910041396839,34.166666666666664,0.17129423882394296,1.0
DyBAP-Adapted,0.6,4.89043823600767,8.832933028257242,38.24999999999999,0.20571297590527002,1.2743679653679654
PETALS-Adapted,0.6,8.043706166229544,13.634976111084578,29.5,0.14459995565267098,1.0
EdgeShard-Adapted,0.6,8.922702756824826,15.099292183208211,25.58333333333333,0.12235357562468806,1.0
SeqGreedy-LB,0.7,4.6462052146853345,8.534286792347514,37.75,0.23025299159006427,1.8024935064935064
Fixed4-LB,0.7,4.843952486541119,8.45475249882829,37.33333333333333,0.22796927002434192,1.8054502164502164
NoBatch-LB,0.7,6.828563136628543,11.56174557369864,30.75,0.16403094841313529,1.0
DyBAP-Adapted,0.7,5.261666216830477,9.378885717530853,35.166666666666664,0.20635913259072264,1.3383982683982685
PETALS-Adapted,0.7,8.746035129281205,14.756942619411582,26.583333333333332,0.139059522946193,1.0
EdgeShard-Adapted,0.7,9.685345068638231,16.359306496582306,22.91666666666666,0.11800724538007767,1.0
