episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,no_batch,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,183912.21301834114,2032.0732519566166,3949.694840876812,9163.202355926871,12237.803066856808,53.7451171875,687.2101234272182,4,0.3333333333333333,0.6666666666666667,0.06524852158025671,0.04349901438683781,336,-151.1151561252687,
0,fixed_4,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,183912.21301834114,2032.0732519566166,3949.694840876812,9163.202355926871,12237.803066856808,53.7451171875,687.2101234272182,4,0.3333333333333333,0.6666666666666667,0.06524852158025671,0.04349901438683781,336,-151.1151561252687,
0,sequential_greedy,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,183912.21301834114,2032.0732519566166,3949.694840876812,9163.202355926871,12237.803066856808,53.7451171875,687.2101234272182,4,0.3333333333333333,0.6666666666666667,0.06524852158025671,0.04349901438683781,336,-151.1151561252687,
0,dybap_fusion,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,183912.21301834114,2032.0732519566166,3949.694840876812,9163.202355926871,12237.803066856808,53.7451171875,687.2101234272182,4,0.3333333333333333,0.6666666666666667,0.06524852158025671,0.04349901438683781,336,-151.1151561252687,
1,no_batch,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,66894.79552234773,1619.5917876507065,3952.8107387553728,6197.516416423942,11680.105721649428,19.2041015625,715.8901531209108,0,0.0,1.0,0.17938615263411822,0.17938615263411822,336,-120.57890288534145,
1,fixed_4,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,66894.79552234773,1619.5917876507065,3952.8107387553728,6197.516416423942,11680.105721649428,19.2041015625,715.8901531209108,0,0.0,1.0,0.17938615263411822,0.17938615263411822,336,-120.57890288534145,
1,sequential_greedy,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,66894.79552234773,1619.5917876507065,3952.8107387553728,6197.516416423942,11680.105721649428,19.2041015625,715.8901531209108,0,0.0,1.0,0.17938615263411822,0.17938615263411822,336,-120.57890288534145,
1,dybap_fusion,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,66894.79552234773,1619.5917876507065,3952.8107387553728,6197.516416423942,11680.105721649428,19.2041015625,715.8901531209108,0,0.0,1.0,0.17938615263411822,0.17938615263411822,336,-120.57890288534145,
2,no_batch,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,94082.36269238107,1965.9543204766676,3712.048393537819,10886.118422466348,10134.006995857584,59.3203125,1019.6238174511969,4,0.3333333333333333,0.6666666666666667,0.1275478172166671,0.08503187814444473,336,-163.67121428988725,
2,fixed_4,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,94082.36269238107,1965.9543204766676,3712.048393537819,10886.118422466348,10134.006995857584,59.3203125,1019.6238174511969,4,0.3333333333333333,0.6666666666666667,0.1275478172166671,0.08503187814444473,336,-163.67121428988725,
2,sequential_greedy,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,94082.36269238107,1965.9543204766676,3712.048393537819,10886.118422466348,10134.006995857584,59.3203125,1019.6238174511969,4,0.3333333333333333,0.6666666666666667,0.1275478172166671,0.08503187814444473,336,-163.67121428988725,
2,dybap_fusion,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,94082.36269238107,1965.9543204766676,3712.048393537819,10886.118422466348,10134.006995857584,59.3203125,1019.6238174511969,4,0.3333333333333333,0.6666666666666667,0.1275478172166671,0.08503187814444473,336,-163.67121428988725,
3,no_batch,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,91814.23978540808,1637.2956464975339,2718.2241726522393,7384.831077654742,11476.492614240324,29.3291015625,786.224066075339,0,0.0,1.0,0.13069868059733306,0.13069868059733306,336,-131.87448990053431,
3,fixed_4,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,91814.23978540808,1637.2956464975339,2718.2241726522393,7384.831077654742,11476.492614240324,29.3291015625,786.224066075339,0,0.0,1.0,0.13069868059733306,0.13069868059733306,336,-131.87448990053431,
3,sequential_greedy,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,91814.23978540808,1637.2956464975339,2718.2241726522393,7384.831077654742,11476.492614240324,29.3291015625,786.224066075339,0,0.0,1.0,0.13069868059733306,0.13069868059733306,336,-131.87448990053431,
3,dybap_fusion,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,91814.23978540808,1637.2956464975339,2718.2241726522393,7384.831077654742,11476.492614240324,29.3291015625,786.224066075339,0,0.0,1.0,0.13069868059733306,0.13069868059733306,336,-131.87448990053431,
4,no_batch,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,113827.35808453211,2377.5345215443654,7252.191377637606,7897.213102029796,19984.334547371127,60.474609375,648.8666091314897,1,0.08333333333333333,0.9166666666666666,0.10542281049067648,0.09663757628312011,336,-174.62367571238107,
4,fixed_4,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,113827.35808453211,2377.5345215443654,7252.191377637606,7897.213102029796,19984.334547371127,60.474609375,648.8666091314897,1,0.08333333333333333,0.9166666666666666,0.10542281049067648,0.09663757628312011,336,-174.62367571238107,
4,sequential_greedy,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,113827.35808453211,2377.5345215443654,7252.191377637606,7897.213102029796,19984.334547371127,60.474609375,648.8666091314897,1,0.08333333333333333,0.9166666666666666,0.10542281049067648,0.09663757628312011,336,-174.62367571238107,
4,dybap_fusion,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,113827.35808453211,2377.5345215443654,7252.191377637606,7897.213102029796,19984.334547371127,60.474609375,648.8666091314897,1,0.08333333333333333,0.9166666666666666,0.10542281049067648,0.09663757628312011,336,-174.62367571238107,
5,no_batch,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,94460.63808964743,2046.072073327475,5527.37670188582,7473.024186197088,15007.27855902748,30.7705078125,847.08074832865,3,0.25,0.75,0.12703704148823827,0.0952777811161787,336,-155.097337660483,
5,fixed_4,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,94460.63808964743,2046.072073327475,5527.37670188582,7473.024186197088,15007.27855902748,30.7705078125,847.08074832865,3,0.25,0.75,0.12703704148823827,0.0952777811161787,336,-155.097337660483,
5,sequential_greedy,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,94460.63808964743,2046.072073327475,5527.37670188582,7473.024186197088,15007.27855902748,30.7705078125,847.08074832865,3,0.25,0.75,0.12703704148823827,0.0952777811161787,336,-155.097337660483,
5,dybap_fusion,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,94460.63808964743,2046.072073327475,5527.37670188582,7473.024186197088,15007.27855902748,30.7705078125,847.08074832865,3,0.25,0.75,0.12703704148823827,0.0952777811161787,336,-155.097337660483,
