episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,edgeshard_adapted,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,182535.79024805035,1243.8089220884344,2224.516588326204,8241.363896382849,5144.117012189895,100.81640625,135.70273850530455,1,0.0833333333333333,0.9166666666666666,0.0657405322194241,0.0602621545344721,60,-102.63314970767638,
1,edgeshard_adapted,0.1,12,,12,12,0,1.0,12,1.4166666666666667,3,0.3333333333333333,1.0,68288.54408612571,4797.351301418996,10259.257942867467,7576.075142763976,24788.080954670404,96.0205078125,175.797185048096,8,0.6666666666666666,0.3333333333333333,0.1757249354279037,0.0585749784759679,72,-192.7604387272233,
2,edgeshard_adapted,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,93351.83029008692,1615.272242954079,2919.255610622729,13022.389195726875,4375.483010703792,114.310546875,225.22908004192496,5,0.4166666666666667,0.5833333333333333,0.1285459531185462,0.0749851393191519,72,-152.82316629548458,
3,edgeshard_adapted,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,93574.17770295848,2390.149154956642,4177.610532388689,10571.368083334328,17820.491319071858,117.31640625,183.43980088074636,1,0.0833333333333333,0.9166666666666666,0.128240507099007,0.1175537981740898,72,-181.41233698938504,
4,edgeshard_adapted,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,113630.51426563274,1509.4685368042813,3583.6989475674955,8466.381895693556,9526.348147657587,121.5087890625,120.89239830024415,3,0.25,0.75,0.1056054359830471,0.0792040769872853,60,-127.5482061693229,
5,edgeshard_adapted,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,94503.4518900169,2179.827062326845,5205.511253107095,11205.960987647964,12738.148511554007,123.08203125,250.94693003699447,3,0.25,0.75,0.1269794886854037,0.0952346165140528,84,-168.6073455813904,
6,edgeshard_adapted,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,73529.83117146029,1983.6529988842235,4049.161070240423,9817.908081156247,9209.600554320645,146.2646484375,159.1507647846399,4,0.3333333333333333,0.6666666666666667,0.1631990691236301,0.1087993794157534,72,-133.12634602560595,
7,edgeshard_adapted,0.1,12,,12,12,0,1.0,12,1.0833333333333333,2,0.0833333333333333,1.0,76568.79846488034,3003.9713782848867,7241.359461283287,11690.310346897344,15742.32770871896,157.353515625,129.7004733103494,5,0.4166666666666667,0.5833333333333333,0.1567218010545642,0.0914210506151624,72,-181.50985241310087,
8,edgeshard_adapted,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,111223.05018681978,3022.30916851989,4897.528757470939,11144.14238288257,21095.91071470448,122.4609375,169.5323769234715,6,0.5,0.5,0.10789130472365,0.053945652361825,72,-203.8912961009204,
9,edgeshard_adapted,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,122899.13946406193,2703.570319465394,6655.124229719765,8724.963836128383,17735.71449051288,99.4453125,120.94187432286486,1,0.0833333333333333,0.9166666666666666,0.0976410416893849,0.0895042882152694,60,-163.6128762609784,
10,edgeshard_adapted,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,137597.21230300108,2096.32706146945,4671.356906168872,9245.713234171257,14944.44389282252,91.16015625,154.4675737689617,2,0.1666666666666666,0.8333333333333334,0.0872110691717718,0.0726758909764765,72,-158.7083628133959,
11,edgeshard_adapted,0.1,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,75908.44679399245,1624.9645249880266,2923.0809819258616,6699.347132933524,8661.461279387668,56.5576171875,210.60497630537543,4,0.3333333333333333,0.6666666666666667,0.1580851737431374,0.1053901158287582,84,-111.47813228387427,
