episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,petals_adapted,0.3,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,62518.92136215888,1228.54418767098,2440.276811001328,7625.29520622093,5041.531909784932,75.6123046875,108.99955044085269,1,0.0833333333333333,0.9166666666666666,0.1919418911674202,0.1759467335701351,48,-95.64209721026286,
1,petals_adapted,0.3,12,,12,12,0,1.0,12,2.75,5,0.6666666666666666,1.0,31001.663753315766,8867.566252129584,14560.669296983277,6583.395854331695,22415.04999602245,76.81640625,113.2486362248433,10,0.8333333333333334,0.1666666666666666,0.3870760000329513,0.0645126666721585,48,-178.3842595513848,
2,petals_adapted,0.3,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,31479.608123104143,1662.402782689982,2948.442283976709,12432.50016568299,4338.602458047563,114.310546875,148.73013948588778,5,0.4166666666666667,0.5833333333333333,0.3811991544835248,0.2223661734487228,48,-145.97488382620418,
3,petals_adapted,0.3,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,34227.044391018826,2784.195911161984,4623.045216506895,9576.654969671064,17503.655108103518,117.31640625,117.00569086888063,2,0.1666666666666666,0.8333333333333334,0.350599948476673,0.2921666237305608,48,-171.49033232922,
4,petals_adapted,0.3,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,38020.91088136492,1509.468536804282,3583.698947567496,8466.381895693556,9526.348147657587,121.5087890625,120.89239830024415,3,0.25,0.75,0.3156157946200476,0.2367118459650356,60,-127.5482061693229,
5,petals_adapted,0.3,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,31975.899972664374,2088.802128335042,5180.504868380056,9737.604455603228,10534.845026701392,92.3115234375,180.04153267438673,3,0.25,0.75,0.3752826350551066,0.2814619762913299,60,-147.90543805692508,
6,petals_adapted,0.3,12,,12,12,0,1.0,12,1.25,2,0.25,1.0,27800.08325509357,2542.9939335001254,4429.0449515422015,8546.752241916041,8385.102679156465,146.2646484375,128.71599689135851,7,0.5833333333333334,0.4166666666666666,0.4316533835488187,0.1798555764786744,60,-122.91998461745364,
7,petals_adapted,0.3,12,,12,12,0,1.0,12,1.3333333333333333,3,0.25,1.0,29151.62803290137,3788.754150562263,7152.726937570304,10289.76029283119,14443.826626703383,125.8828125,87.21196442127322,8,0.6666666666666666,0.3333333333333333,0.4116408176742805,0.1372136058914268,48,-171.86695337289038,
8,petals_adapted,0.3,12,,12,12,0,1.0,12,1.75,4,0.4166666666666667,1.0,41512.79567570989,5202.038600148421,8737.18756478355,9708.602201717267,20865.26409475092,122.4609375,113.51644433623976,7,0.5833333333333334,0.4166666666666666,0.2890674984585892,0.1204447910244122,48,-189.8225018636272,
9,petals_adapted,0.3,12,,12,12,0,1.0,12,1.25,3,0.1666666666666666,1.0,45098.85350840061,3518.290752179755,6643.06773109704,7704.723039642689,17218.463460211042,99.4453125,96.19788102622842,4,0.3333333333333333,0.6666666666666667,0.2660821521275424,0.1773881014183615,48,-156.57677321164587,
10,petals_adapted,0.3,12,,12,12,0,1.0,12,1.0833333333333333,2,0.0833333333333333,1.0,49160.81916343804,2525.389763967467,4964.972652834443,7709.62340143485,14271.214662446986,91.16015625,102.70505627268936,4,0.3333333333333333,0.6666666666666667,0.2440968275997455,0.1627312183998303,48,-143.46369315919142,
11,petals_adapted,0.3,12,,12,12,0,1.0,12,1.1666666666666667,2,0.1666666666666666,1.0,27649.61092818375,1624.3484306972198,2938.6180765829067,6422.058435811449,7464.797781039302,37.705078125,121.72351899115976,4,0.3333333333333333,0.6666666666666667,0.4340024903485417,0.2893349935656945,48,-102.9079891914246,
12,petals_adapted,0.3,12,,12,12,0,1.0,12,1.25,2,0.25,1.0,38514.762537497794,2208.667610104447,3059.654001193419,7772.852745124835,10372.849112813965,58.693359375,78.3589047599447,5,0.4166666666666667,0.5833333333333333,0.3115688429421538,0.1817484917162564,48,-131.166385258425,
13,petals_adapted,0.3,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,50034.950326627855,1589.8906489021367,4103.539718123886,11826.533990469636,6456.820986628003,106.7080078125,105.3012278871284,5,0.4166666666666667,0.5833333333333333,0.2398323556167053,0.1399022074430781,48,-149.9985820775518,
14,petals_adapted,0.3,12,,12,12,0,1.0,12,1.1666666666666667,2,0.1666666666666666,1.0,43451.82506360397,1621.3383608584638,3696.1183056277578,8757.341282896119,3045.336488166961,54.158203125,113.76792467768706,5,0.4166666666666667,0.5833333333333333,0.276167916593483,0.1610979513461984,48,-109.37531832951616,
15,petals_adapted,0.3,12,,12,12,0,1.0,12,1.9166666666666667,4,0.5,1.0,42416.51550132242,6814.187618507921,12547.24086375273,9198.672516698434,21204.631258593043,94.833984375,136.33418060550088,9,0.75,0.25,0.2829086703179537,0.0707271675794884,48,-198.40530301065968,
