episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,sequential_greedy,0.3,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,64042.84940456853,2183.4447589541046,4296.633094728378,9163.202355926871,12237.803066856808,53.7451171875,687.2101234272182,6,0.5,0.5,0.18737454862750022,0.09368727431375011,336,-155.1151561252687,
0,node_conditioned_dp,0.3,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,64042.84940456853,2183.4447589541046,4296.633094728378,9163.202355926871,12237.803066856808,53.7451171875,687.2101234272182,6,0.5,0.5,0.18737454862750022,0.09368727431375011,336,-155.1151561252687,
1,sequential_greedy,0.3,12,,12,12,0,1.0,7,1.7142857142857142,5,0.2857142857142857,1.7142857142857142,24203.228903415056,3129.1945159297743,5920.699373070736,4639.77341834677,9982.734213321339,24.6298828125,413.3730764247318,6,0.5,0.5,0.49580161588716,0.24790080794358,196,-102.14833746144029,
1,node_conditioned_dp,0.3,12,,12,12,0,1.0,7,1.7142857142857142,5,0.2857142857142857,1.7142857142857142,24203.228903415056,3129.1945159297743,5920.699373070736,4639.77341834677,9982.734213321339,24.6298828125,413.3730764247318,6,0.5,0.5,0.49580161588716,0.24790080794358,196,-102.14833746144029,
2,sequential_greedy,0.3,12,,12,12,0,1.0,10,1.2,2,0.2,1.2,32258.59546896846,2464.9278874340257,4593.313392320823,9850.368326744523,8669.455595686672,60.064453125,873.4801350021472,4,0.3333333333333333,0.6666666666666667,0.371993877152635,0.24799591810175664,280,-138.04997302093113,
2,node_conditioned_dp,0.3,12,,12,12,0,1.0,10,1.2,2,0.2,1.2,32258.59546896846,2464.9278874340257,4593.313392320823,9850.368326744523,8669.455595686672,60.064453125,873.4801350021472,4,0.3333333333333333,0.6666666666666667,0.371993877152635,0.24799591810175664,280,-138.04997302093113,
3,sequential_greedy,0.3,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,32681.90145555043,1778.3875352763534,3020.0859853011366,7384.831077654742,11476.492614240324,29.3291015625,786.224066075339,0,0.0,1.0,0.36717569864534355,0.36717569864534355,336,-131.87448990053431,
3,node_conditioned_dp,0.3,12,,12,12,0,1.0,12,1.0,1,0.0,1.0,32681.90145555043,1778.3875352763534,3020.0859853011366,7384.831077654742,11476.492614240324,29.3291015625,786.224066075339,0,0.0,1.0,0.36717569864534355,0.36717569864534355,336,-131.87448990053431,
4,sequential_greedy,0.3,12,,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,40060.21772945396,2905.0142102084533,7252.19137763761,7878.57341128571,19809.965048315193,69.615234375,630.4027213687157,4,0.3333333333333333,0.6666666666666667,0.29954904591487264,0.19969936394324844,308,-177.0191789459583,
4,node_conditioned_dp,0.3,12,,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,40060.21772945396,2905.0142102084533,7252.19137763761,7878.57341128571,19809.965048315193,69.615234375,630.4027213687157,4,0.3333333333333333,0.6666666666666667,0.29954904591487264,0.19969936394324844,308,-177.0191789459583,
5,sequential_greedy,0.3,12,,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,32093.790130345238,2734.516864747939,6564.583333956741,7326.591791208688,14747.293843828544,32.9970703125,744.9999603005892,5,0.4166666666666667,0.5833333333333333,0.3739041089027933,0.2181107301932961,308,-154.596569821528,
5,node_conditioned_dp,0.3,12,,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,32093.790130345238,2734.516864747939,6564.583333956741,7326.591791208688,14747.293843828544,32.9970703125,744.9999603005892,5,0.4166666666666667,0.5833333333333333,0.3739041089027933,0.2181107301932961,308,-154.596569821528,
6,sequential_greedy,0.3,12,,12,12,0,1.0,10,1.2,2,0.2,1.2,26599.328639417894,2151.690213248486,3519.8613417100514,8298.623412156245,6115.92250669256,45.5302734375,536.9088186034121,8,0.6666666666666666,0.33333333333333337,0.4511392059052589,0.15037973530175297,280,-121.448749024157,
6,node_conditioned_dp,0.3,12,,12,12,0,1.0,10,1.2,2,0.2,1.2,26599.328639417894,2151.690213248486,3519.8613417100514,8298.623412156245,6115.92250669256,45.5302734375,536.9088186034121,8,0.6666666666666666,0.33333333333333337,0.4511392059052589,0.15037973530175297,280,-121.448749024157,
