episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.7,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,12,12,0,1.0,12,1.0,1,0.0,1.0,28889.245686589235,1833.1544167423726,3231.4731399559632,10206.93454066974,5809.475214326603,25.2041015625,726.5120028667731,4,0.3333333333333333,0.6666666666666667,0.41537948516151657,0.2769196567743444,336,-137.0677446454278,
1,node_conditioned_dp,0.7,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,12,12,0,1.0,6,2.1666666666666665,5,0.3333333333333333,2.0,13654.181465803093,4713.476754864492,7276.519466139172,4225.079377498511,9030.836058961973,24.22265625,398.2660293426053,9,0.75,0.25,0.8788516565459459,0.21971291413648647,168,-97.77876634762293,
2,node_conditioned_dp,0.7,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,12,12,0,1.0,8,1.5,3,0.25,1.5,15649.161208821755,3054.7072419287942,5574.391459083744,9399.603742802905,4747.516740662891,42.978515625,679.9768786376078,7,0.5833333333333334,0.41666666666666663,0.7668142617915746,0.3195059424131561,224,-121.02337695611163,
3,node_conditioned_dp,0.7,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,12,12,0,1.0,9,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,17589.914214050263,2726.2011510905236,4952.422702192546,6834.319839378037,10106.70048534254,35.666015625,648.8938893296865,5,0.4166666666666667,0.5833333333333333,0.6822091258645697,0.397955323420999,252,-121.46930421811446,
4,node_conditioned_dp,0.7,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,12,12,0,1.0,8,1.625,3,0.5,1.5,18532.64908019122,2732.401276252282,4182.771802756465,7370.085188339454,9911.000310934916,33.4833984375,408.364733742306,8,0.6666666666666666,0.33333333333333337,0.6475059203935557,0.2158353067978519,224,-130.69267176529837,
5,node_conditioned_dp,0.7,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,12,12,0,1.0,5,2.4,5,0.4,2.4,19693.11882144512,6117.880952756629,12285.755923951461,6567.862415110361,12770.741259274666,52.0517578125,354.51514706009334,8,0.6666666666666666,0.33333333333333337,0.609349900785264,0.203116633595088,140,-109.41334626469711,
6,node_conditioned_dp,0.7,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,12,12,0,1.0,7,1.7142857142857142,3,0.42857142857142855,1.7142857142857142,14166.895518779711,2353.360064340235,4232.202487497435,6853.946851006094,4947.56972755427,36.6181640625,303.89486484856934,9,0.75,0.25,0.8470451401362237,0.21176128503405592,196,-96.75822460532451,
7,node_conditioned_dp,0.7,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,12,12,0,1.0,6,2.0,3,0.6666666666666666,2.0,16561.124546266004,4191.1709358557755,7453.116020813137,8237.84897174374,8060.401646340797,40.552734375,262.873928181465,10,0.8333333333333334,0.16666666666666663,0.7245884762520919,0.1207647460420153,168,-120.96484108052572,
8,node_conditioned_dp,0.7,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,12,12,0,1.0,8,1.5,4,0.25,1.5,18425.979710413954,2495.225553552734,3609.6050104055184,8432.945456615073,5455.158317667909,38.44921875,515.2707426987155,6,0.5,0.5,0.651254380423412,0.325627190211706,224,-119.87760751354558,
9,node_conditioned_dp,0.7,12,outputs/train_online_ddqn_cpu_300_analytic/agent_ep150.pt,12,12,0,1.0,10,1.2,3,0.1,1.2,21277.661052335574,3265.4039027315807,5386.9034802147435,7655.211410008249,10490.973799283647,28.5380859375,648.0754399423298,4,0.3333333333333333,0.6666666666666667,0.5639717622385381,0.37598117482569204,280,-136.40087732099906,
