baseline,arrival_rate_rps,baseline_avg_e2e_ms,full_avg_e2e_ms,avg_e2e_reduction_pct,baseline_p95_e2e_ms,full_p95_e2e_ms,p95_e2e_reduction_pct,baseline_slo,full_slo,slo_gain_pp,baseline_throughput,full_throughput,throughput_gain_pct,baseline_goodput,full_goodput,goodput_gain_pct
NoBatch-LB,0.1,2447.270834891773,2250.9502163381308,8.022022563037016,5382.098873620561,5002.958162542382,7.04447688496532,0.7233333333333333,0.76,3.6666666666666736,0.1184485412059346,0.118674571369984,0.19082562077014115,0.0859338439455841,0.0906839417137291,5.5276216564371214
Fixed4-LB,0.1,2412.039158360999,2250.9502163381308,6.678537596061646,5360.3545840501165,5002.958162542382,6.667402611222359,0.7266666666666667,0.76,3.3333333333333326,0.118501771336551,0.118674571369984,0.14582063329857947,0.0863049937661336,0.0906839417137291,5.073805994889964
SeqGreedy-LB,0.1,2407.3019721611117,2250.9502163381308,6.49489584734644,5331.438926060138,5002.958162542382,6.16120278358885,0.7258333333333333,0.76,3.416666666666668,0.118501771336551,0.118674571369984,0.14582063329857947,0.0862074369834425,0.0906839417137291,5.192712933973864
LECU-RBA (adapted),0.1,3782.83333160584,2250.9502163381308,40.49565447329433,8451.110865605728,5002.958162542382,40.80117700380212,0.4958333333333333,0.76,26.41666666666667,0.1167490782347887,0.118674571369984,1.6492576766413771,0.0572049780910849,0.0906839417137291,58.52456331569108
DyBAP-Adapted,0.1,3372.5568826883136,2250.9502163381308,33.25686431287511,8109.953111147373,5002.958162542382,38.31088670949693,0.6041666666666666,0.76,15.583333333333337,0.1177615804595067,0.118674571369984,0.7752875826859615,0.0716590403149897,0.0906839417137291,26.549199256802993
NoBatch-LB,0.2,3002.047388315367,2599.5850208671022,13.406262972887678,6328.011973176826,5722.026491309918,9.576237915407859,0.6216666666666666,0.6866666666666668,6.500000000000017,0.2292117504639231,0.2309896260911972,0.7756476810964958,0.1414110706036244,0.1580890141764926,11.79394477509934
Fixed4-LB,0.2,2772.668506302098,2599.5850208671022,6.242487518489436,5973.304916780813,5722.026491309918,4.206690081481997,0.6391666666666667,0.6866666666666668,4.75000000000001,0.2305094195055645,0.2309896260911972,0.20832406183778523,0.1464098036004824,0.1580890141764926,7.9770686721771735
SeqGreedy-LB,0.2,2777.948874825402,2599.5850208671022,6.420703259685088,6000.946498960983,5722.026491309918,4.647933583466507,0.6375,0.6866666666666668,4.91666666666668,0.2304653135658843,0.2309896260911972,0.22750170826162758,0.1458663473480625,0.1580890141764926,8.379360318980693
LECU-RBA (adapted),0.2,4592.924468514215,2599.5850208671022,43.4002226971511,9691.2086713033,5722.026491309918,40.956523738329494,0.4133333333333333,0.6866666666666668,27.33333333333335,0.2207908927388274,0.2309896260911972,4.619182080319692,0.0907475082273118,0.1580890141764926,74.20755375508304
DyBAP-Adapted,0.2,4465.528966284739,2599.5850208671022,41.78550759620484,9423.45074928793,5722.026491309918,39.27886245129157,0.5158333333333333,0.6866666666666668,17.08333333333335,0.2235732823041772,0.2309896260911972,3.3171869691164035,0.1178798891341793,0.1580890141764926,34.110250134816816
