episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,full,high_speed,prefetch,0.1,12,0,1.0,12,1.0,47935.05016153705,1571.3068228036816,2983.365135991883,0.9166666666666666,0.25033873876341045,0.22947717719979294,1,1,1.0,152.7421875,2.0,2.0,2.0,2.0,2.0,2.0,152.7421875,336,-163.10809621631594,
1,20008,0.4,full,high_speed,prefetch,0.1,12,0,1.0,6,2.0,18505.378421061705,3471.4587695119503,6192.980972587769,0.41666666666666663,0.6484601247787682,0.2701917186578201,2,2,0.0,248.5546875,4.0,4.0,2.0,2.0,2.0,2.0,124.27734375,168,-110.19362846702595,
2,20009,0.4,full,high_speed,prefetch,0.1,12,0,1.0,10,1.2,24178.147459153686,2369.17236719343,4478.354270625598,0.5833333333333333,0.49631594067629364,0.2895176320611713,1,1,0.0,313.8515625,2006.7163968632049,2006.7163968632049,2006.7163968632049,2006.7163968632049,2006.7163968632049,2006.7163968632049,313.8515625,280,-152.97261867344244,
3,20010,0.4,full,high_speed,prefetch,0.1,12,0,1.0,12,1.0,25226.461758361896,1880.5337907991882,3078.5643319906994,0.8333333333333334,0.47569096748268,0.3964091395689,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-159.9808522007553,
4,20011,0.4,full,high_speed,prefetch,0.1,12,0,1.0,12,1.0,28882.516207745433,1736.0302852889815,3983.568446883306,0.8333333333333334,0.41547626646122876,0.346230222051024,1,1,1.0,151.4296875,2.0,2.0,2.0,2.0,2.0,2.0,151.4296875,336,-169.7135249930682,
5,20012,0.4,full,high_speed,prefetch,0.1,12,0,1.0,8,1.5,24196.81717362427,3449.916849884455,8357.455982106736,0.5833333333333333,0.49593299457089735,0.28929424683302346,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-149.34495867222898,
6,20013,0.4,full,high_speed,prefetch,0.1,12,0,1.0,9,1.3333333333333333,20810.514293737215,2187.663927391953,3654.562743945959,0.33333333333333337,0.5766315925989066,0.19221053086630221,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-133.14298215983877,
7,20014,0.4,full,high_speed,prefetch,0.1,12,0,1.0,7,1.7142857142857142,25045.157505037707,4971.136021372601,9991.0730661342,0.33333333333333337,0.47913453918531995,0.15971151306177334,3,3,0.3333333333333333,799.3125,6384.760051630836,6384.760051630836,2128.2533505436118,2128.2533505436118,2128.2533505436118,2128.2533505436118,266.4375,196,-146.33540602964183,
8,20015,0.4,full,high_speed,prefetch,0.1,12,0,1.0,10,1.2,30475.805760201172,2069.309941799748,3205.3935485707507,0.5833333333333333,0.39375497056327174,0.22969039949524184,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-161.64403080032204,
9,20016,0.4,full,high_speed,prefetch,0.1,12,0,1.0,10,1.2,32493.384695792014,2471.8502201359315,5141.782118175346,0.6666666666666667,0.3693059406505606,0.24620396043370704,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-159.1709958983211,
10,20017,0.4,full,high_speed,prefetch,0.1,12,0,1.0,11,1.0909090909090908,36314.791250313036,1556.0963716358847,3199.2376698063617,0.8333333333333334,0.33044386562174055,0.2753698880181171,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-134.68295212220738,
11,20018,0.4,full,high_speed,prefetch,0.1,12,0,1.0,10,1.2,22102.67885187029,2092.8398237803485,3525.1225137193383,0.5833333333333333,0.5429206152078974,0.3167036922046068,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-149.12191607018946,
12,20019,0.4,full,high_speed,prefetch,0.1,12,0,1.0,9,1.3333333333333333,29315.7810062462,2424.8777359065216,3366.957793339114,0.5833333333333333,0.4093358453402011,0.2387792431151173,1,1,0.0,145.8515625,2.0,2.0,2.0,2.0,2.0,2.0,145.8515625,252,-152.08825170462853,
