episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,full,high_speed,reactive,0.3,12,0,1.0,12,1.0,47935.05016153705,1839.6709683013232,3794.8729311218085,0.75,0.25033873876341045,0.18775405407255785,1,1,0.0,152.7421875,1805.350655844281,1805.350655844281,1805.350655844281,1805.350655844281,1805.350655844281,1805.350655844281,152.7421875,336,-164.66777918269466,
1,20008,0.4,full,high_speed,reactive,0.3,12,0,1.0,6,2.0,18505.378421061705,3582.714550372201,6447.253670076677,0.41666666666666663,0.6484601247787682,0.2701917186578201,2,2,0.0,248.5546875,1339.069370323003,1339.069370323003,669.5346851615016,669.5346851615016,669.5346851615016,669.5346851615016,124.27734375,168,-110.19362846702595,
2,20009,0.4,full,high_speed,reactive,0.3,12,0,1.0,10,1.2,24178.147459153686,2672.2301362366056,6296.700884884649,0.5833333333333333,0.49631594067629364,0.2895176320611713,1,1,0.0,313.8515625,3825.0630111222563,3825.0630111222563,3825.0630111222563,3825.0630111222563,3825.0630111222563,3825.0630111222563,313.8515625,280,-152.86690997129247,
3,20010,0.4,full,high_speed,reactive,0.3,12,0,1.0,12,1.0,25226.461758361896,1880.5337907991882,3078.5643319906994,0.8333333333333334,0.47569096748268,0.3964091395689,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-159.4516593741269,
4,20011,0.4,full,high_speed,reactive,0.3,12,0,1.0,12,1.0,28882.516207745433,1823.3438060520573,4467.938873756039,0.8333333333333334,0.41547626646122876,0.346230222051024,1,1,1.0,151.4296875,1049.76224915691,1049.76224915691,1049.76224915691,1049.76224915691,1049.76224915691,1049.76224915691,151.4296875,336,-169.68720205733663,
5,20012,0.4,full,high_speed,reactive,0.3,12,0,1.0,8,1.5,24196.81717362427,3449.916849884455,8357.455982106736,0.5833333333333333,0.49593299457089735,0.28929424683302346,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-149.34495867222898,
6,20013,0.4,full,high_speed,reactive,0.3,12,0,1.0,9,1.3333333333333333,20810.514293737215,2187.663927391953,3654.562743945959,0.33333333333333337,0.5766315925989066,0.19221053086630221,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-133.33847315088852,
7,20014,0.4,full,high_speed,reactive,0.3,12,0,1.0,7,1.7142857142857142,26377.729230978464,5757.588410043122,10894.547191363685,0.25,0.4549292281727948,0.1137323070431987,5,5,0.0,910.7109375,11161.548420815758,11161.548420815758,2232.3096841631514,2232.3096841631514,2232.3096841631514,2232.3096841631514,182.1421875,196,-146.33540602964183,
8,20015,0.4,full,high_speed,reactive,0.3,12,0,1.0,10,1.2,30475.805760201172,2069.309941799748,3205.3935485707507,0.5833333333333333,0.39375497056327174,0.22969039949524184,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-162.163369888594,
9,20016,0.4,full,high_speed,reactive,0.3,12,0,1.0,10,1.2,32493.384695792014,2471.8502201359315,5141.782118175346,0.6666666666666667,0.3693059406505606,0.24620396043370704,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-159.59970815791667,
