mobility_mode,migration_policy,prediction_error,episodes,completion_ratio,avg_e2e_ms,p95_e2e_ms,slo,throughput,goodput,handovers,affected_requests,handover_slo,migration_mb,handover_overhead_ms,migration_ms,migration_ms_per_event,migration_mb_per_event
driving,keep,0.0,100,1.0,3160.9048867639026,6521.527040600069,0.5716666666666667,0.42582441766624024,0.24325394017150143,0.12,0.12,0.4333333333333333,0.0,1.5830741512439894,0.0,0.0,0.0
driving,keep,0.1,100,1.0,3160.8578956738643,6521.360899405819,0.5716666666666667,0.4258248044868588,0.24325405542844916,0.11,0.11,0.48148148148148145,0.0,1.4630741512439895,0.0,0.0,0.0
driving,keep,0.2,100,1.0,3163.8928120982264,6520.8421367443525,0.5716666666666667,0.42579863593138284,0.2432496940025365,0.11,0.11,0.5,0.0,1.4779044462151194,0.0,0.0,0.0
driving,keep,0.3,100,1.0,3162.673811772503,6518.769564757398,0.5716666666666667,0.42583808784780913,0.24326633586073224,0.09,0.09,0.4444444444444444,0.0,1.2379044462151194,0.0,0.0,0.0
driving,reactive,0.0,100,1.0,3285.158092118032,6807.515685214279,0.5691666666666666,0.42340812525369054,0.24167887522657205,0.14,0.14,0.2833333333333333,32.669765625,373.0703957813538,373.0703957813538,284.5763929964443,24.72203125
driving,reactive,0.1,100,1.0,3276.42960112535,6783.684444192349,0.57,0.4234597415685417,0.24199934889585606,0.12,0.12,0.3333333333333333,27.81515625,342.3863938125267,342.3863938125267,268.13868522165046,21.7128515625
driving,reactive,0.2,100,1.0,3244.6297923705447,6753.708522418455,0.57,0.4241180567729046,0.24210906809658322,0.14,0.14,0.3333333333333333,28.93078125,336.86534592128584,336.86534592128584,266.12716113587544,23.1899609375
driving,reactive,0.3,100,1.0,3209.737998024488,6695.405055758905,0.5708333333333333,0.4250745601798247,0.24291957833024647,0.1,0.1,0.3333333333333333,23.3559375,264.61981250815745,264.61981250815745,244.7900783157843,21.643125
driving,prefetch,0.0,100,1.0,3163.651900303079,6520.098066469439,0.5716666666666667,0.42580262187706647,0.24325097336462279,0.12,0.12,0.4333333333333333,28.528828125,0.24,0.24,0.2,25.237734375
driving,prefetch,0.1,100,1.0,3163.638242546375,6520.031925275189,0.5716666666666667,0.4258030088654939,0.24325108864953865,0.11,0.11,0.48148148148148145,25.305,0.22,0.22,0.18,22.01390625
driving,prefetch,0.2,100,1.0,3166.6963655051,6533.488000126065,0.5716666666666667,0.4258033793308211,0.24325115039375983,0.11,0.11,0.5,29.071875,22.08310079315306,22.08310079315306,22.063100793153062,28.0735546875
driving,prefetch,0.3,100,1.0,3165.5440318460433,6531.5154281391115,0.5716666666666667,0.4258407958181052,0.24326677453738454,0.09,0.09,0.4444444444444444,24.031875,22.043100793153062,22.043100793153062,22.043100793153062,24.031875
high_speed,keep,0.0,100,1.0,3168.7376006501827,6547.717317995982,0.57,0.42573011715380255,0.24263917213405645,1.3,1.17,0.5859477124183007,0.0,16.560624587344005,0.0,0.0,0.0
high_speed,keep,0.1,100,1.0,3171.1647495397506,6552.386630701339,0.57,0.4255991451156758,0.24258079507854405,1.37,1.24,0.5795597484276729,0.0,17.44260629571852,0.0,0.0,0.0
high_speed,keep,0.2,100,1.0,3172.4372809049673,6556.662044590134,0.57,0.42553552972551,0.24254273896516543,1.34,1.22,0.5862179487179487,0.0,17.11198686467446,0.0,0.0,0.0
high_speed,keep,0.3,100,1.0,3171.8747817912304,6555.0534061687285,0.57,0.4256986718554825,0.2426087102139576,1.37,1.25,0.5984848484848484,0.0,17.507004589819072,0.0,0.0,0.0
high_speed,reactive,0.0,100,1.0,3983.0190559024754,8590.309046824983,0.5425,0.40785702772616067,0.22464383459606238,1.58,1.43,0.5334267040149393,303.60421875,3299.6627844973445,3299.6627844973445,1040.4353034336468,98.356818359375
high_speed,reactive,0.1,100,1.0,4016.285610197038,8635.14921267928,0.5383333333333333,0.40716553178141934,0.22213616028402747,1.64,1.49,0.5077493261455526,309.305390625,3373.7620771862416,3373.7620771862416,1050.3656425045199,99.98092134232955
high_speed,reactive,0.2,100,1.0,3983.068581774756,8406.744193675573,0.54,0.40790131884857345,0.22315838271764107,1.52,1.38,0.5336767399267399,290.92875,3143.717145397607,3143.717145397607,1010.8959464495047,98.27518880208333
high_speed,reactive,0.3,100,1.0,3996.858164581883,8532.811500192845,0.5383333333333333,0.4075978290322795,0.22280209840059334,1.56,1.42,0.5254978354978355,302.63296875,3325.0156898666523,3325.0156898666523,1077.8699424148124,105.35176432291667
high_speed,prefetch,0.0,100,1.0,3255.6133866822,6781.1843709522855,0.5675,0.4222664758671677,0.24040224674855362,1.32,1.19,0.5986928104575163,261.935625,493.8832574530972,493.8832574530972,139.09018912706003,102.677484375
high_speed,prefetch,0.1,100,1.0,3341.661395807864,7008.437366892696,0.5608333333333334,0.42105762824156073,0.2364365020809549,1.38,1.26,0.5776729559748428,301.305703125,717.550326337765,717.550326337765,250.63049792971998,120.82302734375
high_speed,prefetch,0.2,100,1.0,3429.396056753353,7213.6400520197,0.5616666666666666,0.41953575438308377,0.23667520562379565,1.39,1.27,0.5862408424908425,344.145703125,1032.6424512277501,1032.6424512277501,349.78380609429536,133.63974283854165
high_speed,prefetch,0.3,100,1.0,3488.6113215804094,7295.512349775941,0.5566666666666666,0.4188087257454127,0.23455930661985477,1.38,1.26,0.6129004329004328,373.890234375,1260.1177125373883,1260.1177125373883,462.43437434115737,156.91230859375
