mobility_mode,migration_policy,prediction_error,avg_e2e_ms,p95_e2e_ms,slo,goodput,handovers,handover_slo,migration_mb,overhead_ms
driving,keep,0.0,3166.5909023468603,6540.623490864781,0.5708333333333333,0.24297812522881973,0.17,0.4,0.0,2.180798737926483
driving,keep,0.1,3166.5909023468603,6540.623490864781,0.5708333333333333,0.24297812522881973,0.17,0.4,0.0,2.180798737926483
driving,keep,0.2,3166.5909023468603,6540.623490864781,0.5708333333333333,0.24297812522881973,0.17,0.4,0.0,2.180798737926483
driving,keep,0.3,3166.5909023468603,6540.623490864781,0.5708333333333333,0.24297812522881973,0.17,0.4,0.0,2.180798737926483
driving,prefetch,0.0,3180.757588754024,6581.406987424835,0.5708333333333333,0.24284796876722134,0.18,0.3888888888888889,45.043359375,72.31629085738874
driving,prefetch,0.1,3183.1095503082497,6590.065413308254,0.5708333333333333,0.2428171006199436,0.19,0.3888888888888889,51.179296875,89.34766008529019
driving,prefetch,0.2,3196.628369770186,6614.11236989192,0.57,0.24238092358780086,0.19,0.3888888888888889,56.62125,150.66701208037185
driving,prefetch,0.3,3226.8354832344075,6641.810069574271,0.57,0.2423254322363041,0.18,0.4,57.02484375,176.42711196735402
driving,reactive,0.0,3360.0091832711637,6964.404224271454,0.5666666666666667,0.2404765769146098,0.19,0.4111111111111111,47.271328125,590.9586926074276
driving,reactive,0.1,3360.0091832711637,6964.404224271454,0.5666666666666667,0.2404765769146098,0.19,0.4111111111111111,47.271328125,590.9586926074276
driving,reactive,0.2,3360.0091832711637,6964.404224271454,0.5666666666666667,0.2404765769146098,0.19,0.4111111111111111,47.271328125,590.9586926074276
driving,reactive,0.3,3360.0091832711637,6964.404224271454,0.5666666666666667,0.2404765769146098,0.19,0.4111111111111111,47.271328125,590.9586926074276
high_speed,keep,0.0,3168.6265098276967,6542.3559680452245,0.57,0.24266036781906045,1.47,0.5218679138321995,0.0,18.824272038798775
high_speed,keep,0.1,3168.6265098276967,6542.3559680452245,0.57,0.24266036781906045,1.47,0.5218679138321995,0.0,18.824272038798775
high_speed,keep,0.2,3168.6265098276967,6542.3559680452245,0.57,0.24266036781906045,1.47,0.5218679138321995,0.0,18.824272038798775
high_speed,keep,0.3,3168.6265098276967,6542.3559680452245,0.57,0.24266036781906045,1.47,0.5218679138321995,0.0,18.824272038798775
high_speed,prefetch,0.0,3302.1920518100924,6784.471001193261,0.5658333333333334,0.23976419349949385,1.44,0.5497448979591837,305.19234375,647.780140825134
high_speed,prefetch,0.1,3399.8992217504183,6965.682473291939,0.5633333333333334,0.23787181739363247,1.42,0.5476615646258504,324.17109375,848.6929393158518
high_speed,prefetch,0.2,3466.0362876736094,7128.590379356034,0.5608333333333334,0.2365097279365688,1.41,0.5476615646258504,343.0021875,1012.4893400487615
high_speed,prefetch,0.3,3533.5987404857497,7242.845863274894,0.5591666666666666,0.23537492366649798,1.45,0.5367772108843537,377.94421875,1211.2968893809648
high_speed,reactive,0.0,4155.0378389440175,8946.72136635109,0.5366666666666666,0.22370333906843431,1.63,0.4370535714285714,328.741875,3801.7946083051083
high_speed,reactive,0.1,4155.0378389440175,8946.72136635109,0.5366666666666666,0.22370333906843431,1.63,0.4370535714285714,328.741875,3801.7946083051083
high_speed,reactive,0.2,4155.0378389440175,8946.72136635109,0.5366666666666666,0.22370333906843431,1.63,0.4370535714285714,328.741875,3801.7946083051083
high_speed,reactive,0.3,4155.0378389440175,8946.72136635109,0.5366666666666666,0.22370333906843431,1.63,0.4370535714285714,328.741875,3801.7946083051083
