episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.2,full,high_speed,keep,0.1,12,0,1.0,12,1.0,92886.06151670177,1512.2204415781905,2852.36329079754,0.9166666666666666,0.12919053520040022,0.11842465726703352,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-161.10809621631594,
1,20008,0.2,full,high_speed,keep,0.1,12,0,1.0,9,1.3333333333333333,34303.524351102766,2381.0396838262673,4861.955886344334,0.5833333333333333,0.3498182833104212,0.20406066526441236,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-132.39759460454977,
2,20009,0.2,full,high_speed,keep,0.1,12,0,1.0,12,1.0,47362.060167933414,1724.816978631258,3449.240307143528,0.6666666666666667,0.25336735685591283,0.1689115712372752,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-175.8736684394815,
3,20010,0.2,full,high_speed,keep,0.1,12,0,1.0,12,1.0,47401.08863205852,1606.4014516345603,2680.5206310106887,1.0,0.253158742685165,0.253158742685165,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-157.9808522007553,
4,20011,0.2,full,high_speed,keep,0.1,12,0,1.0,12,1.0,57204.75482519493,1591.1954221202948,3989.125783783886,0.9166666666666666,0.20977277215275802,0.19229170780669486,1,1,1.0,0.0,12.104248910147195,0.0,12.104248910147195,12.104248910147195,0.0,0.0,0.0,336,-169.7135249930682,
5,20012,0.2,full,high_speed,keep,0.1,12,0,1.0,12,1.0,47584.385158362595,2067.807499427676,5915.935347099519,0.75,0.25218356736277153,0.18913767552207866,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-175.27532202195118,
6,20013,0.2,full,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,37156.13292564974,1640.2510848066831,3083.3268454227155,0.6666666666666667,0.32296148859226737,0.21530765906151159,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-142.72608875807597,
7,20014,0.2,full,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,38837.31011324913,2424.3261101209937,4986.1338066008075,0.5833333333333333,0.3089812338961721,0.1802390531061004,2,2,0.0,0.0,24.0,0.0,12.0,12.0,0.0,0.0,0.0,308,-194.1162692039111,
8,20015,0.2,full,high_speed,keep,0.1,12,0,1.0,12,1.0,56592.23265747985,1647.8579275749696,2286.2624762562377,0.6666666666666667,0.21204323343503834,0.1413621556233589,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-179.47497695438335,
9,20016,0.2,full,high_speed,keep,0.1,12,0,1.0,12,1.0,61800.61553481588,2025.7837718362855,4586.8965562039375,0.9166666666666666,0.19417282329881816,0.17799175469058331,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-172.13643695056442,
10,20017,0.2,full,high_speed,keep,0.1,12,0,1.0,12,1.0,69362.65686846059,1288.1498036817136,2952.215043519957,1.0,0.1730037536300954,0.1730037536300954,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-140.007545530312,
11,20018,0.2,full,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,39591.37124140746,1730.6133164850792,3009.4313400614847,0.6666666666666667,0.30309634710124794,0.20206423140083196,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-157.79793780147372,
12,20019,0.2,full,high_speed,keep,0.1,12,0,1.0,12,1.0,56888.93473044471,1797.420221774888,2861.045222295537,0.75,0.21093733002488574,0.15820299751866432,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-171.51095594335553,
13,20020,0.2,full,high_speed,keep,0.1,12,0,1.0,12,1.0,85583.71404575116,4387.421655028568,15803.36033085856,0.33333333333333337,0.14021359243167533,0.04673786414389178,2,1,0.0,0.0,29.679943614992894,0.0,14.839971807496447,29.679943614992894,0.0,0.0,0.0,336,-298.73565773363396,
14,20021,0.2,full,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,62102.70985376236,1758.6773284812418,2972.029188817107,0.5833333333333333,0.19322828308550863,0.1127164984665467,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-165.78934551484383,
15,20022,0.2,full,high_speed,keep,0.1,12,0,1.0,9,1.3333333333333333,62441.19438622185,3386.610649439464,8663.557805601711,0.6666666666666667,0.19218082097814415,0.12812054731876277,2,2,1.0,0.0,24.0,0.0,12.0,12.0,0.0,0.0,0.0,252,-162.44505077141906,
16,20023,0.2,full,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,33142.19819047934,2066.349735300566,4916.640446081924,0.6666666666666667,0.36207616438209594,0.24138410958806394,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-135.18032698802853,
17,20024,0.2,full,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,53625.63676446224,4930.657141498097,10962.111546664652,0.5833333333333333,0.2237735666003767,0.1305345805168864,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-249.60508315772702,
18,20025,0.2,full,high_speed,keep,0.1,12,0,1.0,12,1.0,46633.357885735626,2456.346481918101,4397.272895295096,0.41666666666666663,0.2573265264192052,0.10721938600800217,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-217.5893673887126,
19,20026,0.2,full,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,71458.03736772497,3213.4926021896877,9212.882994714932,0.6666666666666667,0.16793072468878034,0.1119538164591869,3,1,1.0,0.0,39.070989786467045,0.0,13.023663262155681,39.070989786467045,0.0,0.0,0.0,308,-213.57877267622206,
20,20027,0.2,full,high_speed,keep,0.1,12,0,1.0,12,1.0,49551.20794886101,1139.344435132908,1661.2135627336845,0.8333333333333334,0.24217371274549992,0.20181142728791662,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-134.40651866147758,
21,20028,0.2,full,high_speed,keep,0.1,12,0,1.0,12,1.0,74436.62792065702,2061.0716395445334,6830.596958376245,0.6666666666666667,0.161210956691791,0.10747397112786067,2,1,1.0,0.0,27.490858878826657,0.0,13.745429439413329,27.490858878826657,0.0,0.0,0.0,336,-197.21515224623795,
22,20029,0.2,full,high_speed,keep,0.1,12,0,1.0,6,2.0,80172.37874440248,11928.179351635015,22669.650676666133,0.33333333333333337,0.14967748478883475,0.04989249492961158,11,7,0.42857142857142855,0.0,143.93661866242596,0.0,13.085147151129632,20.56237409463228,0.0,0.0,0.0,168,-239.2679202400041,
23,20030,0.2,full,high_speed,keep,0.1,12,0,1.0,11,1.0909090909090908,66591.38567294297,1604.4648286504769,3187.573248819539,0.8333333333333334,0.18020348846526216,0.15016957372105177,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-129.81844812402434,
