episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,8,1.5,56606.05806388834,8541.78010520577,11526.486038859774,0.5,0.21199144421002108,0.10599572210501054,9,8,0.625,0.0,114.9850065117183,0.0,12.776111834635365,14.373125813964787,0.0,0.0,0.0,224,-304.1195294982509,
1,20008,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,8,1.5,22077.553482406867,3705.4006190912987,6815.185131484387,0.41666666666666663,0.5435384862531324,0.22647436927213851,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-154.20536769647845,
2,20009,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,4,3.0,35870.05573508522,14326.075359959663,22997.92213734667,0.33333333333333337,0.33454087968596496,0.11151362656198831,8,6,0.6666666666666666,0.0,104.07177658549767,0.0,13.00897207318721,17.345296097582946,0.0,0.0,0.0,112,-177.77908358384593,
3,20010,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,5,2.4,47288.91440216057,16947.10989725443,27993.940220900757,0.6666666666666667,0.25375926158820294,0.16917284105880195,19,10,0.7,0.0,243.06286443155705,0.0,12.792782338503002,24.306286443155706,0.0,0.0,0.0,140,-226.59741346466353,
4,20011,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,5,2.4,45735.395654553184,12382.973249730114,18548.026806296086,0.5833333333333333,0.26237883871472184,0.15305432258358773,13,9,0.6666666666666666,0.0,162.88847919051386,0.0,12.529883014654912,18.098719910057095,0.0,0.0,0.0,140,-219.37902096399748,
5,20012,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,6,2.0,33349.55532055189,8646.146388301886,14548.08833479257,0.25,0.3598248877580961,0.08995622193952403,5,4,0.5,0.0,60.0,0.0,12.0,15.0,0.0,0.0,0.0,168,-185.62413821285162,
6,20013,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,4,3.0,40927.45749980129,16218.388393968939,24467.467239004713,0.16666666666666663,0.29320169717501415,0.04886694952916902,12,10,0.2,0.0,149.1906319891353,0.0,12.432552665761277,14.91906319891353,0.0,0.0,0.0,112,-190.9123083079085,
7,20014,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,4,3.0,44110.69185875333,16368.257959828226,32371.91563899896,0.41666666666666663,0.27204288788815995,0.1133512032867333,13,9,0.4444444444444444,0.0,164.26248128206197,0.0,12.635575483235536,18.251386809117996,0.0,0.0,0.0,112,-214.07794147403067,
8,20015,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,8,1.5,45212.03920152597,7443.022267966365,14373.121668600166,0.5833333333333333,0.26541603103792283,0.154826018105455,4,3,1.0,0.0,54.184741890473546,0.0,13.546185472618387,18.06158063015785,0.0,0.0,0.0,224,-224.12925908524525,
9,20016,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,4,3.0,49175.489400257495,16989.95449830998,26550.250465840578,0.41666666666666663,0.24402400761744455,0.1016766698406019,14,10,0.5,0.0,187.16489936941042,0.0,13.368921383529315,18.71648993694104,0.0,0.0,0.0,112,-228.1508916123291,
10,20017,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,8,1.5,43083.88838126458,8829.725797490823,16660.950427258842,0.8333333333333334,0.278526392367554,0.23210532697296168,7,5,1.0,0.0,98.60072343541437,0.0,14.085817633630624,19.720144687082872,0.0,0.0,0.0,224,-227.6159232407033,
11,20018,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,7,1.7142857142857142,42210.66773641874,12404.510291191356,25726.55479610177,0.5,0.2842883243386026,0.1421441621693013,14,7,0.5714285714285714,0.0,179.33565790792537,0.0,12.809689850566098,25.619379701132196,0.0,0.0,0.0,196,-250.71350256089818,
12,20019,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,6,2.0,47369.7705670455,10797.220660868907,23249.355244606988,0.5,0.25332611613593575,0.12666305806796788,7,5,0.6,0.0,92.92745671406131,0.0,13.275350959151615,18.58549134281226,0.0,0.0,0.0,168,-266.66501637652544,
13,20020,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,7,1.7142857142857142,48414.83757735924,10627.702263123863,19241.80326795461,0.5833333333333333,0.24785790060383658,0.14458377535223801,8,5,0.8,0.0,102.17927450443287,0.0,12.772409313054109,20.435854900886575,0.0,0.0,0.0,196,-230.4366820478835,
14,20021,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,4,3.0,49739.840183914734,13855.057557157377,27425.157342166625,0.6666666666666667,0.2412552986826977,0.16083686578846515,14,10,0.8,0.0,184.30208782807267,0.0,13.164434844862333,18.430208782807266,0.0,0.0,0.0,112,-216.09142647326078,
15,20022,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,8,1.5,35960.56993880188,6440.9730371954365,12942.953591759773,0.41666666666666663,0.33369882681007956,0.13904117783753314,4,4,0.25,0.0,48.0,0.0,12.0,12.0,0.0,0.0,0.0,224,-188.24988200607234,
16,20023,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,4,3.0,38209.259846415036,12606.745930596546,23381.499179647206,0.5,0.3140599961432096,0.1570299980716048,10,6,0.6666666666666666,0.0,125.12282774675614,0.0,12.512282774675615,20.853804624459357,0.0,0.0,0.0,112,-167.19763293550136,
17,20024,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,4,3.0,55329.26772370569,24873.369516224153,43969.49261218301,0.08333333333333337,0.2168834053601369,0.01807361711334474,17,9,0.1111111111111111,0.0,214.89368430882917,0.0,12.640804959342892,23.877076034314353,0.0,0.0,0.0,112,-278.891925186497,
18,20025,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,8,1.5,40249.531458418474,8887.57672114244,17696.392472487074,0.5,0.29814011654762046,0.14907005827381023,4,4,0.5,0.0,56.0502791853541,0.0,14.012569796338525,14.012569796338525,0.0,0.0,0.0,224,-214.7990802945507,
19,20026,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,7,1.7142857142857142,56089.8455900564,9808.3560006556,20898.237101405222,0.5833333333333333,0.21394246808422945,0.12479977304913385,8,5,0.8,0.0,108.0286404895465,0.0,13.503580061193313,21.6057280979093,0.0,0.0,0.0,196,-271.9544538265619,
20,20027,0.4,node_dp,high_speed,keep,0.1,12,0,1.0,5,2.4,43924.04006763513,15250.546761964273,33635.35561034564,0.5833333333333333,0.2731989129761779,0.1593660325694371,15,8,0.625,0.0,200.53460205621434,0.0,13.36897347041429,25.066825257026792,0.0,0.0,0.0,140,-218.6759682453664,
