episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,full,high_speed,keep,0.1,12,0,1.0,9,1.3333333333333333,56606.05806388834,6817.329468688292,11343.774653847013,0.75,0.21199144421002108,0.15899358315751583,5,4,1.0,0.0,62.255752797988265,0.0,12.451150559597654,15.563938199497066,0.0,0.0,0.0,252,-290.58642902177917,
1,20008,0.4,full,high_speed,keep,0.1,12,0,1.0,8,1.5,22077.553482406867,3705.4006190912987,6815.185131484387,0.41666666666666663,0.5435384862531324,0.22647436927213851,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,-154.20536769647845,
2,20009,0.4,full,high_speed,keep,0.1,12,0,1.0,5,2.4,38114.148465228485,9938.017132691222,19497.00906902717,0.33333333333333337,0.3148437124588417,0.10494790415294722,6,5,0.6,0.0,73.31889867082525,0.0,12.21981644513754,14.66377973416505,0.0,0.0,0.0,140,-168.0309568314504,
3,20010,0.4,full,high_speed,keep,0.1,12,0,1.0,5,2.4,47288.91440216057,16947.10989725443,27993.940220900757,0.6666666666666667,0.25375926158820294,0.16917284105880195,19,10,0.7,0.0,243.06286443155705,0.0,12.792782338503002,24.306286443155706,0.0,0.0,0.0,140,-226.59741346466353,
4,20011,0.4,full,high_speed,keep,0.1,12,0,1.0,5,2.4,48967.20873956063,13506.177362198796,23413.59086966537,0.5,0.24506195694804217,0.12253097847402109,15,10,0.5,0.0,187.77105095043055,0.0,12.518070063362037,18.777105095043055,0.0,0.0,0.0,140,-230.11156568050262,
5,20012,0.4,full,high_speed,keep,0.1,12,0,1.0,6,2.0,33299.51967192798,8596.11073967797,14498.05268616866,0.25,0.36036555836918543,0.09009138959229636,5,4,0.5,0.0,60.0,0.0,12.0,15.0,0.0,0.0,0.0,168,-185.23515045150577,
6,20013,0.4,full,high_speed,keep,0.1,12,0,1.0,4,3.0,39099.82961899808,14395.420374067362,22407.261151743147,0.16666666666666663,0.30690670821157134,0.051151118035261886,7,5,0.4,0.0,85.66773816795467,0.0,12.23824830970781,17.133547633590933,0.0,0.0,0.0,112,-184.34570964088087,
7,20014,0.4,full,high_speed,keep,0.1,12,0,1.0,5,2.4,38651.153158999296,12534.479289601599,25535.1575304731,0.5833333333333333,0.3104693914470181,0.18110714501076053,9,6,0.6666666666666666,0.0,118.85922686457309,0.0,13.206580762730344,19.809871144095514,0.0,0.0,0.0,140,-189.8750091976319,
8,20015,0.4,full,high_speed,keep,0.1,12,0,1.0,8,1.5,45212.03920152597,7443.022267966365,14373.121668600166,0.5833333333333333,0.26541603103792283,0.154826018105455,4,3,1.0,0.0,54.184741890473546,0.0,13.546185472618387,18.06158063015785,0.0,0.0,0.0,224,-224.12925908524525,
9,20016,0.4,full,high_speed,keep,0.1,12,0,1.0,7,1.7142857142857142,46980.17015748414,9553.914621978585,17334.36053676169,0.75,0.2554269165006067,0.19157018737545506,9,6,1.0,0.0,120.8195780753269,0.0,13.424397563925211,20.136596345887817,0.0,0.0,0.0,196,-238.04666517410055,
