episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,no_batch,0.1,100,,100,100,0,1.0,100,1.0,1,0.0,1.0,971469.2007763607,2286.0257638895378,7604.299637255697,29632.130215038396,170249.04887081147,989.5078125,5999.350221067375,5,0.05,0.95,0.10293687120506122,0.09779002764480815,2800,-1076.8512328303946,
0,fixed_4,0.1,100,,100,100,0,1.0,100,1.0,1,0.0,1.0,971469.2007763607,2286.0257638895378,7604.299637255697,29632.130215038396,170249.04887081147,989.5078125,5999.350221067375,5,0.05,0.95,0.10293687120506122,0.09779002764480815,2800,-1076.8512328303946,
0,sequential_greedy,0.1,100,,100,100,0,1.0,100,1.0,1,0.0,1.0,971469.2007763607,2286.0257638895378,7604.299637255697,29632.130215038396,170249.04887081147,989.5078125,5999.350221067375,5,0.05,0.95,0.10293687120506122,0.09779002764480815,2800,-1076.8512328303946,
0,dybap_fusion,0.1,100,,100,100,0,1.0,100,1.0,1,0.0,1.0,971469.2007763607,2286.0257638895378,7604.299637255697,29632.130215038396,170249.04887081147,989.5078125,5999.350221067375,5,0.05,0.95,0.10293687120506122,0.09779002764480815,2800,-1076.8512328303946,
0,node_conditioned_dp,0.1,100,,100,100,0,1.0,100,1.0,1,0.0,1.0,971469.2007763607,2286.0257638895378,7604.299637255697,29632.130215038396,170249.04887081147,989.5078125,5999.350221067375,5,0.05,0.95,0.10293687120506122,0.09779002764480815,2800,-1076.8512328303946,
1,no_batch,0.1,100,,100,100,0,1.0,100,1.02,2,0.02,1.0,844731.6972726369,1956.8894553354598,5715.880767817978,43310.62863876698,113038.24725309828,260.4814453125,5851.21589583933,8,0.08,0.92,0.11838078329825598,0.1089103206343955,2800,-985.6019701603077,
1,fixed_4,0.1,100,,100,100,0,1.0,98,1.0204081632653061,2,0.02040816326530612,1.0204081632653061,844731.6972726369,1945.0610674038332,5715.880767817978,42669.959323084004,112621.1677669045,262.4296875,5707.7868047719685,8,0.08,0.92,0.11838078329825598,0.1089103206343955,2744,-973.0659443441134,
1,sequential_greedy,0.1,100,,100,100,0,1.0,98,1.0204081632653061,2,0.02040816326530612,1.0204081632653061,844731.6972726369,1945.0610674038332,5715.880767817978,42669.959323084004,112621.1677669045,262.4296875,5707.7868047719685,8,0.08,0.92,0.11838078329825598,0.1089103206343955,2744,-973.0659443441134,
1,dybap_fusion,0.1,100,,100,100,0,1.0,99,1.02020202020202,2,0.020202020202020204,1.0101010101010102,844731.6972726369,1951.577160787651,5715.880767817978,42961.146154926384,113016.20140371467,260.66015625,5769.679890810053,8,0.08,0.92,0.11838078329825598,0.1089103206343955,2772,-980.8930854269901,
1,node_conditioned_dp,0.1,100,,100,100,0,1.0,98,1.0204081632653061,2,0.02040816326530612,1.0204081632653061,844731.6972726369,1945.0610674038332,5715.880767817978,42669.959323084004,112621.1677669045,262.4296875,5707.7868047719685,8,0.08,0.92,0.11838078329825598,0.1089103206343955,2744,-973.0659443441134,
2,no_batch,0.1,100,,100,100,0,1.0,100,1.04,2,0.04,1.0,955722.3977677618,1608.8974159061293,5862.398086962311,20525.889507340253,103065.06241269865,249.4423828125,6296.420358445695,8,0.08,0.92,0.10463289364523164,0.09626226215361311,2800,-737.2341494745526,
2,fixed_4,0.1,100,,100,100,0,1.0,97,1.0309278350515463,2,0.030927835051546393,1.0309278350515463,955722.3977677618,1593.4806603482616,5862.398086962311,20210.01842100262,102269.46562112265,252.8671875,6106.1699346478335,7,0.07,0.9299999999999999,0.10463289364523164,0.09730859109006543,2716,-719.964263482974,
2,sequential_greedy,0.1,100,,100,100,0,1.0,98,1.030612244897959,2,0.030612244897959183,1.0204081632653061,955722.3977677618,1595.1457590975683,5862.398086962311,20324.5400214708,102297.50541837908,252.0439453125,6181.246363973377,7,0.07,0.9299999999999999,0.10463289364523164,0.09730859109006543,2744,-724.4196207290786,
2,dybap_fusion,0.1,100,,100,100,0,1.0,99,1.0303030303030303,2,0.030303030303030304,1.0101010101010102,955722.3977677618,1601.3079770154052,5862.398086962311,20460.60305705435,102745.76133919519,251.994140625,6230.509746357824,7,0.07,0.9299999999999999,0.10463289364523164,0.09730859109006543,2772,-731.5555556948125,
2,node_conditioned_dp,0.1,100,,100,100,0,1.0,97,1.0309278350515463,2,0.030927835051546393,1.0309278350515463,955722.3977677618,1593.4806603482616,5862.398086962311,20210.01842100262,102269.46562112265,252.8671875,6106.1699346478335,7,0.07,0.9299999999999999,0.10463289364523164,0.09730859109006543,2716,-719.964263482974,
3,no_batch,0.1,100,,100,100,0,1.0,100,1.0,1,0.0,1.0,895141.8537957134,1281.5228788885333,3824.9174693606083,31148.33914641763,72356.18386315393,222.4658203125,6060.901087152669,5,0.05,0.95,0.11171413734701953,0.10612843047966855,2800,-682.5783024054141,
3,fixed_4,0.1,100,,100,100,0,1.0,100,1.0,1,0.0,1.0,895141.8537957134,1281.5228788885333,3824.9174693606083,31148.33914641763,72356.18386315393,222.4658203125,6060.901087152669,5,0.05,0.95,0.11171413734701953,0.10612843047966855,2800,-682.5783024054141,
3,sequential_greedy,0.1,100,,100,100,0,1.0,100,1.0,1,0.0,1.0,895141.8537957134,1281.5228788885333,3824.9174693606083,31148.33914641763,72356.18386315393,222.4658203125,6060.901087152669,5,0.05,0.95,0.11171413734701953,0.10612843047966855,2800,-682.5783024054141,
3,dybap_fusion,0.1,100,,100,100,0,1.0,100,1.0,1,0.0,1.0,895141.8537957134,1281.5228788885333,3824.9174693606083,31148.33914641763,72356.18386315393,222.4658203125,6060.901087152669,5,0.05,0.95,0.11171413734701953,0.10612843047966855,2800,-682.5783024054141,
3,node_conditioned_dp,0.1,100,,100,100,0,1.0,100,1.0,1,0.0,1.0,895141.8537957134,1281.5228788885333,3824.9174693606083,31148.33914641763,72356.18386315393,222.4658203125,6060.901087152669,5,0.05,0.95,0.11171413734701953,0.10612843047966855,2800,-682.5783024054141,
4,no_batch,0.1,100,,100,100,0,1.0,100,1.02,2,0.02,1.0,751943.7975867251,1498.898798757391,3070.1398252726326,23261.584758829293,96769.1697264938,217.212890625,6636.763052303277,6,0.06,0.94,0.13298866261140554,0.1250093428547212,2800,-718.0634722617717,
4,fixed_4,0.1,100,,100,100,0,1.0,98,1.0204081632653061,2,0.02040816326530612,1.0204081632653061,751943.7975867251,1479.9051756551362,3083.3128639305337,23027.30709715684,96733.25878700106,220.18359375,6489.475064139864,5,0.05,0.95,0.13298866261140554,0.12633922948083526,2744,-706.9281598440805,
4,sequential_greedy,0.1,100,,100,100,0,1.0,99,1.02020202020202,2,0.020202020202020204,1.0101010101010102,751943.7975867251,1480.8417572329643,3090.372820241342,23117.982376171018,96725.29903429489,217.845703125,6547.958664048041,5,0.05,0.95,0.13298866261140554,0.12633922948083526,2772,-713.3461208318579,
