method,arrival_rate_rps,avg_e2e_s,p95_e2e_s,slo_pct,throughput_rps,goodput_rps,mean_batch_size,completion_ratio
SeqGreedy-LB,0.1,1.989917459742177,6.46824839706016,90.10000000000001,0.10052587891681555,0.09087076345727392,1.0181220788223666,1.0
Fixed4-LB,0.1,1.9838693063057538,6.495346590652696,90.3,0.10052614998213576,0.09106308658082606,1.0208096007717535,1.0
NoBatch-LB,0.1,2.0494797153458104,6.7884538571152975,89.7,0.10052586705616691,0.09045677958582865,1.0,1.0
DyBAP-Adapted,0.1,1.9979137346443396,6.5447494917895295,90.04999999999998,0.10052586705616691,0.09079779907936726,1.0107632446918162,1.0
SeqGreedy-LB,0.2,2.3687967399127023,7.639378037023345,82.85,0.20033668779850125,0.16684041828865065,1.0787024878657392,1.0
Fixed4-LB,0.2,2.38637308193038,7.734405371575265,82.8,0.20033668779850125,0.16674198802025125,1.0876543972458674,1.0
NoBatch-LB,0.2,2.6953211571407176,9.110055075295447,80.45,0.20028883109496784,0.16188639666237647,1.0,1.0
DyBAP-Adapted,0.2,2.4236279420477427,7.974792015327104,82.4,0.20033556891381146,0.16586091364523786,1.0531021705134682,1.0
SeqGreedy-LB,0.3,2.8131725859748133,9.037417616363781,74.5,0.2989548771382786,0.22377471130471865,1.1765265798249627,1.0
Fixed4-LB,0.3,2.8332778559741794,8.696539227811492,75.0,0.2989584091170444,0.225448547384652,1.1921786437813382,1.0
NoBatch-LB,0.3,3.783652438658837,12.21788993158232,68.95,0.2982736305357032,0.2067501948545384,1.0,1.0
DyBAP-Adapted,0.3,2.8617361242438046,9.060610977047956,74.1,0.29892635191571865,0.22253900537985874,1.1254618077755123,1.0
SeqGreedy-LB,0.4,3.2608228629819895,9.666677760259725,67.05,0.39608439612764734,0.2677168250269941,1.2998848623313097,1.0
Fixed4-LB,0.4,3.4654721780018845,10.334687734129927,66.95,0.3956954227731023,0.2674630513423669,1.3311888414349995,1.0
NoBatch-LB,0.4,5.871456693032292,15.36031991126046,55.84999999999999,0.39230286176915363,0.2219851879955458,1.0,1.0
DyBAP-Adapted,0.4,3.2820163431979767,9.695465004943518,67.5,0.3961048660172095,0.269885661294367,1.2103811212936826,1.0
SeqGreedy-LB,0.5,3.905830492873791,10.453433075773487,58.94999999999999,0.4895832932574259,0.2932121333567957,1.5096532350318248,1.0
Fixed4-LB,0.5,4.255863565954478,12.064875845447666,58.849999999999994,0.48974359325924877,0.29256234571292083,1.5430958779606272,1.0
NoBatch-LB,0.5,9.358096862851689,20.160639097878295,41.29999999999999,0.47389460537198075,0.2018458348552245,1.0,1.0
DyBAP-Adapted,0.5,3.867773965923114,10.793304112348736,58.64999999999999,0.4911462463952062,0.29244204405232266,1.3708130009981707,1.0
SeqGreedy-LB,0.6,4.429821457605711,11.64037346217011,51.30000000000001,0.5810543186780192,0.3034561709742727,1.7883829235018105,1.0
Fixed4-LB,0.6,5.531995714668621,13.858556106763508,50.24999999999999,0.5787474135437066,0.29741712323746944,1.8004599426065575,1.0
NoBatch-LB,0.6,14.916335123246256,29.413279925829457,30.3,0.5360853578753997,0.1702286556610893,1.0,1.0
DyBAP-Adapted,0.6,4.334777232777633,11.412152826163386,52.75,0.5827936042484854,0.3127154043571987,1.5469618286008697,1.0
SeqGreedy-LB,0.7,5.253608819524863,12.708464519307665,44.99999999999999,0.6669130686335164,0.3059928770179517,2.055974686753175,1.0
Fixed4-LB,0.7,6.991662849577651,15.905845605896184,43.25,0.6607567520741535,0.2948736036946587,2.051545204351191,1.0
NoBatch-LB,0.7,20.730670895441595,39.22797909379389,23.0,0.580489215290216,0.1437185255473009,1.0,1.0
DyBAP-Adapted,0.7,4.888338446724073,12.779625686494226,46.499999999999986,0.6722888618647372,0.3183343149924731,1.7542847737323097,1.0
