episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,no_batch,0.3,100,,100,100,0,1.0,100,1.74,7,0.33,1.0,329245.8675835582,4560.160115657893,11724.375855582646,29632.130215038396,170249.04887081147,989.5078125,5999.350221067375,43,0.43,0.5700000000000001,0.3037243891136199,0.17312290179476333,2800,-1152.851232830395,
0,fixed_4,0.3,100,,100,100,0,1.0,81,1.2592592592592593,5,0.14814814814814814,1.2345679012345678,329245.8675835582,3778.4339553747823,9576.705979526512,29501.296202198075,156476.7795605104,1177.6640625,4970.450503498791,34,0.34,0.6599999999999999,0.3037243891136199,0.20045809681498913,2268,-993.8261124753361,
0,sequential_greedy,0.3,100,,100,100,0,1.0,80,1.275,5,0.1625,1.25,329245.8675835582,3848.024375291072,12439.405504643453,29895.423350799636,158163.4427313207,1214.14453125,4911.45850410199,35,0.35,0.65,0.3037243891136199,0.19742085292385292,2240,-984.0029024102083,
0,dybap_fusion,0.3,100,,100,100,0,1.0,85,1.3176470588235294,5,0.2,1.1764705882352942,329245.8675835582,3750.061802190219,9750.798420701874,29079.9345038016,159248.68761686367,1093.34765625,5108.095106839405,37,0.37,0.63,0.3037243891136199,0.19134636514158052,2380,-1020.9185579078286,
1,no_batch,0.3,100,,100,100,0,1.0,100,1.6,4,0.31,1.0,282222.82339517644,3343.027964451055,8569.43400932935,43310.62863876698,113038.24725309828,260.4814453125,5851.21589583933,38,0.38,0.62,0.35432995388887156,0.21968457141110037,2800,-1045.6019701603077,
1,fixed_4,0.3,100,,100,100,0,1.0,83,1.2048192771084338,4,0.14457831325301204,1.2048192771084338,282222.82339517644,2613.463887561759,6781.896706364502,38419.06462159253,104979.64910963045,293.05078125,4966.085862963311,26,0.26,0.74,0.35432995388887156,0.26220416587776496,2324,-854.2241529719427,
1,sequential_greedy,0.3,100,,100,100,0,1.0,84,1.2142857142857142,4,0.14285714285714285,1.1904761904761905,282222.82339517644,2539.5974016401246,6701.588968525748,38651.37902945565,105471.22154521714,289.3828125,5069.852646827824,26,0.26,0.74,0.35432995388887156,0.26220416587776496,2352,-900.0207638280642,
1,dybap_fusion,0.3,100,,100,100,0,1.0,89,1.3146067415730338,4,0.20224719101123595,1.1235955056179776,282222.82339517644,2795.3013122462394,7744.318390745554,40066.58859469981,105378.55683388344,278.66015625,5327.112546662782,34,0.34,0.6599999999999999,0.35432995388887156,0.23385776956665522,2492,-950.1148592448694,
2,no_batch,0.3,100,,100,100,0,1.0,100,1.62,9,0.22,1.0,318990.8719715997,2694.1423689586854,8314.63898019981,20525.889507340253,103065.06241269865,249.4423828125,6296.420358445695,26,0.26,0.74,0.31348859414667885,0.23198155966854234,2800,-773.2341494745529,
2,fixed_4,0.3,100,,100,100,0,1.0,82,1.2682926829268293,6,0.12195121951219512,1.2195121951219512,318990.8719715997,2262.548755137339,8104.300282408627,18934.904147655747,97553.85526235348,280.142578125,5168.77539746596,23,0.23,0.77,0.31348859414667885,0.2413862174929427,2296,-681.0000867081742,
2,sequential_greedy,0.3,100,,100,100,0,1.0,82,1.2439024390243902,6,0.12195121951219512,1.2195121951219512,318990.8719715997,2211.348860369212,8104.300282408627,18949.611789731556,97776.23166946438,280.1748046875,5113.687711087008,20,0.2,0.8,0.31348859414667885,0.25079087531734306,2296,-678.8312647921923,
2,dybap_fusion,0.3,100,,100,100,0,1.0,88,1.2840909090909092,6,0.14772727272727273,1.1363636363636365,318990.8719715997,2279.2338358795405,8105.660393208842,19476.92547626873,99137.7446347989,270.43359375,5548.063494640703,23,0.23,0.77,0.31348859414667885,0.2413862174929427,2464,-712.2196679715566,
3,no_batch,0.3,100,,100,100,0,1.0,100,1.16,4,0.12,1.0,300330.9544866685,1693.5255192574439,4630.755465756435,31148.33914641763,72356.18386315393,222.4658203125,6060.901087152669,19,0.19,0.81,0.3329660113487867,0.26970246919251717,2800,-710.5783024054141,
