episode,method,reward,prefill_ms,decode_ms,e2e_est_ms,transfer_mb,handover_ms,slo_violations,batch_size,mapping_steps,runtime_seconds
0,gat_dueling_ddqn,-23.329088676540366,491.51982534458494,4004.5098846411993,4549.620527920787,8.296875,53.59081793500272,0,4,28,1.5221776899998076
1,gat_dueling_ddqn,-17.750329971845563,317.7296063596236,3156.0180720765466,3509.0585177499656,7.3828125,35.31083931379558,0,5,28,1.3169348450028338
2,gat_dueling_ddqn,-21.700772780308927,602.3946250683775,3532.441932927319,4189.054574911042,16.2421875,54.21801691534507,0,7,28,1.3932392289862037
3,gat_dueling_ddqn,-16.96155398574318,231.22146273983662,2943.883263535747,3264.2846651698405,3.1904296875,89.1799388942569,0,3,28,0.5250939319957979
4,gat_dueling_ddqn,-89.35553501099625,2587.8901193107654,13872.908972342067,16534.715103874365,152.578125,73.91601222153135,7,8,28,0.8874265189515427
5,gat_dueling_ddqn,-25.156895322682665,723.0284161024047,4118.769092462462,4902.539829757398,14.70703125,60.742321192531975,0,5,28,0.729562641994562
6,gat_dueling_ddqn,-23.274631521891862,915.30700050008,3842.2068261540353,4808.803066900763,23.859375,51.28924024664768,0,8,28,0.801790474972222
7,gat_dueling_ddqn,-31.583694805648108,767.1495772129385,5267.339975579731,6089.096763738027,12.3193359375,54.607210945358254,0,5,28,0.36733964103041217
8,gat_dueling_ddqn,-38.23540873053572,1162.8238955195245,6267.2764492057795,7485.818983672425,23.5546875,55.71863894712119,0,8,28,1.7732072529615834
9,gat_dueling_ddqn,-22.172499271231267,297.6337113701591,3980.0468608793126,4332.884821896492,5.765625,55.204249647019964,0,4,28,1.03911989700282
10,gat_dueling_ddqn,-84.782158141306,1432.187295245232,13779.220777051156,15300.592363921456,38.759765625,89.18429162506793,5,5,28,1.123227438016329
11,gat_dueling_ddqn,-55.1111863649063,1079.536961623131,9991.543316063691,11111.605126653387,23.671875,40.52484896656536,0,4,27,0.2557566860341467
12,gat_dueling_ddqn,-37.80814372896872,738.6892026626772,6776.539112914006,7567.755621350403,17.71875,52.52730577371952,0,4,28,1.741332217992749
13,gat_dueling_ddqn,-37.09970415921687,921.5796287033958,6290.88492585318,7261.3255912530885,23.390625,48.861036696513175,0,8,28,0.6676757980021648
14,gat_dueling_ddqn,-21.582224719416995,246.6020865279096,3888.330308830744,4219.870158042152,4.25390625,84.93776268349815,0,4,28,0.8166353959823027
15,gat_dueling_ddqn,-97.60927923856627,2209.842059101693,15515.977298442285,17791.091135203347,109.1015625,65.27177765936824,8,8,28,1.039810022979509
16,gat_dueling_ddqn,-36.39958536385527,499.6421985217991,5939.616107176033,6509.573336213898,2.6015625,70.31503051606548,1,3,28,0.5083524450310506
17,gat_dueling_ddqn,-29.914359177637735,834.3296882695781,4709.445838174969,5620.252408655469,22.6875,76.47688221092078,1,8,28,0.8109864190337248
18,gat_dueling_ddqn,-32.26624663428635,1189.8373771892605,5132.450761709107,6389.439628612504,23.2265625,67.15148971413657,0,8,28,0.9316115039982833
19,gat_dueling_ddqn,-21.82556008267064,743.240917908862,3168.71959568155,3965.6613765646166,5.94140625,53.70086297420459,0,6,28,0.6580714560113847
