episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,6.53,13,0.9,1.0,189260.646814704,12719.134329610386,22474.49941924751,29920.0817489588,152095.04482613903,989.5078125,2013.2547286580684,89,0.89,0.1099999999999999,0.5283718600935841,0.0581209046102942,900,-1113.5793680296642,
1,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,5.54,14,0.76,1.0,153222.31284142824,8745.854515486406,16766.024688403486,15886.334745248354,113038.2472530983,260.4814453125,835.8879851199046,69,0.69,0.31,0.6526464595498652,0.2023204024604582,400,-783.2057521179279,
2,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,3.78,13,0.59,1.0,165364.86619594262,5350.161965896472,11840.903513497577,10416.548239127393,103065.06241269864,249.4423828125,899.4886226350995,53,0.53,0.47,0.6047233750457544,0.2842199862715046,400,-672.171419434318,
3,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.38,5,0.24,1.0,155756.3042488304,1804.433529156015,6569.925645347702,11268.51054028106,72356.18386315393,222.4658203125,865.843012450381,19,0.19,0.81,0.6420285874287552,0.5200431558172918,400,-459.829435597025,
4,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.28,4,0.19,1.0,126635.79464542533,1084.5439314686391,3409.689462603231,15720.220482221514,45005.24576401102,244.5615234375,1838.15637461238,7,0.07,0.93,0.7896661467636037,0.7343895164901515,700,-390.6273789018088,
5,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.31,4,0.21,1.0,191127.11344852665,1532.0442780103622,4953.365419344534,18367.242166340544,69443.57012345515,436.7578125,1460.2321681573624,14,0.14,0.86,0.5232120037585953,0.449962323232392,700,-513.3368106324338,
6,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.54,6,0.26,1.0,182296.28087921967,2530.925380767768,8812.767794321258,18133.338314053333,91497.32375099332,474.205078125,1196.2517124686572,25,0.25,0.75,0.5485575433448089,0.4114181575086066,598,-608.709286298861,
7,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,2.07,9,0.33,1.0,187294.9721415371,3351.5670376575326,11779.983231634023,13827.53961935409,92068.7715564468,242.35546875,828.3756079128144,30,0.3,0.7,0.5339171620924822,0.3737420134647375,400,-600.496850242228,
8,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.5,6,0.31,1.0,173339.5588181135,1830.109750760344,5803.821242353708,10515.066746951366,70651.19406313088,486.8671875,1366.942910645928,21,0.21,0.79,0.5769023567489909,0.4557528618317028,600,-482.3867430608372,
9,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,2.02,7,0.48,1.0,157146.5693288563,3116.673850858733,8299.97787614362,11590.429032655136,96988.5644816188,240.486328125,919.7952536621503,38,0.38,0.62,0.6363486038994128,0.3945361344176359,400,-632.4815322650217,
