episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,edgeshard_adapted,0.1,100,,100,100,0,1.0,100,1.0,1,0.0,1.0,970958.468560667,1134.950219314506,4024.7734964245633,11162.43122216447,96573.68967713596,247.376953125,868.525647540586,0,0.0,1.0,0.1029910168539323,0.1029910168539323,400,-547.849893756461,
1,edgeshard_adapted,0.1,100,,100,100,0,1.0,99,1.0101010101010102,2,0.0101010101010101,1.0101010101010102,844397.5556421388,1564.7979958889807,5114.637629596347,15869.390852341165,112643.21361628814,262.2509765625,827.0461156858925,5,0.05,0.95,0.1184276284693328,0.1125062470458661,396,-650.6515525904437,
2,edgeshard_adapted,0.1,100,,100,100,0,1.0,98,1.020408163265306,2,0.0204081632653061,1.020408163265306,955576.6236726524,1418.3353798287658,5709.405958899452,10417.385578622196,102297.5054183791,252.0439453125,883.0351948533398,6,0.06,0.94,0.1046488554896425,0.098369924160264,392,-570.3659646093922,
3,edgeshard_adapted,0.1,100,,100,100,0,1.0,100,1.0,1,0.0,1.0,894924.6316320219,1005.1696658824668,3562.2130746087864,11268.51054028106,72356.18386315394,222.4658203125,865.843012450381,3,0.03,0.97,0.1117412533585491,0.1083890157577926,400,-427.8294355970251,
4,edgeshard_adapted,0.1,100,,100,100,0,1.0,99,1.0101010101010102,2,0.0101010101010101,1.0101010101010102,751184.7708687691,576.8056902587946,1312.1095621391462,11081.130044463232,41997.38597745859,219.2578125,1076.177566206649,0,0.0,1.0,0.1331230396009583,0.1331230396009583,414,-308.1725796845729,
5,edgeshard_adapted,0.1,100,,100,100,0,1.0,99,1.0101010101010102,2,0.0101010101010101,1.0101010101010102,1144038.7803085824,918.7269084205486,3361.921012874563,13562.896262909617,68001.04563954633,403.986328125,833.8684487265527,1,0.01,0.99,0.0874096243249961,0.0865355280817462,396,-426.2442481868559,
6,edgeshard_adapted,0.1,100,,100,100,0,1.0,99,1.0101010101010102,2,0.0101010101010101,1.0101010101010102,1068744.694666422,1226.6784529497204,4854.80338679552,17398.62190732734,91543.80414221591,443.548828125,1024.1770877449856,2,0.02,0.98,0.0935677159372586,0.0916963616185134,512,-556.1483028912464,
7,edgeshard_adapted,0.1,100,,100,100,0,1.0,98,1.020408163265306,3,0.010204081632653,1.020408163265306,1096724.290277701,1232.1851543509135,6225.058085412323,13746.783259192976,89926.10243330813,244.6435546875,812.3257619493506,3,0.03,0.97,0.0911806193101449,0.0884452007308406,392,-531.898412516377,
8,edgeshard_adapted,0.1,100,,100,100,0,1.0,99,1.0101010101010102,2,0.0101010101010101,1.0101010101010102,1033851.7468665636,935.2836827752355,3057.0327942306803,9944.138577090158,70818.7263357034,487.41796875,960.026080360146,2,0.02,0.98,0.096725667198497,0.094791153854527,430,-433.56720357619423,
9,edgeshard_adapted,0.1,100,,100,100,0,1.0,100,1.01,2,0.01,1.0,933336.0276175522,1318.4521206250663,4595.698487595276,11590.429032655138,96988.5644816188,240.486328125,919.7952536621503,4,0.04,0.96,0.1071425478509187,0.1028568459368819,400,-564.4815322650214,
10,edgeshard_adapted,0.1,100,,100,100,0,1.0,99,1.0101010101010102,2,0.0101010101010101,1.0101010101010102,1210489.0438968153,1372.8481780799204,4835.62390225014,13609.081358577652,102438.05806350446,248.9326171875,949.5782089430542,4,0.04,0.96,0.082611239237721,0.0793067896682122,396,-594.554448021135,
