episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.1,3,0.08,1.0,162484.1008625647,754.2332309717302,2277.060170668829,5692.3990691098725,48016.57914593336,0.0,1034.8837403434509,3,0.03,0.97,0.6154448310273991,0.5969814860965771,400,-313.3557238241999,
1,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.28,4,0.2,1.0,140969.21250015145,1130.2259270742377,3201.21478257162,11679.646312277577,51828.627953514966,0.0,1052.082130023364,8,0.08,0.92,0.7093747508867765,0.6526247708158344,400,-402.460424190584,
2,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.71,9,0.26,1.0,159523.6363067826,1579.6748142104302,4856.734124180591,13107.794787331242,56806.76610192192,0.0,1008.8564273463776,20,0.2,0.8,0.6268663523171469,0.5014930818537175,400,-465.2003426563858,
3,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.15,4,0.11,1.0,150153.80669293573,745.1503793138749,2380.397482123776,6779.821533048474,38931.62579951018,0.0,992.6977309212156,5,0.05,0.95,0.6659837815800423,0.6326845925010403,400,-282.3833216372478,
4,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.23,4,0.17,1.0,126610.05846037908,1043.714255200667,3105.122115381911,9919.130681758,48701.02200721906,0.0,1066.2256512009287,6,0.06,0.94,0.789826663189589,0.7424370633982137,400,-365.3586733656845,
5,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.04,2,0.04,1.0,190801.95328266712,575.2045695107408,2335.57998777308,4344.594981465135,40975.663496607965,0.0,901.7763604976178,0,0.0,1.0,0.5241036492527575,0.5241036492527575,400,-257.34203090266743,
6,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.21,4,0.12,1.0,178603.7165044545,1337.5818024125142,5476.901829187132,15875.860695278168,59316.42213067347,0.0,1041.9450200924512,13,0.13,0.87,0.5598987633468755,0.4871119241117816,400,-491.7601678070736,
7,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.23,4,0.12,1.0,183926.1173504467,1045.4038006698322,4242.447777216718,14892.629045996364,46500.63167781449,0.0,1009.4784315406548,10,0.1,0.9,0.5436965746928878,0.489326917223599,400,-411.5242331644426,
8,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.29,6,0.16,1.0,173067.18060214556,1311.778207157997,4635.526820624931,11239.04042868533,58826.55502672258,0.0,1035.7271008171183,12,0.12,0.88,0.5778103026355089,0.5084730663192478,400,-440.8804504286372,
9,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.18,3,0.14,1.0,155681.08618925596,1028.805081498982,3077.3556065835605,10235.83272124262,50105.65878615145,0.0,1081.6173873948694,8,0.08,0.92,0.6423387866040038,0.5909516836756835,400,-379.70279501713225,
10,edgeshard_adapted,0.6,100,,100,100,0,1.0,100,1.15,4,0.11,1.0,201846.4902232213,1027.4848065903054,3386.666171085541,4611.249734644319,60055.86515471253,0.0,1052.4857549293572,7,0.07,0.93,0.495426003639748,0.4607461833849656,400,-370.9166806692995,
