episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,edgeshard_adapted,0.4,100,,100,100,0,1.0,100,2.93,9,0.66,1.0,253122.8462262157,7388.413262390872,17164.627972922248,30457.96686741536,178969.06404330928,1236.884765625,1344.1112863986457,68,0.68,0.3199999999999999,0.39506508989959,0.1264208287678688,600,-1157.8923581696008,
1,edgeshard_adapted,0.4,100,,100,100,0,1.0,100,9.66,26,0.8,1.0,278334.05080533045,30511.57909988852,69177.70851969582,33970.83470644255,218401.71066218067,1041.92578125,1362.97584848673,86,0.86,0.14,0.359280510992674,0.0502992715389743,600,-1409.7964112934562,
2,edgeshard_adapted,0.4,100,,100,100,0,1.0,100,8.77,17,0.83,1.0,261656.9516373207,22529.685906685485,37382.77956441513,37248.07453990744,207661.95332856264,997.76953125,1448.938922536518,89,0.89,0.1099999999999999,0.3821797944761227,0.0420397773923735,600,-1399.9237280656994,
3,edgeshard_adapted,0.4,100,,100,100,0,1.0,100,3.88,10,0.62,1.0,243214.558649074,9127.259740719504,22246.49592067653,27906.667203002093,159206.86678512493,1112.3291015625,1821.2876076807263,67,0.67,0.3299999999999999,0.4111595973343298,0.1356826671203288,800,-1051.5424267022768,
4,edgeshard_adapted,0.4,100,,100,100,0,1.0,100,1.09,3,0.07,1.0,188826.98959513832,860.9981250194605,2129.5492702986817,15550.820099320485,44925.1396670984,217.212890625,1840.2127909862556,4,0.04,0.96,0.5295853109473853,0.5084018985094898,700,-383.5282205115864,
5,edgeshard_adapted,0.4,100,,100,100,0,1.0,100,1.1,3,0.09,1.0,286361.1819274896,1288.9146774854912,4645.517379668756,16503.239415285283,76108.46663580122,655.13671875,861.3207100498703,9,0.09,0.91,0.3492093422959865,0.3177805014893478,400,-497.4100526173614,
6,edgeshard_adapted,0.4,100,,100,100,0,1.0,100,1.49,6,0.26,1.0,272856.70184575784,3675.533844626432,12613.453067531069,36124.24384071359,129296.45607913604,957.85546875,1416.3020535201645,30,0.3,0.7,0.3664927389488444,0.2565449172641911,600,-897.032669481505,
7,edgeshard_adapted,0.4,100,,100,100,0,1.0,100,8.78,18,0.85,1.0,325914.22943172767,29890.3344973878,69740.07077082117,47653.46294613516,251028.4290085087,1211.77734375,2088.916287454265,93,0.93,0.0699999999999999,0.3068291929884821,0.0214780435091937,900,-1673.7426951454463,
8,edgeshard_adapted,0.4,100,,100,100,0,1.0,100,1.38,6,0.21,1.0,259745.39516764105,2372.344999423459,7865.152259776298,15002.880951447103,99225.31727329826,973.734375,1165.6504380919189,25,0.25,0.75,0.3849923881632607,0.2887442911224455,500,-637.5472212440021,
9,edgeshard_adapted,0.4,100,,100,100,0,1.0,100,7.88,16,0.86,1.0,279441.0105935433,23693.680538774333,43348.3564622645,27349.54309010061,236129.03475274504,1202.431640625,1238.1285897614464,89,0.89,0.1099999999999999,0.3578572801021446,0.0393643008112359,500,-1452.5218835633289,
10,edgeshard_adapted,0.4,100,,100,100,0,1.0,100,2.95,9,0.54,1.0,303155.702055847,8684.441898765719,22290.1578432068,27298.480679844302,203263.9427240268,991.3125,1238.433569532168,63,0.63,0.37,0.3298634969484365,0.1220494938709215,500,-1251.1591585856688,
11,edgeshard_adapted,0.4,100,,100,100,0,1.0,100,13.49,19,0.98,1.0,257680.07461907412,34244.35125134924,47511.27341437563,36609.97368310407,219969.4848407132,1303.8720703125,1100.6160952567611,99,0.99,0.01,0.3880781241926795,0.0038807812419267,500,-1449.367432710763,
12,edgeshard_adapted,0.4,100,,100,100,0,1.0,100,6.21,17,0.69,1.0,271580.38741867064,15341.921924804854,32815.420850177696,30515.19993189319,180961.0044828775,909.0703125,1543.6008442340997,76,0.76,0.24,0.3682151017990822,0.0883716244317797,600,-1180.3047915710238,
13,edgeshard_adapted,0.4,100,,100,100,0,1.0,100,5.27,14,0.69,1.0,287005.3942546122,14249.50728771922,29330.020471764456,44658.55528214666,205108.76080204136,1193.1005859375,1205.158490346181,82,0.82,0.18,0.3484255069829336,0.062716591256928,600,-1306.5772988537678,
14,edgeshard_adapted,0.4,100,,100,100,0,1.0,100,3.68,12,0.51,1.0,257162.2219605964,7887.74411335347,21373.88407093624,27328.12515810624,153359.59604783333,1229.9853515625,1313.6789998497727,57,0.57,0.43,0.3888596047957715,0.1672096300621817,600,-1029.5006840652427,
