episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,sequential_greedy,0.5,100,,100,100,0,1.0,52,2.0961538461538463,9,0.40384615384615385,1.9230769230769231,204083.5304530265,5753.222470925879,14603.90245277476,30797.18066397653,136084.725806373,1588.0078125,3250.9864195482714,61,0.61,0.39,0.48999544342465595,0.19109822293561582,1456,-815.5145287673455,
0,node_conditioned_dp,0.5,100,,100,100,0,1.0,53,2.0943396226415096,9,0.4339622641509434,1.8867924528301887,203586.56115624975,5359.335617675733,14629.981010337648,27261.750337704572,138482.87592302918,1296.0322265625,3336.3302084750517,59,0.59,0.41000000000000003,0.49119155720328433,0.2013885384533466,1481,-797.7961246946657,
1,sequential_greedy,0.5,100,,100,100,0,1.0,61,1.7868852459016393,8,0.3442622950819672,1.639344262295082,169721.04861968433,3690.0837273110915,10040.372320014503,31841.711491244932,94460.10607698535,327.1025390625,3630.34611769624,46,0.46,0.54,0.5892021102466954,0.3181691395332155,1708,-760.7395749062047,
1,node_conditioned_dp,0.5,100,,100,100,0,1.0,61,1.7540983606557377,7,0.3442622950819672,1.639344262295082,169721.04861968433,3711.743464639472,9031.93089016961,31838.296538034854,95213.02760628476,328.3564453125,3626.272665746238,45,0.45,0.55,0.5892021102466954,0.32406116063568247,1705,-720.5479240278324,
2,sequential_greedy,0.5,100,,100,100,0,1.0,71,1.5352112676056338,11,0.2112676056338028,1.408450704225352,192033.3233054145,3043.658390523272,8994.937232294897,17897.735344844583,92549.7081639234,295.7724609375,4317.8343633222,35,0.35,0.65,0.5207429537682767,0.3384829199493799,1988,-629.2539304728339,
2,node_conditioned_dp,0.5,100,,100,100,0,1.0,69,1.536231884057971,11,0.18840579710144928,1.4492753623188406,191644.5668123676,2970.81672985954,9132.297708062733,17338.68712002202,89358.2340553016,286.4326171875,4188.073444813218,31,0.31,0.69,0.5217992957656162,0.36004151407827517,1930,-602.509700026754,
3,sequential_greedy,0.5,100,,100,100,0,1.0,86,1.197674418604651,5,0.13953488372093023,1.1627906976744187,184846.3245411686,1804.2722383607872,5820.651923976273,28279.542203310015,68655.30322235098,244.359375,5348.381123401838,21,0.21,0.79,0.5409899290571407,0.4273820439551411,2408,-606.2233100172377,
3,node_conditioned_dp,0.5,100,,100,100,0,1.0,84,1.2142857142857142,5,0.15476190476190477,1.1904761904761905,184846.3245411686,1782.4985184399263,6258.185036962808,27987.53063953575,68618.7304883826,252.0498046875,5188.714897580191,18,0.18,0.8200000000000001,0.5409899290571407,0.44361174182685537,2351,-589.4147031907004,
4,sequential_greedy,0.5,100,,100,100,0,1.0,73,1.4931506849315068,5,0.2328767123287671,1.36986301369863,153851.04682182448,2570.854538626735,6926.904454431483,20126.71599766174,82874.06894799924,256.751953125,4750.14020865404,25,0.25,0.75,0.6499793278352562,0.48748449587644216,2044,-578.7323191822362,
4,node_conditioned_dp,0.5,100,,100,100,0,1.0,72,1.5277777777777777,6,0.25,1.3888888888888888,153851.04682182448,2515.0351807606157,6541.11821677093,19779.9041563555,79975.78596470419,251.0126953125,4733.426683275199,25,0.25,0.75,0.6499793278352562,0.48748449587644216,2016,-559.758925010202,
5,sequential_greedy,0.5,100,,100,100,0,1.0,87,1.2758620689655173,4,0.16091954022988506,1.1494252873563218,230204.54744463344,2034.2367050563494,6070.085339404165,16498.9730518692,96997.16812186147,232.0869140625,4722.087152652999,16,0.16,0.84,0.4343962841309685,0.3648928786700135,2433,-637.1476782579434,
5,node_conditioned_dp,0.5,100,,100,100,0,1.0,82,1.2926829268292683,4,0.17073170731707318,1.2195121951219512,230204.54744463344,2235.2038407631926,7776.204971765893,16297.873543508156,98400.22249136955,245.3056640625,4457.050926516124,19,0.19,0.81,0.4343962841309685,0.35186099014608446,2294,-628.1745392204117,
6,sequential_greedy,0.5,100,,100,100,0,1.0,36,3.4166666666666665,15,0.5833333333333334,2.7777777777777777,264302.6662981813,12996.232339229204,27411.385449320813,51967.43550583063,196886.5573165902,1616.75390625,2095.7499880180676,86,0.86,0.14,0.3783541097053553,0.05296957535874974,1008,-816.8592372798541,
6,node_conditioned_dp,0.5,100,,100,100,0,1.0,45,3.2,9,0.6,2.2222222222222223,235502.4517304676,9247.239980689139,23648.69818181621,42837.69264288154,177282.632520687,1222.83984375,2568.0540210205454,81,0.81,0.18999999999999995,0.4246240294536293,0.08067856559618958,1247,-969.9148046331203,
7,sequential_greedy,0.5,100,,100,100,0,1.0,43,2.5348837209302326,13,0.5348837209302325,2.3255813953488373,237312.8007332372,9282.554449720761,23254.28702181802,42586.004291014455,166276.55709757633,1583.5458984375,2639.5291015820185,86,0.86,0.14,0.42138477018949255,0.05899386782652896,1204,-742.3428372397293,
7,node_conditioned_dp,0.5,100,,100,100,0,1.0,48,2.875,12,0.5625,2.0833333333333335,239188.75498630584,8965.516633617151,24489.798401048592,38686.77022718718,171741.04596475925,1359.48046875,3015.571552118801,86,0.86,0.14,0.4180798549903621,0.058531179698650695,1328,-875.4668635989765,
8,sequential_greedy,0.5,100,,100,100,0,1.0,86,1.255813953488372,5,0.16279069767441862,1.1627906976744187,208231.67626740932,1801.2008277218542,5977.459185077503,15945.155264010256,74720.0485375511,513.46875,5584.916564703072,14,0.14,0.86,0.480234332223215,0.4130015257119649,2408,-567.9311709972242,
8,node_conditioned_dp,0.5,100,,100,100,0,1.0,84,1.2380952380952381,5,0.14285714285714285,1.1904761904761905,207733.0460416136,1748.4370293983313,6007.11284062621,15641.420633274633,73857.36814443559,508.083984375,5517.711715651079,13,0.13,0.87,0.48138705856153363,0.41880674094853426,2352,-543.3482082666198,
9,sequential_greedy,0.5,100,,100,100,0,1.0,76,1.4078947368421053,6,0.23684210526315788,1.3157894736842106,187164.8216972844,2547.6896198563195,6338.2818446972915,30522.195555005812,84386.63211035804,294.9287109375,4941.009192587782,31,0.31,0.69,0.5342884367540897,0.36865902136032186,2128,-732.2034696869575,
9,node_conditioned_dp,0.5,100,,100,100,0,1.0,76,1.4342105263157894,6,0.25,1.3157894736842106,187164.8216972844,2487.745060884716,6334.246366752443,30183.90476301648,84748.82006816324,283.88671875,4833.059570556517,29,0.29,0.71,0.5342884367540897,0.37934479009540367,2120,-713.000804190719,
10,sequential_greedy,0.5,100,,100,100,0,1.0,61,1.7540983606557377,7,0.3114754098360656,1.639344262295082,242738.7302957954,4903.704105623818,11726.92971120282,30705.900905468054,145944.64598265814,888.6357421875,4464.880365691431,55,0.55,0.44999999999999996,0.4119655725237686,0.18538450763569586,1707,-884.4436478476258,
10,node_conditioned_dp,0.5,100,,100,100,0,1.0,59,1.9322033898305084,8,0.3389830508474576,1.694915254237288,242738.7302957954,5382.343699954559,13092.896657670733,29019.063378658586,148747.71324337178,874.248046875,4225.765882118399,55,0.55,0.44999999999999996,0.4119655725237686,0.18538450763569586,1641,-875.3354312483302,
11,sequential_greedy,0.5,100,,100,100,0,1.0,70,1.5142857142857142,8,0.2571428571428571,1.4285714285714286,176514.2652511168,3112.7584920519753,9918.452695403505,25734.459554242672,93983.02774956758,308.015625,4410.199302087536,37,0.37,0.63,0.5665264496200105,0.35691166326060664,1960,-738.785111867718,
11,node_conditioned_dp,0.5,100,,100,100,0,1.0,70,1.5571428571428572,8,0.24285714285714285,1.4285714285714286,176514.2652511168,3181.842294102764,10815.883790262782,25469.926459377602,94567.1143322565,299.2119140625,4442.1921039055815,35,0.35,0.65,0.5665264496200105,0.36824219225300686,1955,-714.5085439245942,
12,sequential_greedy,0.5,100,,100,100,0,1.0,90,1.2333333333333334,4,0.16666666666666666,1.1111111111111112,207403.43007929798,1846.5934589461124,5000.156522217668,18474.656717813898,82353.65535305318,246.181640625,6603.175664030004,22,0.22,0.78,0.48215210308607875,0.3760786404071414,2520,-629.7539949001876,
