episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,28801,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,74,1.3513513513513513,249401.68833127758,4148.4597519183,11063.180065641356,0.53,0.40095959521802066,0.21250858546555096,3,3,0.6666666666666666,0.0,40.51160697961015,0.0,13.503868993203383,13.503868993203383,0.0,0.0,0.0,0,0,2072,-1028.0588417644228,
1,28802,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,80,1.25,211839.33235367032,3268.881586790833,8742.067009654416,0.63,0.4720558684212989,0.2973951971054183,1,1,1.0,0.0,12.403991960412789,0.0,12.403991960412789,12.403991960412789,0.0,0.0,0.0,0,0,2231,-973.0055036374622,
2,28803,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,87,1.1494252873563218,239343.0915587196,2514.1713169159343,8562.281855371974,0.75,0.41781026286888395,0.31335769715166295,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2375,-782.6262338871054,
3,28804,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,89,1.1235955056179776,231254.30953189338,2408.0275262259684,9673.036853880581,0.76,0.4324243738524083,0.3286425241278303,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2432,-817.9495356911777,
4,28805,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,85,1.1764705882352942,191058.51493115132,2035.6673056077075,5181.05242474997,0.84,0.5233998601739126,0.43965588254608656,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2358,-710.849249117112,
5,28806,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,94,1.0638297872340425,286467.9156233709,1948.300211742877,7238.370932066907,0.83,0.3490792320752366,0.2897357626224464,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,2551,-791.7348484551137,
6,28807,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,64,1.5625,288345.5701073239,8834.447082218167,25224.500485046385,0.29000000000000004,0.3468060909095272,0.10057376636376289,10,10,0.2,0.0,120.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,1752,-1313.6312070063957,
7,28808,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,82,1.2195121951219512,285978.61429465894,4462.931257522444,13706.224613860639,0.43000000000000005,0.34967649677805873,0.15036089361456526,3,3,0.6666666666666666,0.0,36.87246236641942,0.0,12.290820788806473,12.290820788806473,0.0,0.0,0.0,0,0,2285,-1196.2540105035484,
8,28809,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,92,1.0869565217391304,259531.41547775856,1659.8600193440082,6001.05727013717,0.87,0.3853098085097518,0.3352195334034841,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2563,-689.9901742179686,
9,28810,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,76,1.3157894736842106,237921.57970955028,3729.396733676102,10778.343219368342,0.6,0.4203065569843556,0.25218393419061336,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,2110,-1007.2992242851334,
10,28811,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,87,1.1494252873563218,303092.1766526289,2963.329799758807,6760.895851409439,0.69,0.32993263338040246,0.2276535170324777,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2401,-1046.59724935018,
11,28812,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,51,1.9607843137254901,226296.39620122348,8892.610860810735,21084.436999044952,0.20999999999999996,0.44189833191634076,0.09279864970243155,13,13,0.15384615384615385,0.0,162.04766879345496,0.0,12.465205291804228,12.465205291804228,0.0,0.0,0.0,0,0,1420,-1021.2160413125516,
12,28813,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,96,1.0416666666666667,259028.26574285494,1496.7910533748668,4126.507356416083,0.88,0.38605825396396304,0.33973126348828747,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2449,-717.0562828575261,
13,28814,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,88,1.1363636363636365,258284.39945123717,1850.9571611396123,5357.29315336392,0.83,0.3871701125289199,0.32135119339900353,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2436,-808.2175682188403,
14,28815,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,89,1.1235955056179776,255856.33266421105,2250.262808752115,6720.8378846672,0.76,0.39084434205207347,0.29704169995957586,1,1,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,2317,-759.3021242355142,
15,28816,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,80,1.25,276165.78715441463,4223.971591963628,13762.843471273933,0.52,0.3621013342398066,0.18829269380469946,4,4,0.75,0.0,59.82462463099358,0.0,14.956156157748396,14.956156157748396,0.0,0.0,0.0,0,0,2236,-1114.0618996040803,
16,28817,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,97,1.0309278350515463,298651.3708944593,1720.3556218113617,6331.439317743719,0.9299999999999999,0.33483857683458984,0.3113998764561685,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,2530,-861.9299105633781,
17,28818,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,75,1.3333333333333333,247806.14907823168,3798.1940581833824,9596.588125405475,0.6,0.4035412372613494,0.2421247423568096,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2100,-909.4447887726888,
18,28819,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,74,1.3513513513513513,235463.7789637527,4023.9901484852585,11874.135186937125,0.61,0.4246937700570668,0.2590631997348108,3,3,0.3333333333333333,0.0,36.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,2029,-894.5322696164286,
19,28820,0.4,dybap_adapted,0.0,driving,keep,0.1,100,0,1.0,91,1.098901098901099,285689.8750603831,1991.3852947909543,8885.94337181611,0.87,0.3500299056060846,0.3045260178772936,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2530,-645.1522185453737,
