episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,28801,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,69,1.4492753623188406,250235.1566012485,4412.187657400682,12117.428007932513,0.52,0.3996241030166305,0.20780453356864786,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1926,-896.961882018706,
1,28802,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,80,1.25,211805.0519863034,3174.9877669234834,8761.134380637472,0.65,0.47213227003889685,0.30688597552528296,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2072,-825.403363477309,
2,28803,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,87,1.1494252873563218,239330.45488213433,2491.15404868254,8558.280241119961,0.75,0.417832323300635,0.31337424247547624,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2116,-637.415869751875,
3,28804,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,92,1.0869565217391304,227480.55880536526,1602.4981007969047,5281.082888071558,0.86,0.43959800575996055,0.3780542849535661,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2029,-556.6851864424337,
4,28805,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,84,1.1904761904761905,191048.98017222286,1986.0220979422365,5178.668735017843,0.85,0.5234259817029857,0.4449120844475379,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2147,-555.0554343885906,
5,28806,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,94,1.0638297872340425,286458.10611925693,1942.9317648640756,7242.361021430335,0.83,0.34909118598434236,0.28974568436700415,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2087,-636.1467554590521,
6,28807,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,69,1.4492753623188406,286637.5128543347,7173.604098979712,21674.5650381792,0.33999999999999997,0.34887268942644867,0.11861671440499254,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1721,-1140.1875113754274,
7,28808,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,75,1.3333333333333333,289535.0652589524,5558.163867922811,16113.135176398551,0.41000000000000003,0.345381309550754,0.14160633691580915,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2071,-1023.242390470917,
8,28809,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,94,1.0638297872340425,259361.16623771592,1555.5456621470232,5988.715357733651,0.91,0.38556273265807883,0.3508620867188517,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2515,-516.5518358174406,
9,28810,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,85,1.1764705882352942,233735.07933177057,2123.5849226900928,5910.08696523697,0.79,0.42783479606865943,0.33798948889424096,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2087,-692.5953079371334,
10,28811,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,79,1.2658227848101267,303206.74978076416,4641.123269949753,11304.21827667541,0.51,0.3298079613079383,0.16820206026704856,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2127,-1021.342774808277,
11,28812,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,85,1.1764705882352942,220035.37992638437,2691.9579390449553,9261.935183476982,0.74,0.4544723672777363,0.33630955178552485,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2074,-734.9072458860436,
12,28813,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,96,1.0416666666666667,259016.19665981503,1456.7687913814616,4074.6102993444097,0.89,0.38607624268121477,0.3436078559862812,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1846,-524.7664050450747,
13,28814,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,83,1.2048192771084338,258937.70403773745,2494.879995911204,5510.291483749489,0.62,0.38619327521891544,0.23943983063572757,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2204,-790.0069982342815,
14,28815,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,89,1.1235955056179776,255851.7053169431,2184.676032691909,6702.328495595359,0.77,0.3908514108832003,0.3009555863800642,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1626,-599.8459865197925,
15,28816,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,80,1.25,276305.9221405764,4466.588589655675,13753.177489633214,0.44999999999999996,0.3619176861114215,0.16286295875013967,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2170,-1027.706932930259,
16,28817,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,98,1.0204081632653061,298643.6189396925,1642.754283070039,6293.067141647832,0.94,0.3348472683094354,0.3147564322108693,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1878,-668.1596921733551,
17,28818,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,75,1.3333333333333333,247806.14907823168,4056.0107694233866,10633.340712746629,0.5700000000000001,0.4035412372613494,0.23001850523896913,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2100,-794.1812317063008,
18,28819,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,44,2.272727272727273,238718.1008753664,12953.234653249217,48001.8111149245,0.09999999999999998,0.4189041368597748,0.04189041368597748,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1154,-988.411524847496,
19,28820,0.4,dybap_adapted,0.0,stationary,keep,0.1,100,0,1.0,91,1.098901098901099,285612.7291510992,1900.4208253704594,8509.515973689611,0.87,0.35012445102576806,0.3046082723924182,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2406,-489.6134698296443,
