episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,28801,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,74,1.3513513513513513,249401.68833127758,4124.633484962266,10872.509234229721,0.53,0.40095959521802066,0.21250858546555096,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2066,-946.7039810024545,
1,28802,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,80,1.25,211839.33235367032,3242.9209613158287,8742.067009654416,0.63,0.4720558684212989,0.2973951971054183,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2166,-877.1278265533824,
2,28803,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,87,1.1494252873563218,239343.0915587196,2502.576250266117,8562.281855371974,0.75,0.41781026286888395,0.31335769715166295,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2236,-683.9742491305567,
3,28804,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,89,1.1235955056179776,230457.302800865,2336.2547691706386,9094.405017312607,0.77,0.433919857538247,0.3341182903044502,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2227,-697.4919996007781,
4,28805,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,85,1.1764705882352942,191048.98017222286,2022.986076232791,5178.668735017843,0.84,0.5234259817029857,0.439677824630508,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2240,-610.3889186094407,
5,28806,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,94,1.0638297872340425,286467.9156233709,1951.7431111147412,7243.50546357697,0.83,0.3490792320752366,0.2897357626224464,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2239,-684.4958391724268,
6,28807,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,65,1.5384615384615385,286637.5128543347,8359.725654146177,23539.041965743156,0.30000000000000004,0.34887268942644867,0.10466180682793459,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1725,-1225.0180093551367,
7,28808,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,82,1.2195121951219512,285881.768643789,4454.71662787073,13689.904709806431,0.43000000000000005,0.34979495360755525,0.15041183005124875,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2278,-1099.5780553726775,
8,28809,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,92,1.0869565217391304,259528.18707415753,1657.6324208592891,6001.05727013717,0.87,0.38531460157515,0.3352237033703805,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2518,-591.1661720050521,
9,28810,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,77,1.2987012987012987,237881.07886588052,3716.6288307571854,10757.227373534786,0.5900000000000001,0.42037811698500366,0.24802308902115217,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2039,-925.724484810036,
10,28811,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,87,1.1494252873563218,303092.1766526289,2945.436812005345,6760.895851409439,0.71,0.32993263338040246,0.23425216970008572,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2305,-934.6777061137983,
11,28812,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,49,2.0408163265306123,225753.31468564388,9219.930551276395,21106.12074926373,0.19999999999999996,0.4429613808295467,0.08859227616590934,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1329,-943.5705734882097,
12,28813,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,96,1.0416666666666667,259028.26574285494,1469.1597166357774,4120.472814896126,0.89,0.38605825396396304,0.3435918460279271,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2052,-579.1043543559399,
13,28814,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,88,1.1363636363636365,258284.39945123717,1811.184622236808,5175.047018229787,0.83,0.3871701125289199,0.32135119339900353,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2284,-697.4906196656688,
14,28815,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,89,1.1235955056179776,255856.33266421105,2209.5248875208586,6716.21053739924,0.76,0.39084434205207347,0.29704169995957586,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1861,-646.3162614248984,
15,28816,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,81,1.2345679012345678,276165.78715441463,4180.756409172687,13747.266855650367,0.52,0.3621013342398066,0.18829269380469946,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2230,-1027.94687585637,
16,28817,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,97,1.0309278350515463,298643.6189396925,1666.1620166341338,6293.067141647832,0.94,0.3348472683094354,0.3147564322108693,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2103,-724.0630637089564,
17,28818,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,75,1.3333333333333333,247806.14907823168,3798.009809129447,9579.084465281645,0.6,0.4035412372613494,0.2421247423568096,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2100,-830.0007908018592,
18,28819,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,75,1.3333333333333333,235372.4261172867,4018.88696773772,11840.58487066312,0.61,0.42485860238433254,0.25916374745444287,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1956,-808.3265238981461,
19,28820,0.4,dybap_adapted,0.0,walking,keep,0.1,100,0,1.0,91,1.098901098901099,285656.8125278329,1983.7564707456424,8885.116808502355,0.87,0.3500704188185833,0.30456126437216746,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2462,-546.3840234227854,
