episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,28801,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,252955.27696376297,7291.275320624534,17030.880689350037,0.3299999999999999,0.3953267992678622,0.1304578437583945,7,7,0.2857142857142857,0.0,92.05503756720874,0.0,13.150719652458392,13.150719652458392,0.0,0.0,0.0,0,0,600,-1177.765254321661,
1,28802,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,275406.12491712114,29545.19447060555,66470.5376616607,0.14,0.3631001308707035,0.0508340183218984,8,6,0.0,0.0,97.4733708394138,0.0,12.184171354926724,16.245561806568965,0.0,0.0,0.0,0,0,600,-1420.4621463647095,
2,28803,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,261425.874014,22341.462370740865,37291.103532278124,0.14,0.3825176080109222,0.0535524651215291,12,12,0.0,0.0,155.5278918323427,0.0,12.960657652695224,12.960657652695224,0.0,0.0,0.0,0,0,600,-1415.8661355788051,
3,28804,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,243111.97754813096,9073.490973754606,22024.978428971623,0.3299999999999999,0.4113330861298355,0.1357399184228457,4,4,0.0,0.0,48.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,800,-1084.796963313331,
4,28805,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,188805.94641190165,833.3062762357602,2076.5730530933088,0.97,0.5296443353634563,0.5137550053025526,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,700,-406.4021844387968,
5,28806,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,286357.17752242164,1273.4233318837398,4620.76894754012,0.91,0.3492142256227192,0.3177849453166744,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-513.0323014987993,
6,28807,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,272812.82800076355,3635.418440857885,12544.968580318671,0.7,0.3665516784266469,0.2565861748986528,1,1,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,600,-920.6967900852824,
7,28808,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,323522.34242223355,28980.092149926822,68508.94669428708,0.0799999999999999,0.3090976630896441,0.0247278130471715,15,14,0.0,0.0,189.12227203187757,0.0,12.608151468791837,13.508733716562682,0.0,0.0,0.0,0,0,900,-1702.190247320501,
8,28809,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,259686.216662104,2339.386468406941,7847.933408317192,0.75,0.3850801220232533,0.28881009151744,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,500,-654.2381834223207,
9,28810,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,277862.70610951283,22658.33190697681,41303.04357555456,0.12,0.3598899665239258,0.0431867959828711,15,15,0.0,0.0,206.5165159044633,0.0,13.76776772696422,13.76776772696422,0.0,0.0,0.0,0,0,500,-1458.8769023003797,
10,28811,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,303148.2987471477,8652.375494317697,22421.909354568736,0.37,0.329871552679927,0.122052474491573,4,4,0.25,0.0,55.35065062289559,0.0,13.837662655723898,13.837662655723898,0.0,0.0,0.0,0,0,500,-1270.2209547980856,
11,28812,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,263376.734222346,37213.187955466674,50223.45220950187,0.01,0.3796842583505448,0.0037968425835054,11,11,0.0909090909090909,0.0,144.03529366425823,0.0,13.094117605841658,13.094117605841658,0.0,0.0,0.0,0,0,500,-1500.9372036007744,
12,28813,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,274831.8834475858,16188.851372388584,34725.983474336186,0.24,0.3638588024997884,0.0873261125999492,8,8,0.0,0.0,99.02005704156444,0.0,12.377507130195552,12.377507130195552,0.0,0.0,0.0,0,0,600,-1221.1999784741147,
13,28814,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,285626.674258456,13903.946151447652,28658.843133756814,0.1899999999999999,0.3501073569533378,0.0665203978211341,14,14,0.1428571428571428,0.0,170.15000028048178,0.0,12.153571448605842,12.153571448605842,0.0,0.0,0.0,0,0,600,-1323.0940253339472,
14,28815,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,256681.24094466004,7782.681928172846,21219.83362815459,0.43,0.3895882676582501,0.1675229550930475,2,2,0.0,0.0,24.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,600,-1052.2601749855664,
15,28816,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,276088.3893773368,4361.464755670317,13334.589931519253,0.6,0.3622028446235293,0.2173217067741176,4,4,0.75,0.0,57.43457966158617,0.0,14.358644915396544,14.358644915396544,0.0,0.0,0.0,0,0,400,-1005.73749030376,
16,28817,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,340581.39398187137,24148.69828138757,37468.872936642125,0.03,0.2936155696318597,0.0088084670889557,16,13,0.0,0.0,200.5452775338717,0.0,12.534079845866984,15.426559810297826,0.0,0.0,0.0,0,0,600,-1820.7372410783669,
17,28818,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,247544.2371798962,3045.383283574184,8314.506755411574,0.65,0.4039682003476722,0.2625793302259869,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,700,-793.2872410280672,
18,28819,0.4,edgeshard_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,234961.37198269967,3839.0760823839087,15561.90617147916,0.61,0.4256018730064406,0.2596171425339288,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,600,-771.4363146360174,
