episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,28801,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,253339.90371282533,7516.902207385832,17784.85617393806,0.3199999999999999,0.3947266045911009,0.1263125134691523,30,25,0.4,0.0,379.8678017963542,0.0,12.662260059878472,15.194712071854166,0.0,0.0,0.0,0,0,600,-1212.0467519295005,
1,28802,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,275177.9766980156,29261.116391578737,66222.50368903307,0.14,0.3634011747594957,0.0508761644663294,26,21,0.0476190476190476,0.0,326.5937074270409,0.0,12.561296439501575,15.552081306049567,0.0,0.0,0.0,0,0,600,-1443.6277353183928,
2,28803,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,261476.5797183064,21979.5553893705,36776.452838647376,0.14,0.3824434299535808,0.0535420801935013,41,31,0.064516129032258,0.0,521.6731390924565,0.0,12.723735099816013,16.828165777176014,0.0,0.0,0.0,0,0,600,-1432.4665234117008,
3,28804,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,243350.2784994287,9572.836479659063,23168.721700354323,0.3299999999999999,0.4109302878822666,0.135606995001148,16,14,0.1428571428571428,0.0,196.5913684036272,0.0,12.2869605252267,14.042240600259086,0.0,0.0,0.0,0,0,800,-1123.0484702823662,
4,28805,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,188805.94641190165,833.9678081505363,2076.5730530933088,0.97,0.5296443353634563,0.5137550053025526,1,1,1.0,0.0,13.23063829550473,0.0,13.23063829550473,13.23063829550473,0.0,0.0,0.0,0,0,700,-437.25291233017896,
5,28806,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,286357.17752242164,1267.581311047434,4619.400978716939,0.91,0.3492142256227192,0.3177849453166744,1,1,1.0,0.0,14.304954886215707,0.0,14.304954886215707,14.304954886215707,0.0,0.0,0.0,0,0,400,-528.3827286418503,
6,28807,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,272687.15317140264,3561.654036680449,12389.979181183584,0.71,0.3667206131164643,0.2603716353126896,9,7,0.5714285714285714,0.0,110.64790037408976,0.0,12.294211152676642,15.806842910584251,0.0,0.0,0.0,0,0,600,-937.8929436265796,
7,28808,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,323857.8842134366,29211.98745292542,69042.51632265447,0.0799999999999999,0.3087774140279863,0.0247021931222389,37,28,0.0,0.0,474.1810843677118,0.0,12.815704982911129,16.935038727418277,0.0,0.0,0.0,0,0,900,-1740.680004614135,
8,28809,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,259686.216662104,2347.3156560554503,7917.273750942218,0.75,0.3850801220232533,0.28881009151744,10,9,0.6666666666666666,0.0,121.58075583149925,0.0,12.158075583149923,13.50897287016658,0.0,0.0,0.0,0,0,500,-673.4494328449435,
9,28810,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,281782.7013471109,24663.059442701026,45585.11910831832,0.1099999999999999,0.3548833889445048,0.0390371727838955,33,28,0.0,0.0,441.033322643821,0.0,13.364646140721849,15.75119009442218,0.0,0.0,0.0,0,0,500,-1509.321766684522,
10,28811,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,303148.2987471477,9071.60463326126,23468.413202187214,0.35,0.329871552679927,0.1154550434379744,24,22,0.2272727272727272,0.0,311.1310349696765,0.0,12.96379312373652,14.14231977134893,0.0,0.0,0.0,0,0,500,-1312.326693876,
11,28812,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,263509.45540996245,36984.41689318381,49789.679906431,0.01,0.3794930236731813,0.0037949302367318,37,28,0.0357142857142857,0.0,485.7421073334159,0.0,13.128165063065294,17.347932404764855,0.0,0.0,0.0,0,0,500,-1519.4158097573213,
12,28813,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,276211.4232348808,16857.89848745301,35962.890133221634,0.24,0.3620415072948066,0.0868899617507535,29,28,0.0714285714285714,0.0,389.8969669114347,0.0,13.444722996946023,13.92489167540838,0.0,0.0,0.0,0,0,600,-1255.278298241999,
13,28814,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,285101.90185800183,13451.48181278533,28047.473072322795,0.1999999999999999,0.3507517815500442,0.0701503563100088,29,24,0.125,0.0,363.2770797573544,0.0,12.526795853701875,15.136544989889767,0.0,0.0,0.0,0,0,600,-1336.7066054420095,
14,28815,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,257407.2055266093,7960.881461839064,21729.224574771026,0.43,0.3884895133196361,0.1670504907274435,26,23,0.217391304347826,0.0,324.3829922195789,0.0,12.476268931522268,14.103608357372996,0.0,0.0,0.0,0,0,600,-1077.5660328528363,
15,28816,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,276088.3893773368,4387.538341721012,13526.258519789071,0.5900000000000001,0.3622028446235293,0.2136996783278823,13,10,0.3,0.0,173.9517337991065,0.0,13.380902599931272,17.395173379910652,0.0,0.0,0.0,0,0,400,-1025.6620670623468,
16,28817,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,340970.9576587333,24046.49377272619,36716.85370214448,0.03,0.2932801100910381,0.0087984033027311,51,37,0.0,0.0,646.3958099471024,0.0,12.674427646021616,17.470157025597363,0.0,0.0,0.0,0,0,600,-1841.9482320921352,
17,28818,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,248049.6341423909,3069.4316191685944,8458.111660330927,0.65,0.4031451219258635,0.2620443292518112,8,8,0.25,0.0,96.38792257857068,0.0,12.048490322321337,12.048490322321337,0.0,0.0,0.0,0,0,700,-826.5651607312132,
18,28819,0.4,edgeshard_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,234961.37198269967,3601.761294375005,14690.301724055147,0.62,0.4256018730064406,0.2638731612639932,6,5,0.8,0.0,76.58157259647336,0.0,12.76359543274556,15.316314519294671,0.0,0.0,0.0,0,0,600,-783.0239868270664,
