episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,28801,0.4,edgeshard_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,252955.27696376297,7272.996670326148,16995.48062558445,0.3299999999999999,0.3953267992678622,0.1304578437583945,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,600,-1142.451245305614,
1,28802,0.4,edgeshard_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,277394.0849960329,30170.56143839887,68319.76818952241,0.14,0.360497953665559,0.0504697135131782,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,600,-1396.1666528085875,
2,28803,0.4,edgeshard_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,261398.38246048705,22134.3404710293,36908.0553900739,0.14,0.3825578378057331,0.0535580972928026,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,600,-1379.4343388403345,
3,28804,0.4,edgeshard_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,243108.40865429968,8857.869734526159,21945.503690453308,0.3299999999999999,0.4113391246051059,0.1357419111196849,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,800,-1033.32955062547,
4,28805,0.4,edgeshard_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,188805.94641190165,833.3062762357602,2076.5730530933088,0.97,0.5296443353634563,0.5137550053025526,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,700,-363.1260926017237,
5,28806,0.4,edgeshard_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,286357.17752242164,1273.4233318837398,4620.76894754012,0.91,0.3492142256227192,0.3177849453166744,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-488.7968455168626,
6,28807,0.4,edgeshard_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,272812.82800076355,3635.728587228943,12544.968580318671,0.7,0.3665516784266469,0.2565861748986528,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,600,-882.8696489463031,
7,28808,0.4,edgeshard_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,324506.57483610284,29397.40956592657,69185.41546313581,0.0799999999999999,0.3081601660937272,0.0246528132874981,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,900,-1650.853532270903,
8,28809,0.4,edgeshard_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,259686.216662104,2339.386468406941,7847.933408317192,0.75,0.3850801220232533,0.28881009151744,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,500,-625.8907168630827,
9,28810,0.4,edgeshard_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,278647.161832073,23399.730449858274,42848.9218731354,0.1099999999999999,0.3588767936572959,0.0394764473023025,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,500,-1440.1405976657136,
10,28811,0.4,edgeshard_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,303148.2987471477,8610.45870462006,22146.462474864595,0.37,0.329871552679927,0.122052474491573,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,500,-1238.7748228903472,
