episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,28801,0.4,full,0.0,driving,keep,0.1,100,0,1.0,87,1.1494252873563218,245252.6038095137,1989.1917056239183,6265.080455364075,0.83,0.4077428677481827,0.33842658023099165,1,1,1.0,0.0,14.165696836368308,0.0,14.165696836368308,14.165696836368308,0.0,0.0,0.0,0,0,2436,-847.5874295359187,
1,28802,0.4,full,0.0,driving,keep,0.1,100,0,1.0,26,3.8461538461538463,301743.38200179255,21790.84470078296,55407.91398961684,0.0,0.3314074341468272,0.0,32,24,0.0,0.0,398.04196789572967,0.0,12.438811496741552,16.585081995655404,0.0,0.0,0.0,0,0,728,-933.8226990417213,
2,28803,0.4,full,0.0,driving,keep,0.1,100,0,1.0,29,3.4482758620689653,269138.17486536095,19884.364169685898,45557.44613068281,0.020000000000000018,0.3715563578077543,0.007431127156155086,27,25,0.0,0.0,351.0616839614926,0.0,13.002284591166392,14.042467358459703,0.0,0.0,0.0,0,0,812,-964.7197587562943,
3,28804,0.4,full,0.0,driving,keep,0.1,100,0,1.0,87,1.1494252873563218,227342.85644235887,1524.9659482354168,4682.861099993325,0.86,0.43986427180901666,0.3782832737557543,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2436,-687.5318005075371,
4,28805,0.4,full,0.0,driving,keep,0.1,100,0,1.0,43,2.3255813953488373,196533.4322123179,8394.393209499807,22123.993505006518,0.15000000000000002,0.5088192826753698,0.07632289240130546,5,5,0.2,0.0,69.61635167273057,0.0,13.923270334546114,13.923270334546114,0.0,0.0,0.0,0,0,1204,-925.2830008430598,
5,28806,0.4,full,0.0,driving,keep,0.1,100,0,1.0,88,1.1363636363636365,286467.9156233709,1824.3055031450285,5986.414774145759,0.85,0.3490792320752366,0.29671734726395116,1,1,0.0,0.0,13.505769118112042,0.0,13.505769118112042,13.505769118112042,0.0,0.0,0.0,0,0,2464,-736.7268647380328,
6,28807,0.4,full,0.0,driving,keep,0.1,100,0,1.0,56,1.7857142857142858,292172.8568415288,9994.500296040844,30240.070843409103,0.25,0.3422631420352605,0.08556578550881512,7,6,0.16666666666666666,0.0,84.0,0.0,12.0,14.0,0.0,0.0,0.0,0,0,1568,-1149.1896939959918,
7,28808,0.4,full,0.0,driving,keep,0.1,100,0,1.0,86,1.1627906976744187,277012.8930542354,2194.554838142403,7776.2911855578095,0.8200000000000001,0.3609940277415945,0.2960151027481075,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2408,-859.0912172407072,
8,28809,0.4,full,0.0,driving,keep,0.1,100,0,1.0,76,1.3157894736842106,260659.5471669933,3078.760911996379,9035.276348693244,0.7,0.38364219184319515,0.2685495342902366,3,3,0.3333333333333333,0.0,37.79809045215945,0.0,12.59936348405315,12.59936348405315,0.0,0.0,0.0,0,0,2128,-1022.4968620006227,
9,28810,0.4,full,0.0,driving,keep,0.1,100,0,1.0,81,1.2345679012345678,233745.63725468732,2081.243996287655,5960.4306214676435,0.78,0.42781547144360527,0.3336960677260121,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,2268,-823.0404580574184,
10,28811,0.4,full,0.0,driving,keep,0.1,100,0,1.0,89,1.1235955056179776,303102.7535557031,2138.2047883831074,5422.33093253829,0.8200000000000001,0.32992112023694425,0.2705353185942943,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2492,-960.8936594723264,
11,28812,0.4,full,0.0,driving,keep,0.1,100,0,1.0,77,1.2987012987012987,219871.33480543984,2657.3532667054164,9888.919063249385,0.72,0.45481144728797046,0.3274642420473387,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2156,-831.5210562523151,
12,28813,0.4,full,0.0,driving,keep,0.1,100,0,1.0,93,1.075268817204301,259032.2887705349,1491.2118447501748,4068.7560680147512,0.89,0.3860522580973892,0.34358650970667637,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2604,-724.5877847484369,
13,28814,0.4,full,0.0,driving,keep,0.1,100,0,1.0,84,1.1904761904761905,257785.71793100447,1783.2701902194199,5389.454236034653,0.84,0.3879190856755093,0.32585203196742785,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2352,-760.5770808606159,
14,28815,0.4,full,0.0,driving,keep,0.1,100,0,1.0,83,1.2048192771084338,255856.33266421105,2099.4244954193214,6079.794468785877,0.78,0.39084434205207347,0.30485858680061734,1,1,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,2324,-711.121806629238,
15,28816,0.4,full,0.0,driving,keep,0.1,100,0,1.0,60,1.6666666666666667,277472.7980841037,6121.395410671665,17473.026606264088,0.19999999999999996,0.36039568811963113,0.07207913762392622,5,5,0.4,0.0,64.65937063763624,0.0,12.931874127527248,12.931874127527248,0.0,0.0,0.0,0,0,1680,-1187.067426120634,
16,28817,0.4,full,0.0,driving,keep,0.1,100,0,1.0,53,1.8867924528301887,314428.77562289883,8087.912631415627,23091.041636638616,0.15000000000000002,0.31803704925509785,0.04770555738826468,11,9,0.0,0.0,134.3932579985945,0.0,12.217568908963136,14.932584222066055,0.0,0.0,0.0,0,0,1484,-1094.3913565943562,
17,28818,0.4,full,0.0,driving,keep,0.1,100,0,1.0,82,1.2195121951219512,243003.27090913744,2059.7368093342197,5349.36522860208,0.84,0.41151709450607143,0.3456743593851,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2296,-765.6317800597645,
18,28819,0.4,full,0.0,driving,keep,0.1,100,0,1.0,40,2.5,238654.75649720585,9969.759071340748,24987.96345150304,0.15000000000000002,0.4190153235063253,0.0628522985259488,13,12,0.16666666666666666,0.0,166.92228051887463,0.0,12.840175424528818,13.910190043239552,0.0,0.0,0.0,0,0,1120,-893.6509174718185,
19,28820,0.4,full,0.0,driving,keep,0.1,100,0,1.0,78,1.2820512820512822,288950.87198485096,2882.836623858373,10547.706899404242,0.73,0.34607959239950925,0.25263810245164176,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,2184,-839.2093432387098,
