episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,28801,0.4,node_dp,0.0,driving,keep,0.1,100,0,1.0,66,1.5151515151515151,249957.7628687451,4496.7715730900845,13966.339401739868,0.5,0.40006759082937876,0.20003379541468938,3,3,0.6666666666666666,0.0,40.51160697961015,0.0,13.503868993203383,13.503868993203383,0.0,0.0,0.0,0,0,1847,-977.8082505060651,
1,28802,0.4,node_dp,0.0,driving,keep,0.1,100,0,1.0,72,1.3888888888888888,211839.33235367032,3014.08275225284,8498.340375050491,0.6599999999999999,0.4720558684212989,0.31155687315805725,1,1,1.0,0.0,12.403991960412789,0.0,12.403991960412789,12.403991960412789,0.0,0.0,0.0,0,0,2009,-864.7136306196064,
2,28803,0.4,node_dp,0.0,driving,keep,0.1,100,0,1.0,79,1.2658227848101267,239347.303784248,2364.6614105322283,8544.017562513382,0.76,0.4178029099092832,0.3175302115310552,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2210,-730.6384159315328,
3,28804,0.4,node_dp,0.0,driving,keep,0.1,100,0,1.0,87,1.1494252873563218,227342.85644235887,1524.9659482354168,4682.861099993325,0.86,0.43986427180901666,0.3782832737557543,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2436,-687.5318005075371,
4,28805,0.4,node_dp,0.0,driving,keep,0.1,100,0,1.0,79,1.2658227848101267,191058.51493115132,1970.576377052738,5181.290793723182,0.84,0.5233998601739126,0.43965588254608656,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2212,-687.077170408617,
5,28806,0.4,node_dp,0.0,driving,keep,0.1,100,0,1.0,88,1.1363636363636365,286467.9156233709,1882.4480444780204,6412.74404366085,0.85,0.3490792320752366,0.29671734726395116,1,1,0.0,0.0,13.505769118112042,0.0,13.505769118112042,13.505769118112042,0.0,0.0,0.0,0,0,2463,-736.9232044342806,
6,28807,0.4,node_dp,0.0,driving,keep,0.1,100,0,1.0,64,1.5625,286603.71265763557,7502.984269447804,23230.06342473509,0.38,0.34891383322537656,0.13258725662564308,4,4,0.5,0.0,48.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,1787,-1167.9770538913508,
7,28808,0.4,node_dp,0.0,driving,keep,0.1,100,0,1.0,58,1.7241379310344827,290470.0475991527,7294.087466206985,21250.834800061424,0.28,0.344269575560505,0.09639548115694141,9,9,0.0,0.0,109.76101712483106,0.0,12.195668569425672,12.195668569425672,0.0,0.0,0.0,0,0,1620,-1001.7488577872998,
8,28809,0.4,node_dp,0.0,driving,keep,0.1,100,0,1.0,91,1.098901098901099,259367.62304491803,1528.0794463178813,5894.22464131997,0.91,0.38555313429649507,0.3508533522098105,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2548,-649.9976141960339,
9,28810,0.4,node_dp,0.0,driving,keep,0.1,100,0,1.0,82,1.2195121951219512,233745.63725468732,2110.515957474684,5687.07723004345,0.79,0.42781547144360527,0.33797422244044817,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,2291,-822.2820360597702,
10,28811,0.4,node_dp,0.0,driving,keep,0.1,100,0,1.0,68,1.4705882352941178,303206.74978076416,4510.963977499972,11660.44069976204,0.55,0.3298079613079383,0.1813943787193661,1,1,0.0,0.0,15.45478337940096,0.0,15.45478337940096,15.45478337940096,0.0,0.0,0.0,0,0,1901,-1029.4889762075059,
11,28812,0.4,node_dp,0.0,driving,keep,0.1,100,0,1.0,77,1.2987012987012987,219871.33480543984,2657.3532667054164,9888.919063249385,0.72,0.45481144728797046,0.3274642420473387,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2156,-831.5210562523151,
12,28813,0.4,node_dp,0.0,driving,keep,0.1,100,0,1.0,93,1.075268817204301,259032.2887705349,1491.2118447501748,4068.7560680147512,0.89,0.3860522580973892,0.34358650970667637,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2604,-724.5877847484369,
13,28814,0.4,node_dp,0.0,driving,keep,0.1,100,0,1.0,74,1.3513513513513513,260373.67644735205,3343.901793443336,8378.249320415553,0.43000000000000005,0.38406340212437007,0.16514726291347911,1,1,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,2072,-968.8465985465599,
