episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,28801,0.4,node_dp,0.0,high_speed,keep,0.1,100,0,1.0,66,1.5151515151515151,249986.85606763308,4520.586255274203,13980.741968979575,0.5,0.40002103139752815,0.20001051569876407,21,19,0.631578947368421,0.0,269.8826668811138,0.0,12.851555565767322,14.204350888479672,0.0,0.0,0.0,0,0,1847,-1050.3670425995206,
1,28802,0.4,node_dp,0.0,high_speed,keep,0.1,100,0,1.0,72,1.3888888888888888,211839.33235367032,3020.898118612824,8545.563088576011,0.6599999999999999,0.4720558684212989,0.31155687315805725,14,13,0.5384615384615384,0.0,170.64941839805084,0.0,12.189244171289346,13.126878338311602,0.0,0.0,0.0,0,0,2009,-943.7801169847413,
2,28803,0.4,node_dp,0.0,high_speed,keep,0.1,100,0,1.0,79,1.2658227848101267,239347.303784248,2367.4607563480063,8544.925916272428,0.76,0.4178029099092832,0.3175302115310552,6,6,0.5,0.0,74.81676529444556,0.0,12.469460882407594,12.469460882407594,0.0,0.0,0.0,0,0,2210,-812.8644425769147,
3,28804,0.4,node_dp,0.0,high_speed,keep,0.1,100,0,1.0,87,1.1494252873563218,227354.85644235887,1525.8424362145545,4694.261099993325,0.86,0.43984105536515306,0.37826330761403165,2,2,1.0,0.0,25.216265971258387,0.0,12.608132985629194,12.608132985629194,0.0,0.0,0.0,0,0,2436,-787.8825167126638,
4,28805,0.4,node_dp,0.0,high_speed,keep,0.1,100,0,1.0,79,1.2658227848101267,191058.51493115132,1973.8805606992892,5192.690793723183,0.84,0.5233998601739126,0.43965588254608656,5,4,0.75,0.0,63.38522815609076,0.0,12.677045631218153,15.84630703902269,0.0,0.0,0.0,0,0,2212,-772.1683163572094,
5,28806,0.4,node_dp,0.0,high_speed,keep,0.1,100,0,1.0,88,1.1363636363636365,286467.9156233709,1883.2575968154806,6424.74404366085,0.85,0.3490792320752366,0.29671734726395116,4,4,0.75,0.0,48.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,2463,-827.9141867749303,
6,28807,0.4,node_dp,0.0,high_speed,keep,0.1,100,0,1.0,65,1.5384615384615385,286625.73395550234,7370.900856327818,23261.151720795333,0.41000000000000003,0.34888702636702074,0.1430436808104785,33,25,0.16,0.0,423.19203515588515,0.0,12.824001065329853,16.927681406235408,0.0,0.0,0.0,0,0,1815,-1236.8367704765376,
7,28808,0.4,node_dp,0.0,high_speed,keep,0.1,100,0,1.0,58,1.7241379310344827,290578.15051890636,7275.040701052681,21025.202245339056,0.28,0.3441414979805701,0.09635961943455963,35,25,0.12,0.0,433.8333754327071,0.0,12.395239298077346,17.353335017308282,0.0,0.0,0.0,0,0,1620,-1071.2210200686961,
8,28809,0.4,node_dp,0.0,high_speed,keep,0.1,100,0,1.0,91,1.098901098901099,259367.62304491803,1530.8956510976964,5957.9466379111755,0.91,0.38555313429649507,0.3508533522098105,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,2548,-746.4189116127628,
9,28810,0.4,node_dp,0.0,high_speed,keep,0.1,100,0,1.0,82,1.2195121951219512,233745.63725468732,2112.1015538925376,5699.792649635372,0.79,0.42781547144360527,0.33797422244044817,5,5,1.0,0.0,60.18243798381911,0.0,12.036487596763823,12.036487596763823,0.0,0.0,0.0,0,0,2291,-916.1091633286256,
10,28811,0.4,node_dp,0.0,high_speed,keep,0.1,100,0,1.0,68,1.4705882352941178,303206.74978076416,4693.001834040072,13398.50183609949,0.54,0.3298079613079383,0.1780962991062867,22,20,0.35,0.0,280.6567224692477,0.0,12.757123748602169,14.032836123462385,0.0,0.0,0.0,0,0,1894,-1115.3362952308453,
11,28812,0.4,node_dp,0.0,high_speed,keep,0.1,100,0,1.0,77,1.2987012987012987,219871.33480543984,2675.9797109340448,10104.888633403549,0.72,0.45481144728797046,0.3274642420473387,7,7,0.7142857142857143,0.0,96.3496740716254,0.0,13.764239153089344,13.764239153089344,0.0,0.0,0.0,0,0,2156,-925.6140007300013,
