episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,28801,0.4,node_dp,0.0,stationary,keep,0.1,100,0,1.0,66,1.5151515151515151,249957.7628687451,4493.819573825722,13951.083034535677,0.5,0.40006759082937876,0.20003379541468938,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1847,-870.0342637348202,
1,28802,0.4,node_dp,0.0,stationary,keep,0.1,100,0,1.0,72,1.3888888888888888,211839.33235367032,3013.0618989365203,8498.340375050491,0.6599999999999999,0.4720558684212989,0.31155687315805725,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2009,-747.0524691472026,
2,28803,0.4,node_dp,0.0,stationary,keep,0.1,100,0,1.0,79,1.2658227848101267,239347.303784248,2364.6614105322283,8544.017562513382,0.76,0.4178029099092832,0.3175302115310552,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2210,-603.5727792944126,
3,28804,0.4,node_dp,0.0,stationary,keep,0.1,100,0,1.0,87,1.1494252873563218,227342.85644235887,1524.9659482354168,4682.861099993325,0.86,0.43986427180901666,0.3782832737557543,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2436,-542.0057261998469,
4,28805,0.4,node_dp,0.0,stationary,keep,0.1,100,0,1.0,79,1.2658227848101267,191058.51493115132,1970.576377052738,5181.290793723182,0.84,0.5233998601739126,0.43965588254608656,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2212,-554.768442813883,
5,28806,0.4,node_dp,0.0,stationary,keep,0.1,100,0,1.0,88,1.1363636363636365,286467.9156233709,1882.3129867868392,6412.74404366085,0.85,0.3490792320752366,0.29671734726395116,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2463,-598.1928430593069,
6,28807,0.4,node_dp,0.0,stationary,keep,0.1,100,0,1.0,63,1.5873015873015872,286637.5128543347,7524.436521219143,23221.061307149404,0.38,0.34887268942644867,0.1325716219820505,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1759,-1067.3634647886122,
7,28808,0.4,node_dp,0.0,stationary,keep,0.1,100,0,1.0,58,1.7241379310344827,290470.0475991527,7309.53364872516,21231.930285718667,0.28,0.344269575560505,0.09639548115694141,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1620,-893.2225373994926,
8,28809,0.4,node_dp,0.0,stationary,keep,0.1,100,0,1.0,91,1.098901098901099,259367.62304491803,1528.0794463178813,5894.22464131997,0.91,0.38555313429649507,0.3508533522098105,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2548,-504.581484377682,
9,28810,0.4,node_dp,0.0,stationary,keep,0.1,100,0,1.0,82,1.2195121951219512,233745.63725468732,2110.275957474684,5687.07723004345,0.79,0.42781547144360527,0.33797422244044817,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2291,-692.1735023868454,
