episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,28801,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,246953.3754382775,3293.1508722948784,8847.761616263891,0.6699999999999999,0.404934736455925,0.2713062734254697,1,1,1.0,0.0,14.165696836368308,0.0,14.165696836368308,14.165696836368308,0.0,0.0,0.0,0,0,400,-813.2608624389334,
1,28802,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,272291.159743453,28301.73841002838,63569.79036863562,0.15,0.367253935435208,0.0550880903152811,9,7,0.0,0.0,111.81830477675872,0.0,12.424256086306524,15.97404353953696,0.0,0.0,0.0,0,0,400,-1372.9524346516832,
2,28803,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,260893.45035520403,21644.729666111307,36491.88938468811,0.14,0.3832982386635268,0.0536617534128937,8,8,0.0,0.0,103.93677198821118,0.0,12.992096498526395,12.992096498526395,0.0,0.0,0.0,0,0,500,-1384.7251196651996,
3,28804,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,242887.2819980627,8537.210225051887,21381.44097092918,0.3299999999999999,0.4117136112577422,0.1358654917150549,5,5,0.0,0.0,60.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,400,-1032.6649384743432,
4,28805,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,188700.948783342,761.0377762517335,1917.983066469228,0.97,0.5299390418795167,0.5140408706231311,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-342.49578244298226,
5,28806,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,286357.17752242164,1273.4233318837398,4620.76894754012,0.91,0.3492142256227192,0.3177849453166744,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-513.0323014987993,
6,28807,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,272564.5002652595,3485.133555206616,12190.097735033229,0.72,0.3668856358868454,0.2641576578385287,1,1,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,400,-844.8229830340654,
7,28808,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,298015.51930653123,19189.99058285216,56674.98003638312,0.18,0.3355529947993833,0.060399539063889,18,18,0.0555555555555555,0.0,229.43480977174724,0.0,12.746378320652624,12.746378320652624,0.0,0.0,0.0,0,0,400,-1438.188780773067,
8,28809,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,259541.7764847824,2034.4755630821403,7234.304973058824,0.8200000000000001,0.3852944267947679,0.3159414299717097,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-606.293284916165,
9,28810,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,274034.94646508107,21434.46947644832,39781.34110794617,0.12,0.3649169614676955,0.0437900353761234,16,16,0.0,0.0,223.25030068796383,0.0,13.95314379299774,13.95314379299774,0.0,0.0,0.0,0,0,500,-1433.3504845131033,
10,28811,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,303138.20295664005,8297.0676635981,21667.55481824396,0.38,0.3298825388045983,0.1253553647457473,5,5,0.0,0.0,67.52590636524224,0.0,13.505181273048446,13.505181273048446,0.0,0.0,0.0,0,0,400,-1239.314121762414,
11,28812,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,261218.62259750773,35970.08684147275,48992.83225692456,0.01,0.3828210983030966,0.0038282109830309,15,15,0.0666666666666666,0.0,203.7578366686774,0.0,13.583855777911827,13.583855777911827,0.0,0.0,0.0,0,0,500,-1489.2305414506086,
12,28813,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,272687.24485654593,15410.226755200192,32899.269493629654,0.24,0.3667204898146503,0.088012917555516,12,12,0.0,0.0,158.66544840043878,0.0,13.222120700036564,13.222120700036564,0.0,0.0,0.0,0,0,400,-1185.721003465983,
13,28814,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,278662.8004424149,11515.010245660524,25077.149261229293,0.2299999999999999,0.3588566534221161,0.0825370302870867,8,8,0.25,0.0,96.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,400,-1247.9939970540286,
14,28815,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,255956.79931603445,5797.753706960834,17142.054723612986,0.51,0.3906909301382856,0.1992523743705256,2,2,0.0,0.0,24.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,400,-905.5930116355856,
15,28816,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,276088.3893773368,4361.464755670317,13334.589931519253,0.6,0.3622028446235293,0.2173217067741176,4,4,0.75,0.0,57.43457966158617,0.0,14.358644915396544,14.358644915396544,0.0,0.0,0.0,0,0,400,-1005.73749030376,
16,28817,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,333933.4131186662,21211.936980596594,35081.74635485372,0.04,0.2994608987045692,0.0119784359481827,17,13,0.0,0.0,210.87533918461216,0.0,12.404431716741891,16.22117993727786,0.0,0.0,0.0,0,0,400,-1717.4734002676148,
17,28818,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,246873.81545098888,2811.32707863246,7829.937522235566,0.69,0.4050652347123978,0.2794950119515545,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-719.299501065515,
18,28819,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,234901.9302099595,3530.411305099522,14981.414993098057,0.63,0.4257095712692451,0.2681970298996244,2,2,0.5,0.0,25.37575621009189,0.0,12.687878105045945,12.687878105045945,0.0,0.0,0.0,0,0,400,-704.8677388677283,
19,28820,0.4,petals_adapted,0.0,driving,keep,0.1,100,0,1.0,100,1.0,287593.7693181839,3099.062900375408,11951.759693129556,0.74,0.3477126790231795,0.2573073824771528,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,400,-641.5562232016915,
