episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,28801,0.4,petals_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,246953.3754382775,3309.3300511327225,8936.179120109591,0.6599999999999999,0.404934736455925,0.2672569260609105,11,10,0.6,0.0,142.6603397431849,0.0,12.96912179483499,14.26603397431849,0.0,0.0,0.0,0,0,400,-832.2362865061673,
1,28802,0.4,petals_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,272225.40397434594,28134.829188202923,63528.13557663514,0.15,0.3673426452493163,0.0551013967873974,32,25,0.04,0.0,399.0458315015836,0.0,12.470182234424486,15.961833260063342,0.0,0.0,0.0,0,0,400,-1386.587377049465,
2,28803,0.4,petals_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,260956.02431683615,21278.872712620017,36009.63532067292,0.14,0.3832063285827284,0.0536488860015819,37,28,0.0714285714285714,0.0,470.3700892397254,0.0,12.712705114587171,16.798931758561622,0.0,0.0,0.0,0,0,500,-1396.636344865498,
3,28804,0.4,petals_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,243113.1492336887,9148.65647629378,22539.779776161373,0.3299999999999999,0.4113311037070914,0.1357392642233401,18,15,0.1333333333333333,0.0,219.21283125274948,0.0,12.17849062515275,14.6141887501833,0.0,0.0,0.0,0,0,400,-1057.3189093221858,
4,28805,0.4,petals_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,188700.948783342,761.0377762517335,1917.983066469228,0.97,0.5299390418795167,0.5140408706231311,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-359.0082581036055,
5,28806,0.4,petals_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,286357.17752242164,1267.581311047434,4619.400978716939,0.91,0.3492142256227192,0.3177849453166744,1,1,1.0,0.0,14.304954886215707,0.0,14.304954886215707,14.304954886215707,0.0,0.0,0.0,0,0,400,-528.3827286418503,
6,28807,0.4,petals_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,272509.3938473877,3420.720551745234,12032.565114335976,0.72,0.3669598269188569,0.264211075381577,9,7,0.5714285714285714,0.0,110.64790037408976,0.0,12.294211152676642,15.806842910584251,0.0,0.0,0.0,0,0,400,-853.9153329506984,
7,28808,0.4,petals_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,298130.7746850599,19139.32662197911,56535.168215441285,0.18,0.3354232722389637,0.0603761890030134,42,34,0.088235294117647,0.0,526.6996624832614,0.0,12.540468154363364,15.491166543625337,0.0,0.0,0.0,0,0,400,-1453.0905266840257,
8,28809,0.4,petals_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,259541.7764847824,2037.399325807181,7303.920390289834,0.8200000000000001,0.3852944267947679,0.3159414299717097,4,4,0.75,0.0,48.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,400,-621.8631521143212,
9,28810,0.4,petals_adapted,0.0,high_speed,keep,0.1,100,0,1.0,100,1.0,276614.29415217414,22955.637793968017,42057.61374707264,0.1099999999999999,0.3615142171394327,0.0397665638853376,40,34,0.0,0.0,541.0212046150112,0.0,13.52553011537528,15.912388371029742,0.0,0.0,0.0,0,0,500,-1475.7509114959123,
