episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,28801,0.4,petals_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,246953.3754382775,3291.7343026112417,8833.595919427524,0.6699999999999999,0.404934736455925,0.2713062734254697,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-788.5376613889835,
1,28802,0.4,petals_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,273817.3999761606,28875.99167722573,64993.147249639806,0.15,0.3652068860806738,0.054781032912101,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-1356.1571889130114,
2,28803,0.4,petals_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,260891.12092398052,21449.472631423923,36166.80153933013,0.14,0.3833016610371281,0.0536622325451979,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,500,-1354.0608768835689,
3,28804,0.4,petals_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,242871.2793885597,8327.011970229663,21301.96623241088,0.3399999999999999,0.4117407387639859,0.1399918511797552,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-1004.2886318272424,
4,28805,0.4,petals_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,188700.948783342,761.0377762517335,1917.983066469228,0.97,0.5299390418795167,0.5140408706231311,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-317.7270689520472,
5,28806,0.4,petals_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,286357.17752242164,1273.4233318837398,4620.76894754012,0.91,0.3492142256227192,0.3177849453166744,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-488.7968455168626,
6,28807,0.4,petals_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,272564.5002652595,3485.803701577675,12190.097735033229,0.72,0.3668856358868454,0.2641576578385287,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-820.9300869826001,
7,28808,0.4,petals_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,298663.5378041245,19513.654588460744,57228.495930967976,0.18,0.3348249362317003,0.060268488521706,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-1418.6678273103028,
8,28809,0.4,petals_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,259541.7764847824,2034.4755630821403,7234.304973058824,0.8200000000000001,0.3852944267947679,0.3159414299717097,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-583.4168533118878,
9,28810,0.4,petals_adapted,0.0,stationary,keep,0.1,100,0,1.0,100,1.0,275750.75951611093,22252.37046046571,40762.45592324004,0.1099999999999999,0.362646326615675,0.0398910959277242,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,500,-1419.1411151814573,
