episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,replan_events,replanned_blocks,mapping_steps,reward,failure_reason
0,28801,0.4,petals_adapted,0.0,walking,keep,0.1,100,0,1.0,100,1.0,246953.3754382775,3291.7343026112417,8833.595919427524,0.6699999999999999,0.404934736455925,0.2713062734254697,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-796.7787284056334,
1,28802,0.4,petals_adapted,0.0,walking,keep,0.1,100,0,1.0,100,1.0,273057.04201570654,28759.34195066244,64204.13788422952,0.15,0.3662238456177515,0.0549335768426627,10,10,0.0,0.0,122.52531737611524,0.0,12.252531737611523,12.252531737611523,0.0,0.0,0.0,0,0,400,-1359.4598198164742,
2,28803,0.4,petals_adapted,0.0,walking,keep,0.1,100,0,1.0,100,1.0,260884.22441841257,21412.980599988405,36165.72398611853,0.14,0.3833117936622243,0.0536636511127114,1,1,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0,0,500,-1363.4623067861985,
3,28804,0.4,petals_adapted,0.0,walking,keep,0.1,100,0,1.0,100,1.0,242871.2793885597,8327.011970229663,21301.96623241088,0.3399999999999999,0.4117407387639859,0.1399918511797552,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-1012.120862223755,
4,28805,0.4,petals_adapted,0.0,walking,keep,0.1,100,0,1.0,100,1.0,188700.948783342,761.0377762517335,1917.983066469228,0.97,0.5299390418795167,0.5140408706231311,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-325.98330678235885,
5,28806,0.4,petals_adapted,0.0,walking,keep,0.1,100,0,1.0,100,1.0,286357.17752242164,1273.4233318837398,4620.76894754012,0.91,0.3492142256227192,0.3177849453166744,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-496.8753308441748,
6,28807,0.4,petals_adapted,0.0,walking,keep,0.1,100,0,1.0,100,1.0,272564.5002652595,3485.803701577675,12190.097735033229,0.72,0.3668856358868454,0.2641576578385287,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-828.9489013375083,
7,28808,0.4,petals_adapted,0.0,walking,keep,0.1,100,0,1.0,100,1.0,298330.5187137009,19365.49283286898,56976.60652557106,0.18,0.3351986931513603,0.0603357647672448,1,1,0.0,0.0,13.094411666587025,0.0,13.094411666587025,13.094411666587025,0.0,0.0,0.0,0,0,400,-1424.945251165882,
8,28809,0.4,petals_adapted,0.0,walking,keep,0.1,100,0,1.0,100,1.0,259541.7764847824,2034.4755630821403,7234.304973058824,0.8200000000000001,0.3852944267947679,0.3159414299717097,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,400,-591.0423305133135,
9,28810,0.4,petals_adapted,0.0,walking,keep,0.1,100,0,1.0,100,1.0,275797.194129942,22283.619913241877,40820.14877349233,0.1099999999999999,0.3625852696415937,0.0398843796605753,5,5,0.0,0.0,68.0534962751327,0.0,13.61069925502654,13.61069925502654,0.0,0.0,0.0,0,0,500,-1429.1093485220863,
