episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,petals_adapted,0.3,100,,100,100,0,1.0,100,1.27,4,0.15,1.0,326729.93613012304,2588.304472063141,7553.578390051892,17563.0457436992,132578.32572694717,989.5078125,944.3083088731644,27,0.27,0.73,0.3060631700432069,0.223426114131541,400,-785.9807444777151,
1,petals_adapted,0.3,100,,100,100,0,1.0,100,4.81,11,0.74,1.0,298132.16155991773,14485.268885829742,27379.43543122249,31114.818876322664,216511.8495433051,1041.92578125,892.6391455117154,79,0.79,0.2099999999999999,0.3354217118903567,0.0704385594969749,400,-1353.0835803681289,
2,petals_adapted,0.3,100,,100,100,0,1.0,100,4.0,13,0.61,1.0,333173.74918096425,11858.523926812855,25293.69541818637,34977.59147320425,207128.22707061583,997.76953125,1196.724815699924,71,0.71,0.29,0.300143694531242,0.0870416714140602,500,-1336.0281250405676,
3,petals_adapted,0.3,100,,100,100,0,1.0,100,1.47,5,0.28,1.0,314116.23834570806,4362.44633985212,15196.795803820029,24288.82041504917,159383.42913717462,889.86328125,875.318795923436,35,0.35,0.65,0.3183534876345445,0.2069297669624539,400,-951.0418197864758,
4,petals_adapted,0.3,100,,100,100,0,1.0,100,1.04,3,0.03,1.0,250957.28915433312,719.9147955337179,1728.1678824172814,11254.916641367194,44437.14185306962,217.212890625,1053.3846018932438,3,0.03,0.97,0.3984741799569816,0.3865199545582721,400,-328.2609149709796,
5,petals_adapted,0.3,100,,100,100,0,1.0,100,1.04,2,0.04,1.0,381664.6647700453,1146.9532023445915,4431.551216844181,16503.239415285283,76108.46663580122,655.13671875,861.3207100498703,5,0.05,0.95,0.2620101079051959,0.2489096025099361,400,-489.4100526173614,
6,petals_adapted,0.3,100,,100,100,0,1.0,100,1.28,5,0.16,1.0,357926.3177948135,2950.4548651169607,11835.461760019089,30413.497099674,129130.03716847468,957.85546875,895.3295434739387,22,0.22,0.78,0.2793871113364915,0.2179219468424633,400,-817.8833824173402,
7,petals_adapted,0.3,100,,100,100,0,1.0,100,2.92,11,0.48,1.0,382007.24606607546,11226.180556754414,40719.92948385324,33236.759495620034,230994.3576240549,969.421875,904.3857413874124,68,0.68,0.3199999999999999,0.2617751391624207,0.0837680445319746,400,-1399.7116847241766,
8,petals_adapted,0.3,100,,100,100,0,1.0,100,1.12,4,0.08,1.0,345352.8621386561,1739.9336218920926,6644.350892019507,14514.82339575716,92577.0825959366,730.30078125,940.6874244667322,12,0.12,0.88,0.2895589148464937,0.2548118450649145,400,-580.8237275565552,
9,petals_adapted,0.3,100,,100,100,0,1.0,100,3.48,10,0.72,1.0,325371.47502030566,11015.027449146744,25143.970269859576,27042.23975328519,232543.74492952484,1202.431640625,1238.1285897614464,78,0.78,0.2199999999999999,0.3073410168907992,0.0676150237159758,500,-1409.5224010790728,
10,petals_adapted,0.3,100,,100,100,0,1.0,100,1.86,6,0.4,1.0,403992.3536729045,5599.717005996902,15845.39430288866,26934.9293682891,199289.8135135292,991.3125,975.3121307998284,47,0.47,0.53,0.2475294373540687,0.1311906017976564,400,-1193.0217850303054,
11,petals_adapted,0.3,100,,100,100,0,1.0,100,4.46,13,0.77,1.0,295726.1749275656,13075.349993392623,26837.77137047433,36459.39630260116,217971.19122325396,1303.8720703125,1100.6160952567611,82,0.82,0.18,0.338150655837258,0.0608671180507064,500,-1403.870190818436,
12,petals_adapted,0.3,100,,100,100,0,1.0,100,2.46,11,0.44,1.0,345542.1373461338,6724.2405019601365,21634.691175107702,29329.394344774875,179237.519444897,909.0703125,1000.6341328449672,54,0.54,0.4599999999999999,0.2894003051784933,0.1331241403821069,400,-1110.399643396047,
13,petals_adapted,0.3,100,,100,100,0,1.0,100,2.37,9,0.41,1.0,356769.3264800069,7513.716308237334,21750.81044204616,37211.68388812052,197924.0930816144,954.48046875,815.7203349827533,57,0.57,0.43,0.2802931546459724,0.1205260564977681,400,-1196.4054393359484,
14,petals_adapted,0.3,100,,100,100,0,1.0,100,1.73,6,0.27,1.0,341101.9152045402,4057.5549658577543,12794.988332879017,22681.312182549347,138872.19246548644,983.98828125,865.9274418541745,33,0.33,0.6699999999999999,0.2931675125307797,0.1964222333956224,400,-858.1671606687526,
15,petals_adapted,0.3,100,,100,100,0,1.0,100,1.31,4,0.19,1.0,367868.8337426416,3384.73382818081,11635.350055968594,23675.707881671267,167569.2738640726,724.11328125,944.7181966570716,27,0.27,0.73,0.271836020960556,0.1984402953012058,400,-964.4329861789984,
16,petals_adapted,0.3,100,,100,100,0,1.0,100,2.65,8,0.61,1.0,410329.4513009276,9491.286280474187,23936.46002958828,30507.389453119777,287782.00472651166,959.21484375,874.2552989354546,84,0.84,0.16,0.2437066110730179,0.0389930577716828,400,-1695.072992051246,
17,petals_adapted,0.3,100,,100,100,0,1.0,100,1.21,4,0.16,1.0,324065.9405783424,2197.6826074314035,6653.691430029554,16820.033949192748,113774.87306939598,458.91796875,900.4477136792829,19,0.19,0.81,0.3085791731816543,0.24994913027714,400,-679.0409540400756,
18,petals_adapted,0.3,100,,100,100,0,1.0,100,1.63,8,0.24,1.0,312761.46884776285,2748.965960512517,11637.44524530443,21324.43453414676,95723.99236551792,675.94921875,911.0630424312752,22,0.22,0.78,0.3197324797341809,0.2493913341926611,400,-660.0301569316338,
19,petals_adapted,0.3,100,,100,100,0,1.0,100,1.49,8,0.21,1.0,380785.07216028543,2631.0946420240216,10658.728908773275,22916.700090866645,94628.52529876617,1017.45703125,904.3728908083308,17,0.17,0.83,0.2626153368688428,0.2179707296011395,400,-607.0093032183798,
