episode,arrival_rate_rps,reward,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,replay_size,loss,epsilon
1,0.2,-844.570495946345,12,0,1.0,6,2.0,199290.6310962597,92175.09841002391,151991.04451865508,0.0,0.06021356816419464,0.0,63,63,,0.998005
2,0.1,-790.4730185769673,12,0,1.0,9,1.3333333333333333,226877.75905852043,30696.952326725917,66016.3321659457,0.16666666666666663,0.052891918757469486,0.00881531979291158,93,156,3.645697958767414,0.9950600000000001
3,0.2,-763.2320871522321,12,0,1.0,6,2.0,172924.33517083438,67138.65735158318,120750.85028266234,0.0,0.06939451285526141,0.0,67,223,2.3877820130437613,0.9929383333333334
4,0.4,-453.4742751485753,12,0,1.0,3,4.0,118806.37426739774,58790.65252853071,95271.53721174889,0.0,0.10100468155851282,0.0,35,258,1.7263258565217257,0.99183
5,0.4,-367.66701975608294,12,0,1.0,5,2.4,87382.1106200036,49779.90881175032,83661.43799030552,0.0,0.1373278799843151,0.0,46,304,2.449515573680401,0.9903733333333333
6,0.1,-471.92941724267916,12,0,1.0,9,1.3333333333333333,134897.12910182032,18483.117201757825,35995.14435845821,0.0,0.08895667446667752,0.0,93,397,9.398011684417725,0.9874283333333334
7,0.2,-832.3843187606114,12,0,1.0,3,4.0,171561.505122173,107915.39360090141,160597.0126685932,0.0,0.06994576080137858,0.0,34,431,11.881598472595215,0.9863516666666666
8,0.6,-440.1663445786576,12,0,1.0,5,2.4,126033.87279466614,51472.73753450452,112315.10923229506,0.0,0.09521249909974877,0.0,38,469,6.118104934692383,0.9851483333333333
9,0.1,-727.7998887490595,12,0,1.0,7,1.7142857142857142,181749.52394946234,48029.49112773357,99205.94118911694,0.0,0.0660249322212076,0.0,64,533,14.794812593609095,0.9831216666666667
10,0.1,-691.8982096389394,12,0,1.0,6,2.0,193130.2325298444,43089.018411525314,62615.65626830577,0.0,0.062134238864677185,0.0,61,594,17.191365599632263,0.98119
11,0.4,-567.5390794528093,12,0,1.0,5,2.4,170527.05953738154,68486.89856673632,150117.26526346128,0.0,0.07037006345241917,0.0,52,646,2.0362022072076797,0.9795433333333333
12,0.1,-433.59105779882134,12,0,1.0,3,4.0,111780.96842727628,47328.785203786356,70039.15049868863,0.0,0.10735280047074468,0.0,36,682,7.1771106123924255,0.9784033333333333
13,0.6,-275.62455675984404,12,0,1.0,5,2.4,85995.92263194453,32231.25254931161,73367.87244246651,0.0,0.1395414995587525,0.0,58,740,5.912511825561523,0.9765666666666667
