episode,arrival_rate_rps,reward,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,replay_size,loss,epsilon
1,0.4,-448.0558960826131,12,0,1.0,5,2.4,115907.41355089283,24964.531380255718,70351.26241429025,0.0,0.10353090999421723,0.0,46,46,,0.9985433333333333
2,0.4,-242.2840042921816,12,0,1.0,4,3.0,97311.3333070958,29021.818386410156,67953.89692010358,0.0,0.12331554395756056,0.0,28,74,,0.9976566666666666
3,0.6,-446.2759155150848,12,0,1.0,6,2.0,104587.61982877532,46282.93194134467,98420.74181128277,0.08333333333333337,0.1147363332261093,0.009561361102175774,58,132,6.935199499130249,0.99582
4,0.6,-382.90657277618334,12,0,1.0,5,2.4,127000.30395110001,41149.804795484626,107910.99190722052,0.08333333333333337,0.09448796283684849,0.007873996903070708,57,189,0.36367902904748917,0.994015
5,0.1,-717.2152812155185,12,0,1.0,9,1.3333333333333333,196493.67874289534,27013.70568108089,67887.14141949627,0.41666666666666663,0.061070666887465395,0.02544611120311058,82,271,2.9656334966421127,0.9914183333333333
6,0.4,-253.09031504791193,12,0,1.0,3,4.0,62375.726717221754,29464.66770346324,55057.86673924424,0.0,0.1923825281331245,0.0,29,300,1.1482246797531843,0.9905
7,0.6,-446.79525105256573,12,0,1.0,3,4.0,112369.03900878789,73884.53658767675,95949.74925680397,0.0,0.10679098180292823,0.0,30,330,5.909716068767011,0.98955
8,0.1,-730.964213887751,12,0,1.0,5,2.4,170271.46884843768,54163.810972212195,119927.19290583419,0.0,0.07047569437884782,0.0,52,382,18.158750534057617,0.9879033333333334
9,0.2,-611.726974343854,12,0,1.0,5,2.4,142022.02351623843,58970.32600639128,127876.45362322862,0.0,0.0844939376506486,0.0,51,433,10.45719861984253,0.9862883333333333
10,0.1,-461.70433141151216,12,0,1.0,8,1.5,119141.69371570695,18858.863272000435,39273.51578550125,0.0,0.10072040799280654,0.0,86,519,4.844135999679565,0.983565
11,0.6,-506.0357599080918,12,0,1.0,4,3.0,122491.6286085833,81491.33170578907,116983.12871075165,0.0,0.09796587845480838,0.0,31,550,6.074346913024783,0.9825833333333334
12,0.1,-617.1303562923856,12,0,1.0,9,1.3333333333333333,138794.31746992352,21238.24651749901,55148.29378626098,0.08333333333333337,0.08645887107446151,0.007204905922871793,105,655,6.015138864517212,0.9792583333333333
13,0.6,-242.23044460183306,12,0,1.0,4,3.0,74844.98588176597,37883.111555112235,63847.33187453964,0.08333333333333337,0.16033138170346678,0.013360948475288898,34,689,12.82533884048462,0.9781816666666666
14,0.2,-321.39909309499114,12,0,1.0,5,2.4,97941.45145529674,29212.436486411723,67059.49915404145,0.16666666666666663,0.12252217852292234,0.020420363087153726,53,742,1.908431053161621,0.9765033333333333
15,0.1,-496.8786035728559,12,0,1.0,7,1.7142857142857142,114586.57744669664,24785.947246128897,50556.66493867737,0.08333333333333337,0.10472430774522573,0.008727025645435477,55,797,2.9278928777202964,0.9747616666666666
16,0.4,-568.144091712393,12,0,1.0,5,2.4,166908.1423118066,84607.00254838275,147810.5137679125,0.0,0.07189583344341827,0.0,54,851,2.65228533744812,0.9730516666666666
17,0.6,-197.71385765919217,12,0,1.0,4,3.0,61528.401319642304,24705.239528165195,54742.47969189022,0.08333333333333337,0.19503188353065698,0.01625265696088808,35,886,6.627475503832102,0.9719433333333334
