episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.1,24,outputs/msn_calibrated_train_seed29/agent_ep800.pt,24,24,0,1.0,21,1.1428571428571428,3,0.09523809523809523,1.1428571428571428,178689.30647954938,2847.546029534072,8100.7597885869145,6968.17042702419,29548.262733839,63.955078125,1569.7373549728914,5,0.20833333333333334,0.7916666666666666,0.13431133889786936,0.10632980996081325,588,-224.10329731044263,
1,node_conditioned_dp,0.1,24,outputs/msn_calibrated_train_seed29/agent_ep800.pt,24,24,0,1.0,18,1.5555555555555556,7,0.16666666666666666,1.3333333333333333,324524.40835986816,17247.14840185067,64705.40096199072,18362.345979711667,116486.18796671764,355.048828125,1220.957361957101,23,0.9583333333333334,0.04166666666666663,0.07395437563940083,0.0030814323183083678,504,-697.7748392392347,
2,node_conditioned_dp,0.1,24,outputs/msn_calibrated_train_seed29/agent_ep800.pt,24,24,0,1.0,19,1.4210526315789473,5,0.15789473684210525,1.263157894736842,181221.17384801002,7159.219132639348,23871.866736198233,13101.167956140327,62783.62501528793,289.8515625,1309.2870170544475,19,0.7916666666666666,0.20833333333333337,0.13243485565394678,0.02759059492790558,532,-393.05584868643666,
3,node_conditioned_dp,0.1,24,outputs/msn_calibrated_train_seed29/agent_ep800.pt,24,24,0,1.0,24,1.0,1,0.0,1.0,242117.3863467903,958.4842293407925,1919.323714798723,7392.168008969091,13040.279314982574,50.40234375,1461.6419781219004,0,0.0,1.0,0.09912547116969224,0.09912547116969224,672,-139.66300436464607,
4,node_conditioned_dp,0.1,24,outputs/msn_calibrated_train_seed29/agent_ep800.pt,24,24,0,1.0,22,1.1363636363636365,3,0.09090909090909091,1.0909090909090908,178967.39877475906,5348.6560891598865,12808.467566638197,12684.58796301983,74672.82517056433,222.9609375,1455.384652581185,12,0.5,0.5,0.13410263637013245,0.06705131818506622,616,-472.13398460913623,
5,node_conditioned_dp,0.1,24,outputs/msn_calibrated_train_seed29/agent_ep800.pt,24,24,0,1.0,24,1.0,1,0.0,1.0,216388.14823627745,1448.8026160097063,4185.526747653194,4326.980124666778,25451.144287574236,55.8369140625,1305.5085125918572,1,0.041666666666666664,0.9583333333333334,0.11091180453096738,0.10629047934217707,672,-169.49713047530435,
6,node_conditioned_dp,0.1,24,outputs/msn_calibrated_train_seed29/agent_ep800.pt,24,24,0,1.0,19,1.368421052631579,4,0.21052631578947367,1.263157894736842,218480.93543687157,11221.448771861198,29094.718561338133,12557.82501174101,103167.63112367688,302.7421875,1059.3297335118102,13,0.5416666666666666,0.45833333333333337,0.10984940151418668,0.050347642360668896,532,-548.0699551437125,
7,node_conditioned_dp,0.1,24,outputs/msn_calibrated_train_seed29/agent_ep800.pt,24,24,0,1.0,23,1.0434782608695652,2,0.043478260869565216,1.0434782608695652,189205.92873482514,1470.1302102896304,2887.821512043857,9974.256300357192,19986.24658650698,61.5498046875,1169.1816117187034,1,0.041666666666666664,0.9583333333333334,0.12684591947240909,0.12156067282772537,644,-196.32111058522605,
8,node_conditioned_dp,0.1,24,outputs/msn_calibrated_train_seed29/agent_ep800.pt,24,24,0,1.0,24,1.0,1,0.0,1.0,291116.1124374616,1502.0511364714603,3842.979793018002,14134.535583074035,20649.6101174261,61.53515625,1265.081574814983,0,0.0,1.0,0.08244133173891482,0.08244133173891482,672,-238.3718509138495,
9,node_conditioned_dp,0.1,24,outputs/msn_calibrated_train_seed29/agent_ep800.pt,24,24,0,1.0,23,1.0434782608695652,2,0.043478260869565216,1.0434782608695652,204891.38958647873,1637.1469843971781,6016.621667892964,8575.41701811446,22958.905254853642,58.8486328125,1330.3249510291885,2,0.08333333333333333,0.9166666666666666,0.11713522978412079,0.10737396063544405,644,-198.691949001667,
10,node_conditioned_dp,0.1,24,outputs/msn_calibrated_train_seed29/agent_ep800.pt,24,24,0,1.0,23,1.0434782608695652,2,0.043478260869565216,1.0434782608695652,269465.70804303343,1698.5725984866658,4964.522443983898,9008.362102771804,23690.14481914269,58.1044921875,1553.7668535183645,1,0.041666666666666664,0.9583333333333334,0.08906513624422749,0.08535408890071801,644,-208.75112525746698,
