node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb,idle_ms,rho,slowdown,slowdown_pct,tag
edge_fast,prefill,1,128,28,9.33961698319763,2.925077438354492,9.704360971227288,0.16966666666666666,0.9624144249053495,-3.7585575094650547,0p20
edge_fast,decode,1,128,28,7.632894994458184,2.9250259399414062,7.804263004800305,0.16966666666666666,0.9780417433091741,-2.195825669082585,0p20
edge_fast,prefill,1,512,28,17.63219546410255,3.04446792602539,17.395510483765975,0.16966666666666666,1.0136060956967867,1.3606095696786724,0p20
edge_fast,decode,1,512,28,7.590129011077806,3.043076515197754,7.858842494897544,0.16966666666666666,0.9658074984968583,-3.419250150314168,0p20
edge_fast,prefill,1,2048,28,60.95642346190289,3.5248374938964844,58.184588997391984,0.16966666666666666,1.0476386361453056,4.763863614530561,0p20
edge_fast,decode,1,2048,28,7.711993006523699,3.561000347137451,8.022293506655842,0.16966666666666666,0.9613202259584872,-3.8679774041512793,0p20
edge_fast,prefill,4,128,28,17.140187497716397,3.04446792602539,17.00685449759476,0.16966666666666666,1.0078399565387295,0.7839956538729487,0p20
edge_fast,decode,4,128,28,7.959948969073594,3.044468879699707,8.005507988855243,0.16966666666666666,0.994309040744813,-0.5690959255187034,0p20
edge_fast,prefill,4,512,28,61.97315847384744,3.5248374938964844,55.5886410002131,0.16966666666666666,1.1148529152495357,11.485291524953567,0p20
edge_fast,decode,4,512,28,8.29070049803704,3.56173038482666,8.181745506590232,0.16966666666666666,1.0133168394640297,1.3316839464029728,0p20
edge_fast,prefill,4,2048,28,237.8600285155699,5.444850921630859,220.19135049777103,0.16966666666666666,1.0802423799929313,8.024237999293128,0p20
edge_fast,decode,4,2048,28,8.84481449611485,5.425539493560791,8.783786033745855,0.16966666666666666,1.0069478539361654,0.6947853936165371,0p20
edge_fast,prefill,8,128,28,28.354015987133607,3.204265594482422,27.921073517063636,0.16966666666666666,1.0155059392614465,1.55059392614465,0p20
edge_fast,decode,8,128,28,8.113560499623418,3.2038450241088867,8.37525152019225,0.16966666666666666,0.968754249357418,-3.124575064258195,0p20
edge_fast,prefill,8,512,28,121.28713401034474,4.165493011474609,115.2027269708924,0.16966666666666666,1.05281478311698,5.281478311698007,0p20
edge_fast,decode,8,512,28,8.268996520200744,4.156306266784668,8.378755010198802,0.16966666666666666,0.9869003819941677,-1.3099618005832259,0p20
edge_fast,prefill,8,2048,28,499.1053425183054,8.00551986694336,460.893183510052,0.16966666666666666,1.0829089263530407,8.29089263530407,0p20
edge_fast,decode,8,2048,28,9.525669505819678,7.966894626617432,9.506496513495222,0.16966666666666666,1.0020168305218689,0.2016830521868851,0p20
edge_fast,prefill,1,128,28,10.61340351589024,2.925077438354492,9.704360971227288,0.44166666666666665,1.0936736120346509,9.367361203465085,0p40
edge_fast,decode,1,128,28,7.932175474707037,2.9250259399414062,7.804263004800305,0.44166666666666665,1.0163900767859892,1.639007678598925,0p40
edge_fast,prefill,1,512,28,18.64307199139148,3.04446792602539,17.395510483765975,0.44166666666666665,1.0717174416232147,7.1717441623214695,0p40
edge_fast,decode,1,512,28,7.879751996370032,3.043076515197754,7.858842494897544,0.44166666666666665,1.0026606337365922,0.26606337365921995,0p40
edge_fast,prefill,1,2048,28,59.79154849774204,3.5248374938964844,58.184588997391984,0.44166666666666665,1.0276183011350666,2.761830113506658,0p40
edge_fast,decode,1,2048,28,8.036448009079322,3.561000347137451,8.022293506655842,0.44166666666666665,1.001764395981241,0.1764395981241007,0p40
edge_fast,prefill,4,128,28,20.218230492901057,3.04446792602539,17.00685449759476,0.44166666666666665,1.1888283336439713,18.882833364397133,0p40
edge_fast,decode,4,128,28,8.347398514160886,3.044468879699707,8.005507988855243,0.44166666666666665,1.0427069120137789,4.270691201377885,0p40
edge_fast,prefill,4,512,28,76.92158650024794,3.5248374938964844,55.5886410002131,0.44166666666666665,1.3837644726726286,38.37644726726286,0p40
edge_fast,decode,4,512,28,8.554784522857517,3.56173038482666,8.181745506590232,0.44166666666666665,1.04559406253431,4.559406253431009,0p40
edge_fast,prefill,4,2048,28,270.38579247891903,5.444850921630859,220.19135049777103,0.44166666666666665,1.2279582820473056,22.79582820473056,0p40
edge_fast,decode,4,2048,28,8.858585002599284,5.425539493560791,8.783786033745855,0.44166666666666665,1.008515572734361,0.8515572734361099,0p40
edge_fast,prefill,8,128,28,37.41432848619297,3.204265594482422,27.921073517063636,0.44166666666666665,1.3400032224164893,34.00032224164893,0p40
edge_fast,decode,8,128,28,8.729197987122461,3.2038450241088867,8.37525152019225,0.44166666666666665,1.0422609955148052,4.226099551480522,0p40
edge_fast,prefill,8,512,28,132.07777051138692,4.165493011474609,115.2027269708924,0.44166666666666665,1.1464812855060127,14.64812855060127,0p40
edge_fast,decode,8,512,28,8.357762533705682,4.156306266784668,8.378755010198802,0.44166666666666665,0.9974945589807116,-0.25054410192884013,0p40
edge_fast,prefill,8,2048,28,548.7117735319771,8.00551986694336,460.893183510052,0.44166666666666665,1.1905400061530955,19.05400061530955,0p40
edge_fast,decode,8,2048,28,9.815038967644796,7.966894626617432,9.506496513495222,0.44166666666666665,1.0324559582714383,3.2455958271438323,0p40
edge_fast,prefill,1,128,28,13.991629530210048,2.925077438354492,9.704360971227288,0.5710000000000001,1.4417878283479142,44.17878283479142,0p60
edge_fast,decode,1,128,28,9.745227493112909,2.9250259399414062,7.804263004800305,0.5710000000000001,1.248705673696381,24.87056736963811,0p60
edge_fast,prefill,1,512,28,25.91041149571538,3.04446792602539,17.395510483765975,0.5710000000000001,1.489488424033073,48.9488424033073,0p60
edge_fast,decode,1,512,28,10.689595015719531,3.043076515197754,7.858842494897544,0.5710000000000001,1.3601996760540613,36.01996760540614,0p60
edge_fast,prefill,1,2048,28,74.86263249302283,3.5248374938964844,58.184588997391984,0.5710000000000001,1.286640221801316,28.6640221801316,0p60
edge_fast,decode,1,2048,28,10.028799006249756,3.561000347137451,8.022293506655842,0.5710000000000001,1.2501161915765335,25.011619157653353,0p60
edge_fast,prefill,4,128,28,23.49003849667497,3.04446792602539,17.00685449759476,0.5710000000000001,1.3812100585676859,38.12100585676858,0p60
edge_fast,decode,4,128,28,12.44819551357068,3.044468879699707,8.005507988855243,0.5710000000000001,1.5549538556329296,55.49538556329296,0p60
edge_fast,prefill,4,512,28,73.51737300632522,3.5248374938964844,55.5886410002131,0.5710000000000001,1.3225251001556844,32.25251001556843,0p60
edge_fast,decode,4,512,28,12.11042152135633,3.56173038482666,8.181745506590232,0.5710000000000001,1.480175778090583,48.01757780905831,0p60
edge_fast,prefill,4,2048,28,287.03702200436965,5.444850921630859,220.19135049777103,0.5710000000000001,1.3035799151759837,30.35799151759837,0p60
edge_fast,decode,4,2048,28,12.475086492486298,5.425539493560791,8.783786033745855,0.5710000000000001,1.4202402522738005,42.024025227380044,0p60
edge_fast,prefill,8,128,28,43.74633397674188,3.204265594482422,27.921073517063636,0.5710000000000001,1.5667855302915492,56.67855302915492,0p60
