timestamp,gpu_util_pct,memory_used_mib
1786238375.741881743,63,560
1786238376.280183015,63,560
1786238376.817287984,16,560
1786238377.352647762,65,560
1786238377.895210751,65,560
1786238378.434932132,13,560
1786238378.971532352,13,560
1786238379.508679105,67,560
1786238380.046189462,11,560
1786238380.583160473,11,560
1786238381.121065715,69,560
1786238381.657068468,10,560
1786238382.190239873,9,560
1786238382.725128234,70,560
1786238383.260961616,72,560
1786238383.794694484,7,560
1786238384.328793407,73,560
1786238384.869234808,74,560
1786238385.403041990,5,560
1786238385.936756741,75,560
1786238386.471320533,76,560
1786238387.004632197,3,560
1786238387.543980965,77,560
1786238388.079558022,78,560
1786238388.617875042,1,560
1786238389.167167571,79,560
1786238389.702520318,80,560
1786238390.237751447,0,560
1786238390.772810138,0,560
1786238391.308424123,80,560
