batch_size,token_length,work_tokens,kv_tensor_bytes,kv_tensor_gib,expected_kv_bytes,expected_kv_gib,cache_alloc_delta_bytes,cache_alloc_delta_gib,logits_bytes,logits_gib,peak_with_logits_gib,baseline_alloc_gib
1,128,128,0,0.0,3670016,0.00341796875,3670016,0.00341796875,38895616,0.036224365234375,2.925077438354492,2.884183883666992
1,256,256,0,0.0,7340032,0.0068359375,7340032,0.0068359375,77791232,0.07244873046875,2.964202880859375,2.884185791015625
1,512,512,0,0.0,14680064,0.013671875,14680064,0.013671875,155582464,0.1448974609375,3.0444679260253906,2.8841896057128906
1,1024,1024,0,0.0,29360128,0.02734375,29360128,0.02734375,311164928,0.289794921875,3.204265594482422,2.884197235107422
1,2048,2048,0,0.0,58720256,0.0546875,58720256,0.0546875,622329856,0.57958984375,3.5248374938964844,2.8842124938964844
2,128,256,0,0.0,7340032,0.0068359375,7340032,0.0068359375,77791232,0.07244873046875,2.964202880859375,2.884185791015625
2,256,512,0,0.0,14680064,0.013671875,14680064,0.013671875,155582464,0.1448974609375,3.0444679260253906,2.8841896057128906
2,512,1024,0,0.0,29360128,0.02734375,29360128,0.02734375,311164928,0.289794921875,3.204265594482422,2.884197235107422
2,1024,2048,0,0.0,58720256,0.0546875,58720256,0.0546875,622329856,0.57958984375,3.5248374938964844,2.8842124938964844
2,2048,4096,0,0.0,117440512,0.109375,117440512,0.109375,1244659712,1.1591796875,4.165493011474609,2.8842430114746094
4,128,512,0,0.0,14680064,0.013671875,14680064,0.013671875,155582464,0.1448974609375,3.0444679260253906,2.8841896057128906
4,256,1024,0,0.0,29360128,0.02734375,29360128,0.02734375,311164928,0.289794921875,3.204265594482422,2.884197235107422
4,512,2048,0,0.0,58720256,0.0546875,58720256,0.0546875,622329856,0.57958984375,3.5248374938964844,2.8842124938964844
4,1024,4096,0,0.0,117440512,0.109375,117440512,0.109375,1244659712,1.1591796875,4.165493011474609,2.8842430114746094
4,2048,8192,0,0.0,234881024,0.21875,234881024,0.21875,2489319424,2.318359375,5.444850921630859,2.8843040466308594
8,128,1024,0,0.0,29360128,0.02734375,29360128,0.02734375,311164928,0.289794921875,3.204265594482422,2.884197235107422
8,256,2048,0,0.0,58720256,0.0546875,58720256,0.0546875,622329856,0.57958984375,3.5248374938964844,2.8842124938964844
8,512,4096,0,0.0,117440512,0.109375,117440512,0.109375,1244659712,1.1591796875,4.165493011474609,2.8842430114746094
8,1024,8192,0,0.0,234881024,0.21875,234881024,0.21875,2489319424,2.318359375,5.444850921630859,2.8843040466308594
8,2048,16384,0,0.0,469762048,0.4375,469762048,0.4375,4978638848,4.63671875,8.00551986694336,2.8844261169433594
