phase,batch_size,tokens,measured_ms,paper_ms,error_ms,ape_pct
prefill,1,128,9.350604988867415,32.0,22.649395011132583,242.22384581637613
decode,1,128,7.451862504240125,4.012,-3.439862504240126,46.1611107596636
prefill,1,256,11.409801489207894,75.880593816208,64.47079232700011,565.0474496684332
decode,1,256,7.257844001287594,4.369997050441348,-2.8878469508462468,39.78932242597005
prefill,1,512,17.367841996019706,186.5496025637164,169.1817605676967,974.1092797048079
decode,1,512,7.428091019392013,4.821019994071066,-2.6070710253209466,35.097456648213424
prefill,1,1024,28.97624848992564,474.96564649850916,445.9893980085835,1539.155070966635
decode,1,1024,7.848874985938892,5.339994100882695,-2.5088808850561968,31.964847058346685
prefill,1,2048,58.16846148809418,1248.2136924135712,1190.045230925477,2045.8599049745426
decode,1,2048,7.479365012841299,5.901527258845207,-1.577837753996092,21.095878477479133
prefill,2,128,11.358768009813502,41.31942129730611,29.960653287492605,263.7667505983734
decode,2,128,7.543416548287496,4.533335307397477,-3.0100812408900186,39.90342070627621
prefill,2,256,17.38618698436767,97.97944450567685,80.59325752130918,463.5476288951251
decode,2,256,7.606113475048914,4.937851924722981,-2.6682615503259326,35.08048570506994
prefill,2,512,28.827600996010005,240.87880066172542,212.05119966571542,735.5839276916078
decode,2,512,7.851300004404038,5.447482591423615,-2.4038174129804233,30.61680755584486
prefill,2,1024,56.5417725010775,613.290801544352,556.7490290432745,984.6685104055849
decode,2,1024,7.639316521817818,6.033894266905725,-1.6054222549120931,21.015260335489724
prefill,2,2048,120.239883515751,1611.73335705945,1491.493473543699,1240.4315689047708
decode,2,2048,7.798432488925755,6.6683952866629195,-1.1300372022628355,14.490568506780773
prefill,4,128,17.219788511283696,56.67020463049295,39.45041611920925,229.09930684316117
decode,4,128,7.926962018245831,5.29661487374954,-2.630347144496291,33.182285198817745
prefill,4,256,28.17468048306182,134.38027434524454,106.20559386218272,376.954031212641
decode,4,256,7.956765504786745,5.769240123531722,-2.187525381255023,27.492646100215225
prefill,4,512,56.033249478787184,330.36887971946686,274.3356302406797,489.59436190566896
decode,4,512,8.10128852026537,6.364677519252426,-1.7366110010129443,21.43623198542815
prefill,4,1024,117.11423902306706,841.1375118601528,724.0232728370858,618.2196792436832
decode,4,1024,8.234715525759384,7.049823574394339,-1.1848919513650449,14.388984630477289
prefill,4,2048,223.1458699970972,2210.516417864383,1987.370547867286,890.6149810853047
decode,4,2048,8.777652983553708,7.791155796868864,-0.9864971866848435,11.23873532632469
prefill,8,128,28.49338599480689,81.95573915295986,53.46235315815298,187.63074759839654
decode,8,128,7.935573492432013,6.414121568853176,-1.5214519235788373,19.172551612429945
prefill,8,256,55.99039047956467,194.33906729915134,138.34867681958667,247.09360951872816
decode,8,256,7.927296974230558,6.986463693185596,-0.940833281044962,11.868273436750885
prefill,8,512,116.26034395885654,477.7753302125086,361.51498625365207,310.95296465111863
decode,8,512,8.075630525127053,7.707529493480468,-0.36810103164658514,4.558170789280801
prefill,8,1024,216.544544469798,1216.4425197202738,999.8979752504758,461.75163530380877
decode,8,1024,8.577226515626535,8.537231141580364,-0.03999537404617115,0.4662972812167785
prefill,8,2048,464.1818625095766,3196.821118206235,2732.6392556966584,588.7001359602414
decode,8,2048,9.500061511062086,9.434973399834,-0.06508811122808567,0.6851335767910093
