episode,arrival_rate_rps,reward,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,replay_size,loss,epsilon
1,0.2,-844.570495946345,12,0,1.0,6,2.0,199290.6310962597,92175.09841002391,151991.04451865508,0.0,0.06021356816419464,0.0,63,63,,0.998005
2,0.1,-790.4730185769673,12,0,1.0,9,1.3333333333333333,226877.75905852043,30696.952326725917,66016.3321659457,0.16666666666666663,0.052891918757469486,0.00881531979291158,93,156,,0.9950600000000001
3,0.2,-641.8543758574565,12,0,1.0,4,3.0,168168.73823310842,60739.41401707864,136958.3414481358,0.0,0.07135690096792012,0.0,49,205,,0.9935083333333333
4,0.4,-496.05887541211354,12,0,1.0,3,4.0,139780.28946043964,57187.84115921376,111733.73666684078,0.0,0.08584901380817514,0.0,31,236,,0.9925266666666667
5,0.4,-234.085431807147,12,0,1.0,5,2.4,57805.63822517934,26861.497492558803,51501.522955810295,0.16666666666666663,0.20759220671960274,0.03459870111993379,46,282,,0.99107
6,0.1,-437.48284123453413,12,0,1.0,7,1.7142857142857142,130442.56360996081,21115.973398258542,37419.90373558102,0.08333333333333337,0.09199451212781638,0.007666209343984699,65,347,,0.9890116666666666
7,0.2,-687.3353760261303,12,0,1.0,3,4.0,141326.90313178685,77348.37920647742,130323.10630161443,0.0,0.08490952348124434,0.0,28,375,,0.988125
8,0.6,-490.8910904843892,12,0,1.0,5,2.4,134584.8442973094,62172.026133597574,121333.86027579423,0.0,0.08916308565540244,0.0,48,423,,0.986605
9,0.1,-746.3444472949041,12,0,1.0,6,2.0,206602.2947762313,52076.96311387995,112430.32687674291,0.0,0.05808260751893908,0.0,56,479,,0.9848316666666667
10,0.1,-1079.610844358603,12,0,1.0,8,1.5,237888.69282371624,38141.00582044013,68166.8773937108,0.0,0.0504437594639793,0.0,76,555,,0.982425
11,0.4,-368.1017784706127,12,0,1.0,4,3.0,108499.23137740674,42468.90397563691,88029.97543474575,0.0,0.11059986183919467,0.0,36,591,,0.981285
12,0.1,-542.5518979036907,12,0,1.0,6,2.0,119118.18824283063,25266.442179523267,44536.316518203625,0.0,0.10074028305011803,0.0,59,650,,0.9794166666666667
13,0.6,-234.80231796871547,12,0,1.0,5,2.4,69384.27763431697,24284.28595607558,56738.21618322563,0.08333333333333337,0.17294984410221612,0.014412487008518009,52,702,,0.97777
14,0.4,-358.6171223255131,12,0,1.0,3,4.0,92321.4189265579,49961.81739599996,72449.44158052774,0.0,0.12998067121938467,0.0,27,729,,0.976915
15,0.4,-469.6981338908589,12,0,1.0,5,2.4,110212.36989600782,52638.42887486269,96624.41952974861,0.08333333333333337,0.10888070015482601,0.009073391679568835,54,783,,0.975205
16,0.6,-265.47283782970896,12,0,1.0,5,2.4,89104.30156754924,27648.64316895624,59653.250658603785,0.08333333333333337,0.13467363290988707,0.011222802742490589,46,829,,0.9737483333333333
17,0.1,-659.0175677303428,12,0,1.0,10,1.2,151140.47407270066,17749.3688042351,39657.96479732291,0.25,0.07939633690858898,0.019849084227147245,103,932,,0.9704866666666667
18,0.1,-879.6475183354158,12,0,1.0,8,1.5,198775.16227576262,33808.04736245665,59411.50606987353,0.0,0.06036971552488177,0.0,71,1003,,0.9682383333333333
19,0.4,-393.6927985684374,12,0,1.0,4,3.0,113110.01075132485,40898.451486694736,69769.52013534264,0.0,0.10609140535210712,0.0,40,1043,,0.9669716666666667
20,0.4,-380.94344845695923,12,0,1.0,4,3.0,85194.67568052215,38287.16438452053,61321.906278060815,0.0,0.14085387266452767,0.0,40,1083,,0.965705
21,0.1,-555.3705695710391,12,0,1.0,7,1.7142857142857142,131559.28372401945,31696.319217278546,67779.58515094113,0.08333333333333337,0.09121363130231985,0.007601135941859988,65,1148,,0.9636466666666667
22,0.6,-282.9922329035695,12,0,1.0,5,2.4,72501.46150677085,31144.036302549644,61076.881792464104,0.0,0.16551390483182646,0.0,39,1187,,0.9624116666666667
23,0.1,-457.4406562213108,12,0,1.0,12,1.0,273634.3824553521,9614.738811246474,16997.004484174326,0.0,0.04385413811057897,0.0,123,1310,,0.9585166666666667
24,0.2,-558.9299623553516,12,0,1.0,8,1.5,122130.66989450164,23886.19182489192,46998.02056268199,0.0,0.09825541782719922,0.0,81,1391,,0.9559516666666666
25,0.1,-898.8798049919399,12,0,1.0,7,1.7142857142857142,207990.2065531424,61916.683541645,111952.94714802313,0.0,0.05769502419785303,0.0,72,1463,,0.9536716666666667
26,0.2,-267.21112017244684,12,0,1.0,5,2.4,85409.01151139554,21344.899575476837,45754.77723596556,0.0,0.140500396710468,0.0,48,1511,,0.9521516666666667
27,0.4,-396.13151042563345,12,0,1.0,7,1.7142857142857142,85881.77759664017,22604.42805026397,58908.72136309879,0.16666666666666663,0.1397269634585377,0.023287827243089615,64,1575,,0.950125
28,0.4,-315.52714497846864,12,0,1.0,4,3.0,81966.69076225188,35363.987574883125,67849.67150142949,0.0,0.1464009329693027,0.0,46,1621,,0.9486683333333333
29,0.2,-546.1883880307114,12,0,1.0,5,2.4,126401.10967231008,58476.45100387566,93926.10392167936,0.0,0.09493587541366946,0.0,44,1665,,0.947275
30,0.4,-466.95656827096633,12,0,1.0,4,3.0,135111.58041789924,61162.678304518515,114362.11220708594,0.0,0.08881548097419983,0.0,40,1705,,0.9460083333333333
31,0.6,-615.5662904162352,12,0,1.0,3,4.0,154505.36019479524,89602.91231153371,139838.49114397942,0.0,0.07766720834067374,0.0,33,1738,,0.9449633333333334
32,0.2,-476.4630332480158,12,0,1.0,6,2.0,145450.20776315016,32524.190188363533,65714.09948533171,0.16666666666666663,0.08250246035771014,0.013750410059618356,63,1801,,0.9429683333333333
33,0.2,-482.27763341440664,12,0,1.0,4,3.0,108053.5069187576,41483.83414780287,85339.0038334096,0.08333333333333337,0.11105609010008775,0.009254674175007313,38,1839,,0.941765
34,0.6,-243.02427300273328,12,0,1.0,4,3.0,82753.12202653936,24714.95311147475,62842.37005977353,0.0,0.14500963475615503,0.0,43,1882,,0.9404033333333334
35,0.2,-324.61167954926225,12,0,1.0,4,3.0,97972.36342324938,30316.956392653665,75016.12302525414,0.08333333333333337,0.1224835206655057,0.010206960055458809,31,1913,,0.9394216666666667
36,0.6,-277.04274326760844,12,0,1.0,4,3.0,94646.34307552238,44762.1949490491,90551.2794562245,0.0,0.1267877829196706,0.0,43,1956,,0.93806
37,0.2,-628.5810503020716,12,0,1.0,7,1.7142857142857142,151683.81467685217,28081.7736678209,64591.79306240072,0.25,0.07911193442467708,0.01977798360616927,53,2009,,0.9363816666666667
38,0.2,-515.8528862117096,12,0,1.0,5,2.4,132761.38669433244,55083.015497040295,88450.63426708583,0.0,0.0903877271757382,0.0,42,2051,,0.9350516666666666
39,0.2,-424.8825622917481,12,0,1.0,5,2.4,162701.2262355365,73613.30920924999,138372.76655971102,0.08333333333333337,0.07375482212179549,0.006146235176816291,54,2105,,0.9333416666666666
40,0.4,-534.1019323802609,12,0,1.0,5,2.4,125393.47429347291,22073.4506450411,61094.297459432666,0.0,0.09569875998423176,0.0,47,2152,,0.9318533333333333
41,0.6,-285.3665828701021,12,0,1.0,4,3.0,88661.75247284194,39097.43493914411,84034.18617025258,0.0,0.1353458471698462,0.0,45,2197,,0.9304283333333333
42,0.2,-328.92688962025227,12,0,1.0,5,2.4,100674.3804425041,30056.206147703477,59155.76006975755,0.0,0.11919616437921156,0.0,51,2248,,0.9288133333333334
43,0.6,-559.8292291460568,12,0,1.0,5,2.4,150930.50040851985,89013.65952057099,145420.25933019226,0.0,0.07950679264641605,0.0,44,2292,,0.92742
44,0.6,-495.131583204497,12,0,1.0,4,3.0,150492.29220837535,53509.82524085496,115548.530294565,0.0,0.0797383030313905,0.0,42,2334,,0.92609
45,0.1,-795.4351530097747,12,0,1.0,8,1.5,173772.58586300607,32504.819765927696,66062.63564894107,0.08333333333333337,0.06905577160174288,0.005754647633478573,79,2413,,0.9235883333333333
46,0.4,-645.1191692719349,12,0,1.0,5,2.4,149158.10431448146,67931.3440715497,123141.86629430647,0.0,0.0804515453930648,0.0,56,2469,,0.921815
47,0.6,-429.98335854447225,12,0,1.0,4,3.0,107605.95839073634,59008.79043024947,99487.57227167721,0.08333333333333337,0.111517988217956,0.009293165684829668,44,2513,,0.9204216666666667
48,0.2,-470.5482462854442,12,0,1.0,4,3.0,114960.86490383417,35993.4800955388,55458.5677987397,0.0,0.10438334828150529,0.0,50,2563,,0.9188383333333333
49,0.6,-374.9529814852127,12,0,1.0,4,3.0,124998.72904399654,46604.15648274426,99358.41473690758,0.0,0.09600097610413534,0.0,45,2608,,0.9174133333333333
50,0.4,-399.436083855789,12,0,1.0,6,2.0,126178.08478974915,49332.417500934775,117661.57224535054,0.08333333333333337,0.09510367842399597,0.007925306535332997,70,2678,,0.9151966666666667
51,0.6,-227.3713361871557,12,0,1.0,4,3.0,77881.42182580582,28228.885741723236,59116.70595621329,0.08333333333333337,0.15408039194302212,0.01284003266191851,29,2707,,0.9142783333333333
52,0.6,-335.55433620300363,12,0,1.0,5,2.4,107750.24240911071,43966.94839522856,80744.62097400254,0.08333333333333337,0.11136865896262106,0.009280721580218422,53,2760,,0.9126
53,0.2,-486.9039291650495,12,0,1.0,4,3.0,106469.40236800237,62916.58089522264,85088.17225205459,0.0,0.11270843766477648,0.0,41,2801,,0.9113016666666667
54,0.4,-348.8961022779454,12,0,1.0,4,3.0,92078.31852337622,35644.142062543324,74591.34455518691,0.0,0.1303238394492784,0.0,46,2847,,0.909845
55,0.6,-639.0031701708049,12,0,1.0,5,2.4,145071.58116976699,87509.5836855803,123410.09611335181,0.0,0.08271778595945165,0.0,49,2896,,0.9082933333333334
56,0.4,-631.3778420389792,12,0,1.0,5,2.4,192343.89724762816,79581.10406639134,165090.55278162862,0.0,0.062388254432376986,0.0,45,2941,,0.9068683333333334
57,0.4,-365.8739844043527,12,0,1.0,4,3.0,82700.71905973591,36923.46313865565,66139.59650856646,0.0,0.1451015195083398,0.0,41,2982,,0.90557
58,0.1,-666.113378693385,12,0,1.0,9,1.3333333333333333,167812.42019915814,30956.506037263305,65191.01662007961,0.0,0.07150841389307488,0.0,99,3081,,0.902435
59,0.6,-239.5805464780143,12,0,1.0,5,2.4,67571.08848986549,26079.892913053132,61746.71100499829,0.08333333333333337,0.17759074580839104,0.01479922881736592,55,3136,,0.9006933333333333
60,0.2,-507.9445943009688,12,0,1.0,4,3.0,176439.03549744835,81943.4811155967,149208.02376547604,0.0,0.06801216049593256,0.0,42,3178,,0.8993633333333333
61,0.2,-333.6321260192409,12,0,1.0,4,3.0,91047.24416228937,39867.6929356519,79306.58753948458,0.0,0.13179970586051246,0.0,38,3216,,0.89816
62,0.2,-447.50013016735113,12,0,1.0,8,1.5,106578.17098089543,18714.133372880882,42117.08766793543,0.16666666666666663,0.11259341279323556,0.018765568798872596,78,3294,,0.89569
63,0.4,-495.4528278120417,12,0,1.0,5,2.4,137682.33282465686,63930.656639754474,107789.63955166325,0.0,0.08715715192945203,0.0,53,3347,,0.8940116666666666
64,0.2,-694.5987342692517,12,0,1.0,6,2.0,156986.74258748195,54179.01236535638,118539.83103528163,0.08333333333333337,0.07643957573877881,0.006369964644898234,69,3416,,0.8918266666666667
