episode,arrival_rate_rps,reward,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,replay_size,loss,epsilon
1,0.2,-510.04090545034217,12,0,1.0,5,2.4,121606.37777423715,46583.509957742586,84776.27456481375,0.0,0.09867903492922107,0.0,52,52,,0.9983533333333333
2,0.1,-1029.9537910856113,12,0,1.0,10,1.2,227235.0470007104,31934.99303254807,86614.34989033447,0.0,0.052808755332369506,0.0,99,151,,0.9952183333333333
3,0.2,-739.6243955359237,12,0,1.0,5,2.4,184866.72129493402,63585.5610156981,153063.0574995287,0.0,0.06491162885317446,0.0,54,205,,0.9935083333333333
4,0.4,-463.3890169814331,12,0,1.0,3,4.0,115559.91452525894,57795.150887555355,92583.5150081784,0.0,0.10384223672454393,0.0,33,238,,0.9924633333333334
5,0.4,-385.2853050305158,12,0,1.0,4,3.0,91376.51629512364,50322.57042807792,83869.1895014425,0.0,0.13132477015476227,0.0,36,274,,0.9913233333333333
6,0.1,-545.6829051916899,12,0,1.0,7,1.7142857142857142,142870.95215284202,29007.087143566347,54531.06125220814,0.0,0.08399188091896043,0.0,73,347,,0.9890116666666666
7,0.2,-619.9261621890804,12,0,1.0,3,4.0,124574.69038708511,71515.21709801641,114044.18521132818,0.0,0.09632775295457657,0.0,40,387,,0.987745
8,0.6,-461.70657449818987,12,0,1.0,5,2.4,125837.85688625222,59543.60650757324,112270.61425065986,0.0,0.09536081030724387,0.0,47,434,,0.9862566666666667
9,0.1,-860.2801513800146,12,0,1.0,6,2.0,186705.89790131693,60310.0283622887,118909.26746053803,0.0,0.06427220636780623,0.0,60,494,,0.9843566666666667
10,0.1,-779.5564432173637,12,0,1.0,5,2.4,199530.7073414304,53395.35737690895,83754.61826186442,0.0,0.060141118927955255,0.0,51,545,,0.9827416666666666
11,0.4,-576.2173911504128,12,0,1.0,5,2.4,163050.63308875047,59246.47657453193,141827.33829269095,0.0,0.07359677035702308,0.0,51,596,,0.9811266666666667
12,0.1,-531.7104912860628,12,0,1.0,4,3.0,119566.83685401513,33536.736206534886,50672.873999732234,0.0,0.10036227699701862,0.0,40,636,,0.97986
13,0.6,-214.41571952790437,12,0,1.0,4,3.0,60214.9782871779,23623.830812648313,48628.97784071593,0.0,0.19928596407972574,0.0,39,675,,0.978625
14,0.4,-404.63996943906284,12,0,1.0,3,4.0,102210.86600002358,52458.79874758967,80484.04547566734,0.0,0.11740434720509296,0.0,35,710,,0.9775166666666667
15,0.4,-481.01419809805805,12,0,1.0,4,3.0,119428.16193155451,55076.502960801394,112544.49785804428,0.0,0.10047881342155564,0.0,43,753,,0.976155
16,0.6,-439.54206640071203,12,0,1.0,5,2.4,115021.19805572415,35989.78198316663,77470.4682886345,0.0,0.10432859510110805,0.0,42,795,,0.974825
17,0.1,-629.7863224985157,12,0,1.0,10,1.2,147715.81750092446,17196.328354347297,39335.40891930471,0.16666666666666663,0.08123706860252052,0.013539511433753417,105,900,,0.9715
18,0.1,-948.7043295968513,12,0,1.0,8,1.5,215071.1619588118,39336.60592573358,73346.46775957978,0.0,0.055795485971746016,0.0,68,968,,0.9693466666666667
19,0.4,-756.7517877266149,12,0,1.0,5,2.4,198499.5989023227,93733.3468610614,171584.65227579794,0.0,0.06045352265877845,0.0,55,1023,,0.967605
20,0.4,-554.6633366500063,12,0,1.0,5,2.4,121992.64957182884,43416.17689336185,88730.8566823571,0.0,0.09836658226637207,0.0,44,1067,,0.9662116666666667
21,0.1,-421.62052371319,12,0,1.0,6,2.0,97929.16904078325,29967.25417633422,64174.5505908793,0.16666666666666663,0.12253754542737436,0.020422924237895726,46,1113,,0.964755
22,0.6,-356.1150807441828,12,0,1.0,5,2.4,80641.08412830022,35900.83507025929,68278.58610265361,0.0,0.14880752323354138,0.0,46,1159,,0.9632983333333334
23,0.1,-360.9272922533171,12,0,1.0,12,1.0,273326.65701540856,7018.357534754905,14273.82299201855,0.33333333333333337,0.043903511391951464,0.014634503797317155,107,1266,,0.95991
